Orders.Order Date.Variation.Date Hierarchy.Year,Orders.Region,Orders.Category,Orders.Sub-Category,Sum(Orders.Discount),Sum(Orders.Profit)
2017,East,Office Supplies,Art,5.000000000000002,689.7181999999999
2014,East,Office Supplies,Binders,30.499999999999996,1160.9685999999997
2015,East,Office Supplies,Binders,31.199999999999996,4743.476800000001
2016,East,Office Supplies,Binders,40.599999999999994,2802.6458
2017,East,Office Supplies,Binders,53.19999999999999,2560.8434
2014,East,Office Supplies,Envelopes,1.7999999999999998,524.5098999999999
2015,East,Office Supplies,Envelopes,1.4,363.84529999999995
2016,East,Office Supplies,Envelopes,1.4,556.6349999999999
2017,East,Office Supplies,Envelopes,1.4,367.4188
2014,East,Office Supplies,Fasteners,0.8,32.38219999999999
2015,East,Office Supplies,Fasteners,1.5999999999999999,50.2029
2016,East,Office Supplies,Fasteners,2.1999999999999997,112.47730000000001
2017,East,Office Supplies,Fasteners,1,68.92839999999998
2014,East,Office Supplies,Labels,1.2,225.02659999999995
2015,East,Office Supplies,Labels,1.5999999999999999,213.23849999999996
2016,East,Office Supplies,Labels,2.1999999999999997,335.69859999999994
2017,East,Office Supplies,Labels,2.1999999999999997,355.3163
2014,East,Office Supplies,Paper,4.400000000000001,1748.8552
2015,East,Office Supplies,Paper,4.200000000000001,1809.0611999999999
2016,East,Office Supplies,Paper,6.200000000000003,2135.0231999999996
2017,East,Office Supplies,Paper,9.599999999999998,3322.4314
2014,East,Office Supplies,Storage,3.0000000000000004,1312.006400000001
2015,East,Office Supplies,Storage,3.600000000000001,1732.557799999999
2016,East,Office Supplies,Storage,4.800000000000002,2804.288900000002
2017,East,Office Supplies,Storage,5.8000000000000025,2540.518099999998
2014,East,Office Supplies,Supplies,0.6000000000000001,-23.298000000000002
2015,East,Office Supplies,Supplies,1,-122.7337
2016,East,Office Supplies,Supplies,1.2,-27.20429999999999
2017,East,Office Supplies,Supplies,1,-981.8992
2014,East,Technology,Accessories,3.0000000000000004,1888.0357999999999
2015,East,Technology,Accessories,4.400000000000001,4688.4591
2016,East,Technology,Accessories,3.600000000000001,1260.0029
2017,East,Technology,Accessories,6.600000000000003,3359.366599999999
2014,East,Technology,Copiers,1.4,650.9887
2015,East,Technology,Copiers,0.8,1654.9667
2016,East,Technology,Copiers,1.7999999999999998,5143.924799999999
2017,East,Technology,Copiers,1,9572.961599999999
2014,East,Technology,Machines,2.0999999999999996,4865.814899999999
2015,East,Technology,Machines,2.8,454.6903999999996
2016,East,Technology,Machines,3.5,-1342.346500000002
2017,East,Technology,Machines,2.0999999999999996,2950.4840999999997
2014,East,Technology,Phones,7.200000000000002,3429.1019000000015
2015,East,Technology,Phones,9.200000000000003,3299.667599999998
2016,East,Technology,Phones,11.200000000000005,2167.8120999999983
2017,East,Technology,Phones,16.000000000000007,3418.1044000000043
2014,South,Furniture,Bookcases,0.2,164.70860000000002
2015,South,Furniture,Bookcases,0.6000000000000001,107.61759999999998
2016,South,Furniture,Bookcases,0.6000000000000001,552.7233999999999
2017,South,Furniture,Bookcases,1.4,514.4422000000001
2014,South,Furniture,Chairs,1.5999999999999999,2304.7139999999995
2015,South,Furniture,Chairs,1.9999999999999998,1100.2275999999997
2016,South,Furniture,Chairs,1.4,1276.07
2017,South,Furniture,Chairs,3.600000000000001,1931.0776999999998
2014,South,Furniture,Furnishings,3.400000000000001,423.1665999999998
2015,South,Furniture,Furnishings,4.600000000000001,1172.1376999999998
2016,South,Furniture,Furnishings,3.400000000000001,1278.3998999999994
2017,South,Furniture,Furnishings,6.200000000000003,568.9786999999999
2014,South,Furniture,Tables,1.25,1107.9901999999997
2015,South,Furniture,Tables,1.75,-2171.3765000000003
2016,South,Furniture,Tables,3.75,39.22299999999967
2017,South,Furniture,Tables,4.6000000000000005,-3598.8946
2014,South,Office Supplies,Appliances,1.7999999999999998,489.78529999999995
2015,South,Office Supplies,Appliances,0.8,962.6974000000001
2016,South,Office Supplies,Appliances,1.9999999999999998,1159.3742999999997
2017,South,Office Supplies,Appliances,4.400000000000001,1512.0825999999995
2014,South,Office Supplies,Art,2.8000000000000003,133.75329999999994
2015,South,Office Supplies,Art,3.400000000000001,293.35029999999995
2016,South,Office Supplies,Art,2.8000000000000003,352.6363999999999
2017,South,Office Supplies,Art,5.400000000000002,278.8466000000001
2014,South,Office Supplies,Binders,13.999999999999995,2420.1017
2015,South,Office Supplies,Binders,24.499999999999986,456.5632999999991
2016,South,Office Supplies,Binders,27.999999999999986,618.0254000000002
2017,South,Office Supplies,Binders,25.899999999999984,405.97360000000197
2014,South,Office Supplies,Envelopes,0.6000000000000001,107.49529999999999
2015,South,Office Supplies,Envelopes,1,622.2321
2016,South,Office Supplies,Envelopes,0.6000000000000001,399.8763999999999
2017,South,Office Supplies,Envelopes,1.7999999999999998,335.8732
2014,South,Office Supplies,Fasteners,1.4,50.90509999999999
2015,South,Office Supplies,Fasteners,0.6000000000000001,45.79009999999999
2016,South,Office Supplies,Fasteners,0,34.901399999999995
2017,South,Office Supplies,Fasteners,0.4,42.1215
2014,South,Office Supplies,Labels,1.4,169.61469999999994
2015,South,Office Supplies,Labels,1.9999999999999998,534.1857000000001
2016,South,Office Supplies,Labels,1.4,132.50410000000002
2017,South,Office Supplies,Labels,2.1999999999999997,204.46779999999998
2014,South,Office Supplies,Paper,5.200000000000002,1338.8293999999999
2015,South,Office Supplies,Paper,3.2000000000000006,948.6682000000003
2016,South,Office Supplies,Paper,5.600000000000002,1724.0622000000003
2017,South,Office Supplies,Paper,8.600000000000001,1935.5015999999991
2014,South,Office Supplies,Storage,2.1999999999999997,462.2265999999996
2015,South,Office Supplies,Storage,3.0000000000000004,-268.0479
2016,South,Office Supplies,Storage,2.6,1088.0691999999997
2017,South,Office Supplies,Storage,4.000000000000001,992.0485999999995
2014,South,Office Supplies,Supplies,0.6000000000000001,98.60350000000005
2015,South,Office Supplies,Supplies,0.4,14.662799999999981
2016,South,Office Supplies,Supplies,1.4,-184.8886
2017,South,Office Supplies,Supplies,0.6000000000000001,73.49960000000002
2014,South,Technology,Accessories,1.7999999999999998,1685.7286000000001
2015,South,Technology,Accessories,2.4,828.0340999999997
2016,South,Technology,Accessories,2.8000000000000003,2543.8409
2017,South,Technology,Accessories,4.000000000000001,1946.9387999999992
2014,South,Technology,Copiers,0.2,89.99699999999999
2015,South,Technology,Copiers,0,314.9895
2016,South,Technology,Copiers,0.2,871.9584
2017,South,Technology,Copiers,0.2,2381.9618
2014,South,Technology,Machines,2,-3254.2075000000023
2015,South,Technology,Machines,0.5,1414.8208999999997
2016,South,Technology,Machines,1.5,4308.107
2017,South,Technology,Machines,2,-3907.6133999999984
2014,South,Technology,Phones,1.5999999999999999,4085.707599999999
2015,South,Technology,Phones,2.6,1942.0411000000001
2016,South,Technology,Phones,4.600000000000001,1507.925
2017,South,Technology,Phones,5.200000000000002,3231.601600000001
2014,West,Furniture,Bookcases,2.6499999999999995,48.351899999999915
2015,West,Furniture,Bookcases,5.300000000000001,-990.2307000000004
2016,West,Furniture,Bookcases,3.0499999999999994,325.8741999999997
2017,West,Furniture,Bookcases,7.3000000000000025,-1030.5071000000003
2014,West,Furniture,Chairs,9.2,1231.6872999999996
2015,West,Furniture,Chairs,8.200000000000005,972.4390999999996
2016,West,Furniture,Chairs,12.399999999999986,1200.0447999999983
2017,West,Furniture,Chairs,11.59999999999999,623.4130999999986
2014,West,Furniture,Furnishings,1.5999999999999999,1051.8535000000002
2015,West,Furniture,Furnishings,2.8000000000000003,1900.3060000000003
2016,West,Furniture,Furnishings,2.6,2104.0199
2017,West,Furniture,Furnishings,3.0000000000000004,2585.0909999999994
2014,West,Furniture,Tables,5.200000000000001,730.1355999999994
2015,West,Furniture,Tables,3.5,1202.5326
2016,West,Furniture,Tables,7.700000000000001,-976.0075999999999
2017,West,Furniture,Tables,6.800000000000002,525.9466999999997
2014,West,Office Supplies,Appliances,0.6000000000000001,1066.9247999999998
2015,West,Office Supplies,Appliances,1.7999999999999998,1893.353899999999
2016,West,Office Supplies,Appliances,1.2,1460.6666999999998
2017,West,Office Supplies,Appliances,0.6000000000000001,3840.3244999999997
2014,West,Office Supplies,Art,2.4,752.2946
2015,West,Office Supplies,Art,2.6,543.2447000000002
2016,West,Office Supplies,Art,1,322.99109999999985
2017,West,Office Supplies,Art,1.7999999999999998,755.5665999999999
2014,West,Office Supplies,Binders,21.299999999999994,2534.581499999999
2015,West,Office Supplies,Binders,25.09999999999999,1026.5265
2016,West,Office Supplies,Binders,40.300000000000026,3875.6263
2017,West,Office Supplies,Binders,46.00000000000006,8660.0673
2014,West,Office Supplies,Envelopes,0.8,292.6254
2015,West,Office Supplies,Envelopes,0.6000000000000001,627.1603999999999
2016,West,Office Supplies,Envelopes,0.2,738.3141999999999
2017,West,Office Supplies,Envelopes,1.2,250.6624
2014,West,Office Supplies,Fasteners,1,79.20759999999999
2015,West,Office Supplies,Fasteners,0.4,50.84629999999999
2016,West,Office Supplies,Fasteners,0.2,63.469199999999994
2017,West,Office Supplies,Fasteners,0.8,81.66760000000001
2014,West,Office Supplies,Labels,0.4,409.81209999999993
2015,West,Office Supplies,Labels,0.8,448.8689
2016,West,Office Supplies,Labels,0.6000000000000001,519.4473999999999
2017,West,Office Supplies,Labels,0.4,924.9939
2014,West,Office Supplies,Paper,3.800000000000001,2387.1297000000004
2015,West,Office Supplies,Paper,3.600000000000001,2413.6979
2016,West,Office Supplies,Paper,2.8000000000000003,3007.0784000000003
2017,West,Office Supplies,Paper,4.000000000000001,4311.3304000000035
2014,West,Office Supplies,Storage,1.5999999999999999,2047.6063999999992
2015,West,Office Supplies,Storage,1.7999999999999998,1603.5344999999995
2016,West,Office Supplies,Storage,1.7999999999999998,1532.9522
2017,West,Office Supplies,Storage,3.0000000000000004,3461.2290999999987
2014,West,Office Supplies,Supplies,0.8,404.28519999999963
2015,West,Office Supplies,Supplies,0.4,61.513699999999986
2016,West,Office Supplies,Supplies,0.6000000000000001,324.8807999999997
2017,West,Office Supplies,Supplies,0.8,-164.63320000000002
2014,West,Technology,Accessories,1.9999999999999998,1937.6891000000007
2015,West,Technology,Accessories,2.1999999999999997,3149.7343
2016,West,Technology,Accessories,1.5999999999999999,3972.354799999999
2017,West,Technology,Accessories,3.600000000000001,7424.820099999998
2014,West,Technology,Copiers,0.2,1136.9796000000001
2015,West,Technology,Copiers,1,2800.4348
2016,West,Technology,Copiers,0.8,3326.9334
2017,West,Technology,Copiers,1.5999999999999999,12062.8873
2014,West,Technology,Machines,1.7,1142.2597999999998
2015,West,Technology,Machines,1.9,938.3771999999989
2016,West,Technology,Machines,4.1,-115.76110000000034
2017,West,Technology,Machines,4.1,-2583.8023000000017
2014,West,Technology,Phones,12.999999999999996,2812.267099999998
2015,West,Technology,Phones,10.400000000000004,1849.8545999999992
2016,West,Technology,Phones,13.400000000000002,2368.7222000000006
2017,West,Technology,Phones,18.59999999999998,2079.8986999999993
