Orders.Order Date.Variation.Date Hierarchy.Year,Orders.Segment,Orders.Region,Orders.City,Sum(Orders.Sales)
2016,Consumer,Central,Madison,10.07
2017,Consumer,Central,Madison,1816.36
2014,Consumer,Central,Mansfield,
2015,Consumer,Central,Mansfield,
2016,Consumer,Central,Mansfield,
2017,Consumer,Central,Mansfield,517.4050000000001
2014,Consumer,Central,Marion,
2015,Consumer,Central,Marion,
2016,Consumer,Central,Marion,
2017,Consumer,Central,Marion,136.2
2014,Consumer,Central,Mcallen,
2015,Consumer,Central,Mcallen,
2016,Consumer,Central,Mcallen,203.648
2017,Consumer,Central,Mcallen,
2014,Consumer,Central,Midland,1276.53
2015,Consumer,Central,Midland,
2016,Consumer,Central,Midland,
2017,Consumer,Central,Midland,
2014,Consumer,Central,Milwaukee,34.79
2015,Consumer,Central,Milwaukee,1430.1100000000001
2016,Consumer,Central,Milwaukee,781.39
2017,Consumer,Central,Milwaukee,38.54
2014,Consumer,Central,Minneapolis,10563.94
2015,Consumer,Central,Minneapolis,3213.01
2016,Consumer,Central,Minneapolis,
2017,Consumer,Central,Minneapolis,2259.1
2014,Consumer,Central,Mishawaka,647.84
2015,Consumer,Central,Mishawaka,
2016,Consumer,Central,Mishawaka,128.39999999999998
2017,Consumer,Central,Mishawaka,
2014,Consumer,Central,Moorhead,
2015,Consumer,Central,Moorhead,
2016,Consumer,Central,Moorhead,
2017,Consumer,Central,Moorhead,63.96
2014,Consumer,Central,Mount Pleasant,
2015,Consumer,Central,Mount Pleasant,17.14
2016,Consumer,Central,Mount Pleasant,
2017,Consumer,Central,Mount Pleasant,
2014,Consumer,Central,Naperville,
2015,Consumer,Central,Naperville,613.115
2016,Consumer,Central,Naperville,
2017,Consumer,Central,Naperville,239.96000000000004
2014,Consumer,Central,New Albany,
2015,Consumer,Central,New Albany,209.54999999999998
2016,Consumer,Central,New Albany,
2017,Consumer,Central,New Albany,
2014,Consumer,Central,New Castle,
2015,Consumer,Central,New Castle,84.61
2016,Consumer,Central,New Castle,
2017,Consumer,Central,New Castle,
2014,Consumer,Central,Noblesville,
2015,Consumer,Central,Noblesville,412.23999999999995
2016,Consumer,Central,Noblesville,
2017,Consumer,Central,Noblesville,
2014,Consumer,Central,Norfolk,
2015,Consumer,Central,Norfolk,17.43
2016,Consumer,Central,Norfolk,
2017,Consumer,Central,Norfolk,
2014,Consumer,Central,Norman,
2015,Consumer,Central,Norman,
2016,Consumer,Central,Norman,1287.45
2017,Consumer,Central,Norman,
2014,Consumer,Central,Oklahoma City,479.96
2015,Consumer,Central,Oklahoma City,1971.4599999999998
2016,Consumer,Central,Oklahoma City,574.4999999999999
2017,Consumer,Central,Oklahoma City,1299.7600000000002
2014,Consumer,Central,Omaha,35.98
2015,Consumer,Central,Omaha,178.37
2016,Consumer,Central,Omaha,2374.73
2017,Consumer,Central,Omaha,2500.03
2014,Consumer,Central,Oswego,321.97799999999995
2015,Consumer,Central,Oswego,
2016,Consumer,Central,Oswego,
2017,Consumer,Central,Oswego,
2014,Consumer,Central,Park Ridge,
2015,Consumer,Central,Park Ridge,
2016,Consumer,Central,Park Ridge,
2017,Consumer,Central,Park Ridge,143.85600000000002
2014,Consumer,Central,Pasadena,6.927999999999998
2015,Consumer,Central,Pasadena,
2016,Consumer,Central,Pasadena,
2017,Consumer,Central,Pasadena,212.99200000000002
2014,Consumer,Central,Pearland,
2015,Consumer,Central,Pearland,
2016,Consumer,Central,Pearland,
2017,Consumer,Central,Pearland,470.3760000000001
2014,Consumer,Central,Peoria,
2015,Consumer,Central,Peoria,
2016,Consumer,Central,Peoria,3.979999999999999
2017,Consumer,Central,Peoria,
2014,Consumer,Central,Pharr,
2015,Consumer,Central,Pharr,
2016,Consumer,Central,Pharr,
2017,Consumer,Central,Pharr,124.404
2014,Consumer,Central,Plano,2244.3706
2015,Consumer,Central,Plano,
2016,Consumer,Central,Plano,
2017,Consumer,Central,Plano,1262.532
2014,Consumer,Central,Port Arthur,
2015,Consumer,Central,Port Arthur,
2016,Consumer,Central,Port Arthur,34.048
2017,Consumer,Central,Port Arthur,
2014,Consumer,Central,Portage,16.28
2015,Consumer,Central,Portage,
2016,Consumer,Central,Portage,
2017,Consumer,Central,Portage,
2014,Consumer,Central,Quincy,
2015,Consumer,Central,Quincy,131.584
2016,Consumer,Central,Quincy,1.9639999999999995
2017,Consumer,Central,Quincy,19.56
2014,Consumer,Central,Richmond,207.24
2015,Consumer,Central,Richmond,11.36
2016,Consumer,Central,Richmond,1401.2400000000002
2017,Consumer,Central,Richmond,
2014,Consumer,Central,Rochester,
2015,Consumer,Central,Rochester,
2016,Consumer,Central,Rochester,23.92
2017,Consumer,Central,Rochester,1890.4800000000005
2014,Consumer,Central,Rochester Hills,
2015,Consumer,Central,Rochester Hills,
2016,Consumer,Central,Rochester Hills,
2017,Consumer,Central,Rochester Hills,132.52
2014,Consumer,Central,Rockford,
2015,Consumer,Central,Rockford,128.744
2016,Consumer,Central,Rockford,2067.7960000000003
2017,Consumer,Central,Rockford,33.56799999999999
2014,Consumer,Central,Romeoville,8.951999999999998
2015,Consumer,Central,Romeoville,
2016,Consumer,Central,Romeoville,
2017,Consumer,Central,Romeoville,
2014,Consumer,Central,Roseville,
2015,Consumer,Central,Roseville,
2016,Consumer,Central,Roseville,
2017,Consumer,Central,Roseville,21.84
2014,Consumer,Central,Round Rock,
2015,Consumer,Central,Round Rock,
2016,Consumer,Central,Round Rock,4406.072
2017,Consumer,Central,Round Rock,106.0208
2014,Consumer,Central,Royal Oak,22.38
2015,Consumer,Central,Royal Oak,12.96
2016,Consumer,Central,Royal Oak,
2017,Consumer,Central,Royal Oak,
2014,Consumer,Central,Saginaw,
2015,Consumer,Central,Saginaw,
2016,Consumer,Central,Saginaw,
2017,Consumer,Central,Saginaw,376.1
2014,Consumer,Central,Saint Charles,11.56
2015,Consumer,Central,Saint Charles,
2016,Consumer,Central,Saint Charles,30.344
2017,Consumer,Central,Saint Charles,248.82
2014,Consumer,Central,Saint Louis,111.79
2015,Consumer,Central,Saint Louis,
2016,Consumer,Central,Saint Louis,
2017,Consumer,Central,Saint Louis,95.66000000000001
2014,Consumer,Central,San Angelo,
2015,Consumer,Central,San Angelo,
2016,Consumer,Central,San Angelo,345.324
2017,Consumer,Central,San Angelo,
2014,Consumer,Central,San Antonio,13374.112999999998
2015,Consumer,Central,San Antonio,1457.356
2016,Consumer,Central,San Antonio,1790.879
2017,Consumer,Central,San Antonio,1308.1720000000003
2014,Consumer,Central,Sioux Falls,
2015,Consumer,Central,Sioux Falls,
2016,Consumer,Central,Sioux Falls,
2017,Consumer,Central,Sioux Falls,20.23
2014,Consumer,Central,Skokie,62.96800000000001
2015,Consumer,Central,Skokie,
2016,Consumer,Central,Skokie,
2017,Consumer,Central,Skokie,469.352
2014,Consumer,Central,South Bend,
2015,Consumer,Central,South Bend,1238.3300000000002
2016,Consumer,Central,South Bend,
2017,Consumer,Central,South Bend,
2014,Consumer,Central,Springfield,
2015,Consumer,Central,Springfield,1085.16
2016,Consumer,Central,Springfield,886.0299999999999
2017,Consumer,Central,Springfield,931.5200000000001
2014,Consumer,Central,Sterling Heights,
2015,Consumer,Central,Sterling Heights,
2016,Consumer,Central,Sterling Heights,11.68
2017,Consumer,Central,Sterling Heights,
2014,Consumer,Central,Taylor,
2015,Consumer,Central,Taylor,
2016,Consumer,Central,Taylor,301.96
2017,Consumer,Central,Taylor,
2014,Consumer,Central,Texas City,489.22999999999996
2015,Consumer,Central,Texas City,301.742
2016,Consumer,Central,Texas City,
2017,Consumer,Central,Texas City,
2014,Consumer,Central,The Colony,
2015,Consumer,Central,The Colony,
2016,Consumer,Central,The Colony,142.16
2017,Consumer,Central,The Colony,
2014,Consumer,Central,Trenton,
2015,Consumer,Central,Trenton,
2016,Consumer,Central,Trenton,338.53999999999996
2017,Consumer,Central,Trenton,275.65000000000003
2014,Consumer,Central,Tulsa,1040.1899999999998
2015,Consumer,Central,Tulsa,14.940000000000001
2016,Consumer,Central,Tulsa,277.67
2017,Consumer,Central,Tulsa,2585.9400000000005
2014,Consumer,Central,Tyler,51.18399999999998
2015,Consumer,Central,Tyler,
2016,Consumer,Central,Tyler,
2017,Consumer,Central,Tyler,296.02199999999993
2014,Consumer,Central,Urbandale,
2015,Consumer,Central,Urbandale,
2016,Consumer,Central,Urbandale,103.19999999999999
2017,Consumer,Central,Urbandale,45.92
2014,Consumer,Central,Waco,
2015,Consumer,Central,Waco,
2016,Consumer,Central,Waco,23.968000000000004
2017,Consumer,Central,Waco,581.5831999999999
2014,Consumer,Central,Waterloo,
2015,Consumer,Central,Waterloo,
2016,Consumer,Central,Waterloo,
2017,Consumer,Central,Waterloo,30.32
2014,Consumer,Central,Waukesha,
2015,Consumer,Central,Waukesha,
2016,Consumer,Central,Waukesha,54.5
2017,Consumer,Central,Waukesha,
2014,Consumer,Central,Wausau,317.47999999999996
2015,Consumer,Central,Wausau,
2016,Consumer,Central,Wausau,
2017,Consumer,Central,Wausau,
2014,Consumer,Central,Westland,920.576
2015,Consumer,Central,Westland,
2016,Consumer,Central,Westland,1137.4
2017,Consumer,Central,Westland,
2014,Consumer,Central,Wheeling,
2015,Consumer,Central,Wheeling,
2016,Consumer,Central,Wheeling,615.606
2017,Consumer,Central,Wheeling,121.536
2014,Consumer,Central,Wichita,
2015,Consumer,Central,Wichita,
2016,Consumer,Central,Wichita,396.16999999999996
2017,Consumer,Central,Wichita,279.9
2014,Consumer,Central,Woodstock,8.849999999999998
2015,Consumer,Central,Woodstock,
2016,Consumer,Central,Woodstock,
2017,Consumer,Central,Woodstock,
2014,Consumer,East,Akron,165.168
2015,Consumer,East,Akron,427.548
2016,Consumer,East,Akron,
2017,Consumer,East,Akron,292.472
2014,Consumer,East,Allentown,
2015,Consumer,East,Allentown,
2016,Consumer,East,Allentown,15.808000000000002
2017,Consumer,East,Allentown,
2014,Consumer,East,Andover,
2015,Consumer,East,Andover,
2016,Consumer,East,Andover,435.85
2017,Consumer,East,Andover,
2014,Consumer,East,Auburn,
2015,Consumer,East,Auburn,193.26000000000002
2016,Consumer,East,Auburn,605.9180000000001
2017,Consumer,East,Auburn,
2014,Consumer,East,Baltimore,116.28
2015,Consumer,East,Baltimore,8.22
2016,Consumer,East,Baltimore,883.5019999999998
2017,Consumer,East,Baltimore,1424.9899999999998
2014,Consumer,East,Belleville,
2015,Consumer,East,Belleville,
2016,Consumer,East,Belleville,227.96
2017,Consumer,East,Belleville,399.96999999999997
2014,Consumer,East,Bethlehem,
2015,Consumer,East,Bethlehem,
2016,Consumer,East,Bethlehem,1556.6940000000002
2017,Consumer,East,Bethlehem,
2014,Consumer,East,Bowling Green,264.32
2015,Consumer,East,Bowling Green,469.398
2016,Consumer,East,Bowling Green,5.553000000000001
2017,Consumer,East,Bowling Green,
2014,Consumer,East,Bristol,121.24
2015,Consumer,East,Bristol,
2016,Consumer,East,Bristol,
2017,Consumer,East,Bristol,
2014,Consumer,East,Buffalo,6224.4980000000005
2015,Consumer,East,Buffalo,82.74
2016,Consumer,East,Buffalo,835.1700000000001
2017,Consumer,East,Buffalo,
2014,Consumer,East,Burlington,
2015,Consumer,East,Burlington,715.2
2016,Consumer,East,Burlington,
2017,Consumer,East,Burlington,637.1799999999998
2014,Consumer,East,Chester,1106.7699999999998
2015,Consumer,East,Chester,
2016,Consumer,East,Chester,
2017,Consumer,East,Chester,
2014,Consumer,East,Cincinnati,35.384
2015,Consumer,East,Cincinnati,53.040000000000006
2016,Consumer,East,Cincinnati,112.13500000000002
2017,Consumer,East,Cincinnati,427.25300000000004
2014,Consumer,East,Cleveland,1110.6680000000001
2015,Consumer,East,Cleveland,794.82
2016,Consumer,East,Cleveland,2072.486
2017,Consumer,East,Cleveland,324.81100000000004
2014,Consumer,East,Clifton,336.82
2015,Consumer,East,Clifton,
2016,Consumer,East,Clifton,
2017,Consumer,East,Clifton,
2014,Consumer,East,Clinton,
2015,Consumer,East,Clinton,1133.8200000000002
2016,Consumer,East,Clinton,573.741
2017,Consumer,East,Clinton,23.12
2014,Consumer,East,Columbia,587.14
2015,Consumer,East,Columbia,2541.98
2016,Consumer,East,Columbia,2073.35
2017,Consumer,East,Columbia,174.3
2014,Consumer,East,Columbus,2407.5519999999997
2015,Consumer,East,Columbus,707.338
2016,Consumer,East,Columbus,2466.401
2017,Consumer,East,Columbus,3609.6049999999996
2014,Consumer,East,Concord,
2015,Consumer,East,Concord,103.06
2016,Consumer,East,Concord,
2017,Consumer,East,Concord,102.3
2014,Consumer,East,Cranston,2116.5060000000003
2015,Consumer,East,Cranston,
2016,Consumer,East,Cranston,
2017,Consumer,East,Cranston,102.93
2014,Consumer,East,Cuyahoga Falls,
2015,Consumer,East,Cuyahoga Falls,
2016,Consumer,East,Cuyahoga Falls,2.2140000000000004
2017,Consumer,East,Cuyahoga Falls,18.528000000000002
2014,Consumer,East,Dover,74.26
2015,Consumer,East,Dover,784.56
2016,Consumer,East,Dover,66.8
2017,Consumer,East,Dover,
2014,Consumer,East,Dublin,
2015,Consumer,East,Dublin,627.9240000000001
2016,Consumer,East,Dublin,
2017,Consumer,East,Dublin,693.79
2014,Consumer,East,East Orange,
2015,Consumer,East,East Orange,
2016,Consumer,East,East Orange,345.47
2017,Consumer,East,East Orange,31.799999999999997
2014,Consumer,East,Everett,1885.27
2015,Consumer,East,Everett,
2016,Consumer,East,Everett,
2017,Consumer,East,Everett,1472.85
2014,Consumer,East,Fairfield,1568.012
2015,Consumer,East,Fairfield,
2016,Consumer,East,Fairfield,1577.9170000000001
2017,Consumer,East,Fairfield,1539.821
2014,Consumer,East,Franklin,700.056
2015,Consumer,East,Franklin,11.65
2016,Consumer,East,Franklin,1517.049
2017,Consumer,East,Franklin,
2014,Consumer,East,Freeport,17.248
2015,Consumer,East,Freeport,506.08200000000005
2016,Consumer,East,Freeport,
2017,Consumer,East,Freeport,
2014,Consumer,East,Grove City,
2015,Consumer,East,Grove City,
2016,Consumer,East,Grove City,
2017,Consumer,East,Grove City,123.58799999999998
2014,Consumer,East,Hagerstown,
2015,Consumer,East,Hagerstown,
2016,Consumer,East,Hagerstown,
2017,Consumer,East,Hagerstown,43.8
2014,Consumer,East,Hamilton,204.304
2015,Consumer,East,Hamilton,
2016,Consumer,East,Hamilton,123.92000000000002
2017,Consumer,East,Hamilton,
2014,Consumer,East,Hempstead,115.95200000000001
2015,Consumer,East,Hempstead,794.5740000000001
2016,Consumer,East,Hempstead,
2017,Consumer,East,Hempstead,
2014,Consumer,East,Jamestown,4548.81
2015,Consumer,East,Jamestown,
2016,Consumer,East,Jamestown,
2017,Consumer,East,Jamestown,
2014,Consumer,East,Kent,48.36
2015,Consumer,East,Kent,
2016,Consumer,East,Kent,
2017,Consumer,East,Kent,193.974
2014,Consumer,East,Lakewood,1326.69
2015,Consumer,East,Lakewood,34.418000000000006
2016,Consumer,East,Lakewood,14.96
2017,Consumer,East,Lakewood,2269.0620000000004
