Orders.Segment,Orders.Region,Orders.State,Sum(Orders.Quantity),Sum(Orders.Profit),Sum(Orders.Sales)
Home Office,Central,Indiana,125,2063.0031999999997,6779.660000000001
Consumer,Central,Wisconsin,140,3451.8645000000006,14232.359999999995
Corporate,Central,Wisconsin,206,3420.2129999999993,12395.63
Home Office,Central,Wisconsin,117,1529.7229,5486.62
Consumer,Central,Minnesota,192,7503.108900000001,19235.179999999997
Corporate,Central,Minnesota,62,1116.0349,3111.1100000000006
Home Office,Central,Minnesota,77,2204.0435999999995,7516.859999999999
Consumer,Central,Missouri,139,1158.0537,5150.920000000001
Corporate,Central,Missouri,63,2904.9968,10500.429999999998
Home Office,Central,Missouri,50,2373.16,6553.8
Consumer,Central,Oklahoma,132,3021.8161,11561.769999999999
Corporate,Central,Oklahoma,39,519.4248000000001,2569.7500000000005
Home Office,Central,Oklahoma,76,1312.7151,5551.87
Consumer,Central,Nebraska,71,1603.5748999999998,5261.249999999998
Corporate,Central,Nebraska,45,215.1239,1266.7399999999998
Home Office,Central,Nebraska,20,218.39540000000002,936.9399999999998
Consumer,Central,Iowa,47,419.8995,2100.07
Corporate,Central,Iowa,39,294.03860000000003,911.45
Home Office,Central,Iowa,26,469.87379999999996,1568.24
Consumer,Central,Kansas,26,263.5363,697.1799999999998
Corporate,Central,Kansas,26,286.32559999999995,898.1799999999998
Home Office,Central,Kansas,22,286.5816,1318.95
Consumer,Central,South Dakota,10,16.1381,45.730000000000004
Corporate,Central,South Dakota,32,378.69020000000006,1269.83
Home Office,Central,South Dakota,,,
Consumer,Central,North Dakota,24,216.59069999999997,891.53
Corporate,Central,North Dakota,,,
Home Office,Central,North Dakota,6,13.559,28.38
Consumer,South,Florida,596,-137.28290000000158,32701.195999999985
Corporate,South,Florida,536,-1417.7920000000013,22477.59150000001
Home Office,South,Florida,247,-1844.2268000000026,34294.9205
Consumer,South,Virginia,473,9526.862799999997,35683.630000000005
Corporate,South,Virginia,263,7308.477399999996,27501.48
Home Office,South,Virginia,157,1762.6101999999996,7451.61
Consumer,South,North Carolina,578,-2688.7785000000003,29997.226000000013
Corporate,South,North Carolina,287,-3811.6971999999987,18656.746
Home Office,South,North Carolina,118,-990.4365000000005,6949.192000000001
Consumer,South,Georgia,349,8035.225399999998,24447.120000000003
Corporate,South,Georgia,207,5561.712199999999,15982.249999999998
Home Office,South,Georgia,149,2653.1057,8666.47
Consumer,South,Kentucky,261,6663.839800000002,20430.719999999987
Corporate,South,Kentucky,140,2106.4954000000007,7927.83
Home Office,South,Kentucky,122,2429.3614,8233.199999999999
Consumer,South,Tennessee,381,-3590.8477999999996,16578.939000000002
Corporate,South,Tennessee,218,-640.0381999999995,9745.765
Home Office,South,Tennessee,82,-1110.8076,4337.169
Consumer,South,Alabama,102,1711.0938999999998,7537.539999999999
Corporate,South,Alabama,130,3648.384599999999,10969.379999999996
Home Office,South,Alabama,24,427.3468,1003.7199999999999
Consumer,South,Arkansas,148,3152.8321,8802.009999999998
Corporate,South,Arkansas,56,706.441,2463.7799999999997
Home Office,South,Arkansas,36,149.41399999999996,412.34000000000003
Consumer,South,Mississippi,117,1884.5524,7688.580000000001
Corporate,South,Mississippi,50,556.5185,1362.72
Home Office,South,Mississippi,54,731.9053,1720.0400000000002
Consumer,South,Louisiana,88,1344.0039,6174.259999999998
Corporate,South,Louisiana,46,452.1782,1882.3500000000001
Home Office,South,Louisiana,22,399.9202,1160.42
Consumer,South,South Carolina,85,1012.0717000000002,5539.750000000001
Corporate,South,South Carolina,83,744.5432999999999,2916.039999999999
Home Office,South,South Carolina,4,12.441600000000001,25.92
