Orders.Ship Mode,Orders.Segment,Orders.Region,Orders.Category,Orders.Sub-Category,Sum(Orders.Sales),Sum(Orders.Profit)
Standard Class,Home Office,South,Technology,Copiers,,
First Class,Consumer,West,Technology,Copiers,14479.944,6779.978799999999
Same Day,Consumer,West,Technology,Copiers,2799.9600000000005,944.9864999999999
Second Class,Consumer,West,Technology,Copiers,7399.842000000001,2423.9509
Standard Class,Consumer,West,Technology,Copiers,5779.866000000001,2009.9551000000001
First Class,Corporate,West,Technology,Copiers,4349.906000000001,1855.4595999999997
Same Day,Corporate,West,Technology,Copiers,2399.96,839.9860000000001
Second Class,Corporate,West,Technology,Copiers,1319.976,494.99100000000004
Standard Class,Corporate,West,Technology,Copiers,,
First Class,Home Office,West,Technology,Copiers,4379.902,1457.9681999999998
Same Day,Home Office,West,Technology,Copiers,,
Second Class,Home Office,West,Technology,Copiers,,
Standard Class,Home Office,West,Technology,Copiers,6839.886,2519.9589999999994
First Class,Consumer,Central,Technology,Phones,5790.848000000002,833.1225999999997
Same Day,Consumer,Central,Technology,Phones,182.878,0.1585000000000072
Second Class,Consumer,Central,Technology,Phones,5625.164000000001,888.5666999999999
Standard Class,Consumer,Central,Technology,Phones,25509.89599999999,4694.171799999999
First Class,Corporate,Central,Technology,Phones,3180.6500000000005,379.7025999999998
Same Day,Corporate,Central,Technology,Phones,,
Second Class,Corporate,Central,Technology,Phones,4396.632,569.2901
Standard Class,Corporate,Central,Technology,Phones,9603.514000000003,1442.2869999999998
First Class,Home Office,Central,Technology,Phones,2315.68,374.9444
Same Day,Home Office,Central,Technology,Phones,1474.28,367.0777000000001
Second Class,Home Office,Central,Technology,Phones,7845.042000000001,1248.6402000000003
Standard Class,Home Office,Central,Technology,Phones,6478.697999999999,1525.0650999999998
First Class,Consumer,East,Technology,Phones,10992.275999999998,2525.3188999999998
Same Day,Consumer,East,Technology,Phones,2580.0060000000003,487.64669999999984
Second Class,Consumer,East,Technology,Phones,9819.805999999997,1415.5471
Standard Class,Consumer,East,Technology,Phones,28119.949999999997,2899.7409000000002
First Class,Corporate,East,Technology,Phones,2767.95,730.8068
Same Day,Corporate,East,Technology,Phones,2964.95,45.797300000000035
Second Class,Corporate,East,Technology,Phones,3267.1879999999996,145.22299999999987
Standard Class,Corporate,East,Technology,Phones,20865.530000000006,2207.791200000001
First Class,Home Office,East,Technology,Phones,5161.137999999999,1225.5550999999998
Same Day,Home Office,East,Technology,Phones,,
Second Class,Home Office,East,Technology,Phones,1911.7559999999999,-62.36630000000014
Standard Class,Home Office,East,Technology,Phones,12164.431999999999,693.6253000000002
First Class,Consumer,South,Technology,Phones,1002.26,193.06690000000003
Same Day,Consumer,South,Technology,Phones,3782.976,284.1564999999999
Second Class,Consumer,South,Technology,Phones,7356.800000000001,1122.5498000000002
Standard Class,Consumer,South,Technology,Phones,18704.167999999994,4024.1385999999998
First Class,Corporate,South,Technology,Phones,3768.9600000000005,548.8419
Same Day,Corporate,South,Technology,Phones,,
Second Class,Corporate,South,Technology,Phones,3631.15,930.122
Standard Class,Corporate,South,Technology,Phones,11874.122000000001,2201.2481000000002
First Class,Home Office,South,Technology,Phones,308.346,19.85669999999999
Same Day,Home Office,South,Technology,Phones,790.6500000000001,204.60780000000003
Second Class,Home Office,South,Technology,Phones,3163.954,554.9885999999998
Standard Class,Home Office,South,Technology,Phones,3921.0520000000006,683.6983999999999
First Class,Consumer,West,Technology,Phones,7044.416000000001,440.19019999999995
Same Day,Consumer,West,Technology,Phones,1612.52,152.6237999999999
Second Class,Consumer,West,Technology,Phones,8284.864000000001,839.5995999999996
Standard Class,Consumer,West,Technology,Phones,33523.936,3036.5160999999985
First Class,Corporate,West,Technology,Phones,5048.84,573.7716000000003
Same Day,Corporate,West,Technology,Phones,1039.728,90.97620000000006
Second Class,Corporate,West,Technology,Phones,4851.568,427.4975000000002
Standard Class,Corporate,West,Technology,Phones,13892.632000000001,1472.8643
First Class,Home Office,West,Technology,Phones,6234.504000000001,555.0923000000001
Same Day,Home Office,West,Technology,Phones,1560.248,151.43009999999992
Second Class,Home Office,West,Technology,Phones,3101.304,297.97709999999995
Standard Class,Home Office,West,Technology,Phones,12489.792,1072.2038
First Class,Consumer,Central,Technology,Accessories,1467.9740000000002,480.12899999999996
Same Day,Consumer,Central,Technology,Accessories,2327.298,410.3422999999999
Second Class,Consumer,Central,Technology,Accessories,6071.35,960.8869999999998
Standard Class,Consumer,Central,Technology,Accessories,9195.682000000004,1892.0275999999997
First Class,Corporate,Central,Technology,Accessories,1061.6200000000001,263.6847
Same Day,Corporate,Central,Technology,Accessories,,
Second Class,Corporate,Central,Technology,Accessories,1905.104,352.76649999999995
Standard Class,Corporate,Central,Technology,Accessories,3228.514,846.4824999999997
First Class,Home Office,Central,Technology,Accessories,547.438,162.48399999999998
Same Day,Home Office,Central,Technology,Accessories,,
Second Class,Home Office,Central,Technology,Accessories,2503.344,549.3652
Standard Class,Home Office,Central,Technology,Accessories,5647.7519999999995,1333.4617999999998
First Class,Consumer,East,Technology,Accessories,5292.4580000000005,941.7479
Same Day,Consumer,East,Technology,Accessories,2956.474,848.0178999999999
Second Class,Consumer,East,Technology,Accessories,4259.298,753.8359999999999
Standard Class,Consumer,East,Technology,Accessories,10352.826000000003,2696.4764999999998
First Class,Corporate,East,Technology,Accessories,1860.364,639.6723000000001
Same Day,Corporate,East,Technology,Accessories,1503.8400000000001,286.7693999999999
Second Class,Corporate,East,Technology,Accessories,1761.7200000000003,553.8366000000001
Standard Class,Corporate,East,Technology,Accessories,6622.0740000000005,1453.3128000000002
First Class,Home Office,East,Technology,Accessories,592.684,93.44739999999999
Same Day,Home Office,East,Technology,Accessories,270.816,72.1614
Second Class,Home Office,East,Technology,Accessories,3975.6979999999994,1031.3285
Standard Class,Home Office,East,Technology,Accessories,5585.120000000001,1825.2577
First Class,Consumer,South,Technology,Accessories,1885.2220000000002,624.4105
Same Day,Consumer,South,Technology,Accessories,672.396,137.9424
Second Class,Consumer,South,Technology,Accessories,1922.844,429.4455
Standard Class,Consumer,South,Technology,Accessories,7171.101999999999,1596.5087999999998
First Class,Corporate,South,Technology,Accessories,313.07,97.81389999999999
Same Day,Corporate,South,Technology,Accessories,299.96999999999997,125.98740000000001
Second Class,Corporate,South,Technology,Accessories,5383.761999999999,1547.7251
Standard Class,Corporate,South,Technology,Accessories,4178.6539999999995,1313.9512999999997
First Class,Home Office,South,Technology,Accessories,382.96,133.9624
Same Day,Home Office,South,Technology,Accessories,255.968,31.995999999999974
Second Class,Home Office,South,Technology,Accessories,1070.594,395.5643000000001
Standard Class,Home Office,South,Technology,Accessories,3740.212,569.2347999999997
First Class,Consumer,West,Technology,Accessories,5546.747999999999,1800.5816999999997
Same Day,Consumer,West,Technology,Accessories,3498.6040000000003,1121.7329
Second Class,Consumer,West,Technology,Accessories,4366.718000000001,1209.2350000000006
Standard Class,Consumer,West,Technology,Accessories,20118.243999999995,4832.6015
First Class,Corporate,West,Technology,Accessories,1735.3800000000003,298.9919999999999
Same Day,Corporate,West,Technology,Accessories,185.52800000000002,48.7011
Second Class,Corporate,West,Technology,Accessories,3269.3940000000002,695.5171999999999
Standard Class,Corporate,West,Technology,Accessories,14881.57,4182.2677
First Class,Home Office,West,Technology,Accessories,1540.7740000000001,370.48729999999995
Same Day,Home Office,West,Technology,Accessories,1806.33,783.0402
Second Class,Home Office,West,Technology,Accessories,1083.16,254.16389999999998
Standard Class,Home Office,West,Technology,Accessories,3081.666,887.2778
First Class,Consumer,Central,Technology,Machines,,
Same Day,Consumer,Central,Technology,Machines,,
Second Class,Consumer,Central,Technology,Machines,483.43999999999994,-57.25500000000001
Standard Class,Consumer,Central,Technology,Machines,11516.321999999998,-1609.7730000000022
First Class,Corporate,Central,Technology,Machines,3059.982,679.9959999999996
Same Day,Corporate,Central,Technology,Machines,,
Second Class,Corporate,Central,Technology,Machines,6177.072,-712.2318000000007
Standard Class,Corporate,Central,Technology,Machines,2479.68,-329.2686000000003
First Class,Home Office,Central,Technology,Machines,574.91,156.04699999999997
Same Day,Home Office,Central,Technology,Machines,209.986,8.99939999999998
Second Class,Home Office,Central,Technology,Machines,1608.509,180.4631
Standard Class,Home Office,Central,Technology,Machines,687.4830000000001,196.95629999999994
First Class,Consumer,East,Technology,Machines,2758.674,-3375.7929000000004
Same Day,Consumer,East,Technology,Machines,4251.803999999999,1665.0440999999998
Second Class,Consumer,East,Technology,Machines,,
Standard Class,Consumer,East,Technology,Machines,23657.951000000005,414.6637999999978
First Class,Corporate,East,Technology,Machines,652.9950000000001,-935.9594999999999
Same Day,Corporate,East,Technology,Machines,6021.591,2179.1403999999998
Second Class,Corporate,East,Technology,Machines,449.1,-643.7099999999998
Standard Class,Corporate,East,Technology,Machines,16768.350000000002,2025.1313999999993
First Class,Home Office,East,Technology,Machines,1774.88,797.2961999999999
Same Day,Home Office,East,Technology,Machines,,
Second Class,Home Office,East,Technology,Machines,,
Standard Class,Home Office,East,Technology,Machines,9770.82,4802.8294
First Class,Consumer,South,Technology,Machines,848.6850000000001,-37.00709999999998
Same Day,Consumer,South,Technology,Machines,,
Second Class,Consumer,South,Technology,Machines,8749.95,2799.9839999999995
Standard Class,Consumer,South,Technology,Machines,8739.915,147.58189999999922
First Class,Corporate,South,Technology,Machines,3735.7,1431.372
Same Day,Corporate,South,Technology,Machines,7999.98,-3839.9903999999988
Second Class,Corporate,South,Technology,Machines,,
Standard Class,Corporate,South,Technology,Machines,265.475,-111.49950000000007
First Class,Home Office,South,Technology,Machines,,
Same Day,Home Office,South,Technology,Machines,,
Second Class,Home Office,South,Technology,Machines,91.475,-1.829499999999996
Standard Class,Home Office,South,Technology,Machines,23459.78,-1827.504400000002
First Class,Consumer,West,Technology,Machines,179.99100000000004,-251.98739999999992
Same Day,Consumer,West,Technology,Machines,,
Second Class,Consumer,West,Technology,Machines,4862.6,633.8474999999996
Standard Class,Consumer,West,Technology,Machines,13493.492999999999,1811.755899999999
First Class,Corporate,West,Technology,Machines,6506.2739999999985,493.0866999999997
Same Day,Corporate,West,Technology,Machines,1919.976,215.99729999999977
Second Class,Corporate,West,Technology,Machines,59.99400000000001,-45.995400000000004
Standard Class,Corporate,West,Technology,Machines,4180.586,296.95040000000006
First Class,Home Office,West,Technology,Machines,4061.3100000000004,-560.5500000000004
Same Day,Home Office,West,Technology,Machines,2395.2000000000003,209.58000000000004
Second Class,Home Office,West,Technology,Machines,11.56,3.7569999999999992
Standard Class,Home Office,West,Technology,Machines,4773.138000000001,-3425.3684000000007
First Class,Consumer,Central,Office Supplies,Paper,1174.2160000000001,435.47220000000004
Same Day,Consumer,Central,Office Supplies,Paper,505.168,181.97819999999996
Second Class,Consumer,Central,Office Supplies,Paper,1261.1619999999998,500.8469999999998
Standard Class,Consumer,Central,Office Supplies,Paper,4623.474,1796.3402999999998
First Class,Corporate,Central,Office Supplies,Paper,614.1800000000001,228.53139999999996
Same Day,Corporate,Central,Office Supplies,Paper,,
Second Class,Corporate,Central,Office Supplies,Paper,1900.3519999999996,773.4656000000001
Standard Class,Corporate,Central,Office Supplies,Paper,3437.47,1397.2334999999996
First Class,Home Office,Central,Office Supplies,Paper,500.622,212.1905
Same Day,Home Office,Central,Office Supplies,Paper,394.73400000000004,189.61350000000002
Second Class,Home Office,Central,Office Supplies,Paper,1641.7679999999998,618.6777000000001
Standard Class,Home Office,Central,Office Supplies,Paper,1438.7559999999996,637.5506000000001
First Class,Consumer,East,Office Supplies,Paper,1502.6000000000001,671.7229999999998
Same Day,Consumer,East,Office Supplies,Paper,477.98799999999994,222.60990000000007
Second Class,Consumer,East,Office Supplies,Paper,2300.2720000000004,1046.6545
Standard Class,Consumer,East,Office Supplies,Paper,4380.408,1976.3432999999998
First Class,Corporate,East,Office Supplies,Paper,859.274,389.2665999999998
Same Day,Corporate,East,Office Supplies,Paper,136.592,42.684999999999995
Second Class,Corporate,East,Office Supplies,Paper,1117.9279999999999,504.08969999999994
Standard Class,Corporate,East,Office Supplies,Paper,3861.3219999999997,1732.9169000000006
First Class,Home Office,East,Office Supplies,Paper,697.488,320.9117
Same Day,Home Office,East,Office Supplies,Paper,345.736,153.05019999999996
Second Class,Home Office,East,Office Supplies,Paper,1247.974,564.8437
Standard Class,Home Office,East,Office Supplies,Paper,3245.02,1390.2765000000002
First Class,Consumer,South,Office Supplies,Paper,934.672,356.13019999999995
Same Day,Consumer,South,Office Supplies,Paper,567.288,223.59659999999997
Second Class,Consumer,South,Office Supplies,Paper,892.7740000000001,357.85259999999994
Standard Class,Consumer,South,Office Supplies,Paper,5208.5380000000005,2147.7569999999996
First Class,Corporate,South,Office Supplies,Paper,447.72,176.25359999999998
Same Day,Corporate,South,Office Supplies,Paper,60.912000000000006,27.216000000000005
Second Class,Corporate,South,Office Supplies,Paper,374.31600000000003,165.7372
Standard Class,Corporate,South,Office Supplies,Paper,2462.374,1040.8565
First Class,Home Office,South,Office Supplies,Paper,48.54600000000001,20.3283
Same Day,Home Office,South,Office Supplies,Paper,1072.068,514.7516
Second Class,Home Office,South,Office Supplies,Paper,1098.6519999999998,495.3152
Standard Class,Home Office,South,Office Supplies,Paper,983.1240000000003,421.2666
First Class,Consumer,West,Office Supplies,Paper,1458.7800000000002,645.8103
Same Day,Consumer,West,Office Supplies,Paper,650.19,309.3221
Second Class,Consumer,West,Office Supplies,Paper,2674.3799999999997,1254.2414
Standard Class,Consumer,West,Office Supplies,Paper,7712.457999999994,3407.965000000003
First Class,Corporate,West,Office Supplies,Paper,2568.3800000000006,1203.9648999999997
Same Day,Corporate,West,Office Supplies,Paper,279.34000000000003,122.9358
Second Class,Corporate,West,Office Supplies,Paper,1073.218,506.12890000000004
Standard Class,Corporate,West,Office Supplies,Paper,4689.752,2050.2652000000007
First Class,Home Office,West,Office Supplies,Paper,573.3199999999998,258.71639999999996
Same Day,Home Office,West,Office Supplies,Paper,215.68,100.66399999999999
Second Class,Home Office,West,Office Supplies,Paper,1650.6540000000005,779.1753
Standard Class,Home Office,West,Office Supplies,Paper,3117.5660000000007,1480.0471
First Class,Consumer,Central,Office Supplies,Binders,4802.463999999999,-1448.2934000000007
Same Day,Consumer,Central,Office Supplies,Binders,269.11,121.61290000000001
Second Class,Consumer,Central,Office Supplies,Binders,6693.43,2122.2248999999997
Standard Class,Consumer,Central,Office Supplies,Binders,27928.571999999993,1036.776600000001
First Class,Corporate,Central,Office Supplies,Binders,765.328,-879.4866000000001
Same Day,Corporate,Central,Office Supplies,Binders,253.10399999999998,-319.1596000000001
Second Class,Corporate,Central,Office Supplies,Binders,662.7159999999998,-98.1193000000001
Standard Class,Corporate,Central,Office Supplies,Binders,7198.392,-3123.6594000000005
First Class,Home Office,Central,Office Supplies,Binders,4035.53,1897.8614
Same Day,Home Office,Central,Office Supplies,Binders,68.656,-0.9468000000000147
Second Class,Home Office,Central,Office Supplies,Binders,236.226,51.8424
Standard Class,Home Office,Central,Office Supplies,Binders,4009.754,-404.2900000000006
First Class,Consumer,East,Office Supplies,Binders,7870.756999999999,782.3837999999996
Same Day,Consumer,East,Office Supplies,Binders,833.3829999999999,203.92879999999997
Second Class,Consumer,East,Office Supplies,Binders,2322.02,389.28779999999983
Standard Class,Consumer,East,Office Supplies,Binders,20596.449999999993,5365.069300000003
First Class,Corporate,East,Office Supplies,Binders,2557.506,780.7295999999999
Same Day,Corporate,East,Office Supplies,Binders,52.981,-12.022499999999992
Second Class,Corporate,East,Office Supplies,Binders,1006.5140000000001,-330.1945999999999
Standard Class,Corporate,East,Office Supplies,Binders,8431.380000000001,2394.4908999999984
First Class,Home Office,East,Office Supplies,Binders,5856.731,660.6312999999993
Same Day,Home Office,East,Office Supplies,Binders,63.24999999999999,14.8631
Second Class,Home Office,East,Office Supplies,Binders,528.863,222.50549999999996
Standard Class,Home Office,East,Office Supplies,Binders,3378.1619999999994,796.2615999999998
First Class,Consumer,South,Office Supplies,Binders,943.442,353.5363999999999
Same Day,Consumer,South,Office Supplies,Binders,204.579,-69.25890000000001
Second Class,Consumer,South,Office Supplies,Binders,2839.178,-1201.9568999999997
Standard Class,Consumer,South,Office Supplies,Binders,14630.503999999997,2501.607900000002
First Class,Corporate,South,Office Supplies,Binders,550.1230000000002,20.752200000000016
Same Day,Corporate,South,Office Supplies,Binders,234.36,112.49279999999999
Second Class,Corporate,South,Office Supplies,Binders,1467.403,340.6988
Standard Class,Corporate,South,Office Supplies,Binders,9575.745999999997,2022.2563000000002
First Class,Home Office,South,Office Supplies,Binders,551.6220000000001,-341.4936999999999
Same Day,Home Office,South,Office Supplies,Binders,117.62,58.428399999999996
Second Class,Home Office,South,Office Supplies,Binders,566.1959999999999,211.00539999999998
Standard Class,Home Office,South,Office Supplies,Binders,5349.568,-107.40469999999992
First Class,Consumer,West,Office Supplies,Binders,3346.6200000000003,997.9416999999996
Same Day,Consumer,West,Office Supplies,Binders,2583.4300000000007,697.4748999999999
Second Class,Consumer,West,Office Supplies,Binders,3528.0160000000014,1166.3158999999996
Standard Class,Consumer,West,Office Supplies,Binders,18769.054000000004,4976.9455000000025
First Class,Corporate,West,Office Supplies,Binders,3976.806,1212.5877
Same Day,Corporate,West,Office Supplies,Binders,1083.488,365.039
Second Class,Corporate,West,Office Supplies,Binders,1692.564,590.9117999999997
Standard Class,Corporate,West,Office Supplies,Binders,12051.902,3300.0029999999992
First Class,Home Office,West,Office Supplies,Binders,900.8839999999999,90.99209999999998
Same Day,Home Office,West,Office Supplies,Binders,55.54400000000001,-32.16999999999999
Second Class,Home Office,West,Office Supplies,Binders,5572.216000000001,1996.8202999999994
Standard Class,Home Office,West,Office Supplies,Binders,2400.589000000001,733.9396999999997
First Class,Consumer,Central,Office Supplies,Storage,1637.174,-52.76660000000004
Same Day,Consumer,Central,Office Supplies,Storage,1496.9540000000002,47.8094999999999
Second Class,Consumer,Central,Office Supplies,Storage,3616.3720000000008,348.6177
Standard Class,Consumer,Central,Office Supplies,Storage,17921.309999999998,69.6494999999995
First Class,Corporate,Central,Office Supplies,Storage,2521.396,157.71579999999994
Same Day,Corporate,Central,Office Supplies,Storage,1345.338,199.16400000000004
Second Class,Corporate,Central,Office Supplies,Storage,1425.354,194.80089999999993
Standard Class,Corporate,Central,Office Supplies,Storage,7364.516000000002,532.8294999999996
First Class,Home Office,Central,Office Supplies,Storage,684.438,-43.7312
Same Day,Home Office,Central,Office Supplies,Storage,223.79199999999997,31.941799999999997
Second Class,Home Office,Central,Office Supplies,Storage,1408.4740000000002,94.52729999999995
Standard Class,Home Office,Central,Office Supplies,Storage,6284.9940000000015,389.2782999999999
First Class,Consumer,East,Office Supplies,Storage,3244.362,339.06309999999985
Same Day,Consumer,East,Office Supplies,Storage,1767.2519999999997,169.94090000000008
Second Class,Consumer,East,Office Supplies,Storage,6018.443999999999,736.1871
Standard Class,Consumer,East,Office Supplies,Storage,13964.399999999998,728.7330999999994
First Class,Corporate,East,Office Supplies,Storage,852.758,49.37239999999996
Same Day,Corporate,East,Office Supplies,Storage,533.186,90.56690000000002
Second Class,Corporate,East,Office Supplies,Storage,10611.012,1296.7765999999992
Standard Class,Corporate,East,Office Supplies,Storage,18971.413999999997,2399.7406
First Class,Home Office,East,Office Supplies,Storage,3219.7440000000006,518.0213999999999
Same Day,Home Office,East,Office Supplies,Storage,,
Second Class,Home Office,East,Office Supplies,Storage,2701.2400000000002,349.93339999999995
Standard Class,Home Office,East,Office Supplies,Storage,9728.772,1711.0356999999995
First Class,Consumer,South,Office Supplies,Storage,2704.122,502.9239999999999
Same Day,Consumer,South,Office Supplies,Storage,662.436,-10.253700000000034
Second Class,Consumer,South,Office Supplies,Storage,3482.7000000000007,23.78099999999994
Standard Class,Consumer,South,Office Supplies,Storage,10032.488000000001,372.2183999999995
First Class,Corporate,South,Office Supplies,Storage,1959.5240000000001,75.80959999999999
Same Day,Corporate,South,Office Supplies,Storage,107.922,17.143799999999995
Second Class,Corporate,South,Office Supplies,Storage,4039.1020000000003,464.8757999999998
Standard Class,Corporate,South,Office Supplies,Storage,5255.710000000001,160.7418999999998
First Class,Home Office,South,Office Supplies,Storage,605.3399999999999,15.940200000000031
Same Day,Home Office,South,Office Supplies,Storage,235.42000000000002,3.1640000000000086
Second Class,Home Office,South,Office Supplies,Storage,540.048,-47.2542
Standard Class,Home Office,South,Office Supplies,Storage,6143.2480000000005,695.2056999999996
First Class,Consumer,West,Office Supplies,Storage,2714.0820000000003,306.5936
Same Day,Consumer,West,Office Supplies,Storage,524.346,75.88129999999998
Second Class,Consumer,West,Office Supplies,Storage,6285.23,985.4283000000001
Standard Class,Consumer,West,Office Supplies,Storage,24420.73,2460.3931999999986
First Class,Corporate,West,Office Supplies,Storage,5481.324,1172.6398
Same Day,Corporate,West,Office Supplies,Storage,359.32,7.186399999999992
Second Class,Corporate,West,Office Supplies,Storage,6172.146,835.9306999999999
Standard Class,Corporate,West,Office Supplies,Storage,12790.976,1475.7299999999987
First Class,Home Office,West,Office Supplies,Storage,648.9939999999999,-29.398400000000038
Same Day,Home Office,West,Office Supplies,Storage,1594.26,347.7311999999999
Second Class,Home Office,West,Office Supplies,Storage,2169.25,150.70860000000005
Standard Class,Home Office,West,Office Supplies,Storage,7372.1939999999995,856.4974999999997
First Class,Consumer,Central,Office Supplies,Appliances,170.518,-27.088300000000014
Same Day,Consumer,Central,Office Supplies,Appliances,682.628,8.552799999999962
Second Class,Consumer,Central,Office Supplies,Appliances,763.4599999999999,-1750.8748999999998
Standard Class,Consumer,Central,Office Supplies,Appliances,8202.115,-2006.1961000000008
First Class,Corporate,Central,Office Supplies,Appliances,376.566,-172.84540000000007
Same Day,Corporate,Central,Office Supplies,Appliances,123.858,46.790800000000004
Second Class,Corporate,Central,Office Supplies,Appliances,2513.8469999999998,702.8519999999999
Standard Class,Corporate,Central,Office Supplies,Appliances,2210.4880000000007,-1036.0280000000002
First Class,Home Office,Central,Office Supplies,Appliances,186.732,41.49599999999997
Same Day,Home Office,Central,Office Supplies,Appliances,70.96999999999998,-191.619
Second Class,Home Office,Central,Office Supplies,Appliances,5116.388,1521.0391999999997
Standard Class,Home Office,Central,Office Supplies,Appliances,3164.4629999999997,225.30339999999973
First Class,Consumer,East,Office Supplies,Appliances,5094.4619999999995,1114.8597999999997
Same Day,Consumer,East,Office Supplies,Appliances,1956.1759999999997,621.8017999999998
Second Class,Consumer,East,Office Supplies,Appliances,5005.0419999999995,1347.5692999999999
Standard Class,Consumer,East,Office Supplies,Appliances,7334.076,1924.5269999999996
First Class,Corporate,East,Office Supplies,Appliances,626.1859999999999,180.85509999999996
Same Day,Corporate,East,Office Supplies,Appliances,1182.544,83.8516
Second Class,Corporate,East,Office Supplies,Appliances,1096.212,240.89440000000002
Standard Class,Corporate,East,Office Supplies,Appliances,8076.322000000001,2101.6861
First Class,Home Office,East,Office Supplies,Appliances,207.48,62.24399999999997
Same Day,Home Office,East,Office Supplies,Appliances,663.936,82.99199999999988
Second Class,Home Office,East,Office Supplies,Appliances,,
Standard Class,Home Office,East,Office Supplies,Appliances,2946.0300000000007,630.1322999999998
First Class,Consumer,South,Office Supplies,Appliances,1430.022,258.8508999999999
Same Day,Consumer,South,Office Supplies,Appliances,17.34,4.681800000000001
Second Class,Consumer,South,Office Supplies,Appliances,2317.782,342.8868000000001
Standard Class,Consumer,South,Office Supplies,Appliances,4522.209999999999,848.8436999999999
First Class,Corporate,South,Office Supplies,Appliances,3030.514,758.5005
Same Day,Corporate,South,Office Supplies,Appliances,429.68000000000006,93.32299999999998
Second Class,Corporate,South,Office Supplies,Appliances,5317.921999999999,1304.1116999999995
Standard Class,Corporate,South,Office Supplies,Appliances,1345.52,387.8865999999999
First Class,Home Office,South,Office Supplies,Appliances,,
Same Day,Home Office,South,Office Supplies,Appliances,,
Second Class,Home Office,South,Office Supplies,Appliances,,
Standard Class,Home Office,South,Office Supplies,Appliances,1114.336,124.85459999999995
First Class,Consumer,West,Office Supplies,Appliances,3074.9500000000003,971.9516999999998
Same Day,Consumer,West,Office Supplies,Appliances,596.4699999999999,170.40689999999998
Second Class,Consumer,West,Office Supplies,Appliances,2675.81,766.1634
Standard Class,Consumer,West,Office Supplies,Appliances,8976.52,2384.9916000000007
First Class,Corporate,West,Office Supplies,Appliances,1160.8820000000003,311.04679999999996
Same Day,Corporate,West,Office Supplies,Appliances,440.03000000000003,139.8576
Second Class,Corporate,West,Office Supplies,Appliances,1409.976,328.6665999999999
Standard Class,Corporate,West,Office Supplies,Appliances,7248.1359999999995,1958.445799999999
First Class,Home Office,West,Office Supplies,Appliances,367.712,43.98999999999998
Same Day,Home Office,West,Office Supplies,Appliances,106.96,31.018399999999986
Second Class,Home Office,West,Office Supplies,Appliances,321.79999999999995,103.3872
Standard Class,Home Office,West,Office Supplies,Appliances,3857.0899999999997,1051.3438999999998
First Class,Consumer,Central,Office Supplies,Envelopes,325.86,149.8956
Same Day,Consumer,Central,Office Supplies,Envelopes,59.751999999999995,19.4194
Second Class,Consumer,Central,Office Supplies,Envelopes,296.226,129.82039999999998
Standard Class,Consumer,Central,Office Supplies,Envelopes,1683.6119999999999,613.5262
First Class,Corporate,Central,Office Supplies,Envelopes,74.352,26.952599999999997
Same Day,Corporate,Central,Office Supplies,Envelopes,,
Second Class,Corporate,Central,Office Supplies,Envelopes,358.46399999999994,161.3319
Standard Class,Corporate,Central,Office Supplies,Envelopes,803.092,295.37969999999996
First Class,Home Office,Central,Office Supplies,Envelopes,465.848,156.68269999999998
Same Day,Home Office,Central,Office Supplies,Envelopes,,
Second Class,Home Office,Central,Office Supplies,Envelopes,22.56,10.9816
