Orders.Region,Orders.Category,Orders.Sub-Category,Orders.Segment,Sum(Orders.Profit)
West,Office Supplies,Storage,Consumer,3828.2964000000006
Central,Office Supplies,Storage,Home Office,472.0162
East,Office Supplies,Storage,Home Office,2578.990499999999
South,Office Supplies,Storage,Home Office,667.0556999999999
West,Office Supplies,Storage,Home Office,1325.5388999999993
Central,Office Supplies,Appliances,Corporate,-459.2306000000005
East,Office Supplies,Appliances,Corporate,2607.2871999999993
South,Office Supplies,Appliances,Corporate,2543.821799999999
West,Office Supplies,Appliances,Corporate,2738.0168000000003
Central,Office Supplies,Appliances,Consumer,-3775.6065000000012
East,Office Supplies,Appliances,Consumer,5008.7579000000005
South,Office Supplies,Appliances,Consumer,1455.2631999999996
West,Office Supplies,Appliances,Consumer,4293.513599999998
Central,Office Supplies,Appliances,Home Office,1596.2196
East,Office Supplies,Appliances,Home Office,775.3682999999995
South,Office Supplies,Appliances,Home Office,124.85459999999995
West,Office Supplies,Appliances,Home Office,1229.7395
Central,Office Supplies,Envelopes,Consumer,912.6615999999998
East,Office Supplies,Envelopes,Consumer,881.8797000000001
South,Office Supplies,Envelopes,Consumer,503.43069999999994
West,Office Supplies,Envelopes,Consumer,966.4405999999999
Central,Office Supplies,Envelopes,Corporate,483.66419999999994
East,Office Supplies,Envelopes,Corporate,663.5851999999999
South,Office Supplies,Envelopes,Corporate,643.3798
West,Office Supplies,Envelopes,Corporate,780.5997999999998
Central,Office Supplies,Envelopes,Home Office,381.20249999999993
East,Office Supplies,Envelopes,Home Office,266.9441
South,Office Supplies,Envelopes,Home Office,318.6664999999999
West,Office Supplies,Envelopes,Home Office,161.72199999999998
Central,Office Supplies,Art,Consumer,605.5615
East,Office Supplies,Art,Consumer,989.0641999999997
South,Office Supplies,Art,Consumer,648.4542999999995
West,Office Supplies,Art,Consumer,1211.2211000000002
Central,Office Supplies,Art,Corporate,343.9692999999999
East,Office Supplies,Art,Corporate,566.1715999999999
South,Office Supplies,Art,Corporate,264.25429999999994
West,Office Supplies,Art,Corporate,830.2524999999998
Central,Office Supplies,Art,Home Office,245.62829999999997
East,Office Supplies,Art,Home Office,344.7084999999999
South,Office Supplies,Art,Home Office,145.87799999999993
West,Office Supplies,Art,Home Office,332.6234
Central,Office Supplies,Labels,Consumer,334.20230000000004
East,Office Supplies,Labels,Consumer,733.5290000000001
South,Office Supplies,Labels,Consumer,840.9037999999999
West,Office Supplies,Labels,Consumer,1167.3532999999995
Central,Office Supplies,Labels,Corporate,487.17
East,Office Supplies,Labels,Corporate,218.62989999999994
South,Office Supplies,Labels,Corporate,150.43720000000002
West,Office Supplies,Labels,Corporate,904.5902000000003
Central,Office Supplies,Labels,Home Office,251.7071
East,Office Supplies,Labels,Home Office,177.1211
South,Office Supplies,Labels,Home Office,49.4313
West,Office Supplies,Labels,Home Office,231.17880000000002
Central,Office Supplies,Fasteners,Consumer,128.14770000000001
East,Office Supplies,Fasteners,Consumer,149.17299999999997
South,Office Supplies,Fasteners,Consumer,114.2714
West,Office Supplies,Fasteners,Consumer,185.2087
Central,Office Supplies,Fasteners,Corporate,78.5563
East,Office Supplies,Fasteners,Corporate,76.4704
South,Office Supplies,Fasteners,Corporate,27.569899999999997
West,Office Supplies,Fasteners,Corporate,69.3064
Central,Office Supplies,Fasteners,Home Office,29.9146
East,Office Supplies,Fasteners,Home Office,38.34739999999999
South,Office Supplies,Fasteners,Home Office,31.876799999999996
West,Office Supplies,Fasteners,Home Office,20.675600000000003
Central,Office Supplies,Supplies,Corporate,101.84980000000003
East,Office Supplies,Supplies,Corporate,-12.897400000000047
South,Office Supplies,Supplies,Corporate,-111.63789999999989
West,Office Supplies,Supplies,Corporate,361.6118999999998
Central,Office Supplies,Supplies,Home Office,18.354300000000002
East,Office Supplies,Supplies,Home Office,29.397900000000014
South,Office Supplies,Supplies,Home Office,43.655999999999985
West,Office Supplies,Supplies,Home Office,38.117199999999976
Central,Office Supplies,Supplies,Consumer,-782.0922000000003
East,Office Supplies,Supplies,Consumer,-1171.6356999999998
South,Office Supplies,Supplies,Consumer,69.85919999999999
West,Office Supplies,Supplies,Consumer,226.3173999999996
Central,Furniture,Chairs,Consumer,2920.9013000000004
East,Furniture,Chairs,Consumer,4917.395199999997
South,Furniture,Chairs,Consumer,4017.0347
West,Furniture,Chairs,Consumer,1380.0006999999987
Central,Furniture,Chairs,Corporate,3206.8836999999976
East,Furniture,Chairs,Corporate,2720.5878
South,Furniture,Chairs,Corporate,1183.9544999999994
West,Furniture,Chairs,Corporate,1233.2304999999983
Central,Furniture,Chairs,Home Office,464.9370999999995
East,Furniture,Chairs,Home Office,1719.7875999999994
South,Furniture,Chairs,Home Office,1411.1000999999997
West,Furniture,Chairs,Home Office,1414.3530999999994
Central,Furniture,Furnishings,Consumer,-1454.0523999999998
East,Furniture,Furnishings,Consumer,3021.1370000000006
South,Furniture,Furnishings,Consumer,1957.1855000000005
West,Furniture,Furnishings,Consumer,4395.1526
Central,Furniture,Furnishings,Corporate,-1209.3583
East,Furniture,Furnishings,Corporate,1956.2305999999996
South,Furniture,Furnishings,Corporate,1087.9331000000002
West,Furniture,Furnishings,Corporate,1673.4023
Central,Furniture,Furnishings,Home Office,-1242.8060999999998
East,Furniture,Furnishings,Home Office,904.0395
South,Furniture,Furnishings,Home Office,397.5642999999999
West,Furniture,Furnishings,Home Office,1572.7154999999996
Central,Furniture,Bookcases,Corporate,-382.7121000000001
East,Furniture,Bookcases,Corporate,964.9629999999996
South,Furniture,Bookcases,Corporate,68.36659999999996
West,Furniture,Bookcases,Corporate,-12.167300000000452
Central,Furniture,Bookcases,Home Office,-118.06620000000007
East,Furniture,Bookcases,Home Office,59.47239999999985
South,Furniture,Bookcases,Home Office,51.11319999999992
West,Furniture,Bookcases,Home Office,332.11260000000004
Central,Furniture,Bookcases,Consumer,-1497.1260000000002
East,Furniture,Bookcases,Consumer,-2192.0672000000013
South,Furniture,Bookcases,Consumer,1220.0119999999995
West,Furniture,Bookcases,Consumer,-1966.457000000001
Central,Furniture,Tables,Home Office,-302.67390000000034
East,Furniture,Tables,Home Office,-2017.3716000000002
South,Furniture,Tables,Home Office,-657.3344
West,Furniture,Tables,Home Office,-113.56480000000028
Central,Furniture,Tables,Corporate,707.1805999999998
East,Furniture,Tables,Corporate,-5299.655700000001
South,Furniture,Tables,Corporate,-1388.2239000000009
West,Furniture,Tables,Corporate,1074.2003999999995
Central,Furniture,Tables,Consumer,-3964.1571000000004
East,Furniture,Tables,Consumer,-3708.352800000001
South,Furniture,Tables,Consumer,-2577.4996000000006
West,Furniture,Tables,Consumer,521.9716999999994
