Year,Region,Country,City,AC,PY,PL,FC,BU
2018,Europe,France,Paris,0,0,0,127000,52000
2018,Europe,Germany,Berlin,,,,45000,64000
2018,Europe,Germany,Frankfurt,91000,100000,126000,39000,54000
2018,Europe,Other,Finland,41000,0,131000,129000,120000
2018,Europe,Poland,Lublin,81000,79000,118000,80000,59000
2018,Europe,Poland,Warsaw,99000,103000,55000,141000,77000
2018,Europe,Sweden,Gothenburg,,130000,68000,123000,37000
2018,Europe,Sweden,Malmo,,84000,68000,76000,73000
2018,Europe,Sweden,Stockholm,,131000,111000,126000,70000
2019,Americas,Brazil,Manaus,147000,55000,144000,71000,71000
2019,Americas,Brazil,Rio,99000,131000,119000,70000,60000
2019,Americas,Brazil,Salvador,121000,52000,46000,101000,145000
2019,Americas,Canada,Montreal,39000,86000,53000,97000,113000
2019,Americas,Canada,Toronto,47000,35000,93000,75000,98000
2019,Americas,Canada,Vancouver,150000,111000,83000,119000,66000
2019,Americas,Other,Chicago,125000,85000,37000,113000,77000
2019,Americas,USA,California,113000,139000,66000,139000,85000
2019,Americas,USA,New York,91000,96000,69000,127000,57000
2019,Americas,USA,Texas,117000,51000,124000,126000,66000
2019,Asia-Pacific,Australia,Brisbane,38000,70000,97000,70000,150000
2019,Asia-Pacific,Australia,Melbourne,,,,93000,144000
2019,Asia-Pacific,Australia,Sydney,42000,147000,42000,106000,96000
2019,Asia-Pacific,China,Beijing,39000,145000,135000,124000,115000
2019,Asia-Pacific,China,Chengdu,38000,80000,47000,69000,108000
2019,Asia-Pacific,China,Shangai,68000,96000,113000,63000,82000
2019,Asia-Pacific,Japan,Hiroshima,102000,67000,92000,82000,59000
2019,Asia-Pacific,Japan,Tokyo,91000,139000,94000,93000,127000
2019,Asia-Pacific,Japan,Yokohoma,36000,73000,114000,46000,129000
2019,Asia-Pacific,Other,Seoul,69000,66000,41000,87000,95000
2019,Europe,Belgium,Brussels,119000,112000,35000,140000,136000
2019,Europe,Belgium,Flanders,108000,128000,78000,51000,67000
2019,Europe,France,Marseille,44000,101000,95000,54000,150000
2019,Europe,France,Paris,131000,51000,63000,88000,92000
2019,Europe,Germany,Berlin,128000,48000,93000,63000,86000
2019,Europe,Germany,Frankfurt,91000,142000,139000,53000,113000
2019,Europe,Other,Finland,83000,50000,45000,102000,74000
2019,Europe,Poland,Lublin,121000,128000,106000,53000,97000
2019,Europe,Poland,Warsaw,118000,144000,67000,118000,131000
2019,Europe,Sweden,Gothenburg,141000,101000,43000,51000,110000
2019,Europe,Sweden,Malmo,60000,101000,148000,122000,107000
2019,Europe,Sweden,Stockholm,139000,117000,55000,42000,81000

