Region,PL,City,Country,FC,BU,Year,Value Column Name,Value
"Americas","114000","New York","USA","136000","123000","2017","PY","92000"
"Americas","114000","New York","USA","136000","123000","2017","AC","116000"
"Americas","114000","New York","USA","136000","123000","2017","AC - PY","24000"
"Americas","114000","New York","USA","136000","123000","2017","(AC - PY)%","0.2608695652173913"
"Americas","114000","New York","USA","136000","123000","2018","PY",
"Americas","114000","New York","USA","136000","123000","2018","AC",
"Americas","114000","New York","USA","136000","123000","2018","AC - PY",
"Americas","114000","New York","USA","136000","123000","2018","(AC - PY)%",
"Americas","114000","New York","USA","136000","123000","2019","PY",
"Americas","114000","New York","USA","136000","123000","2019","AC",
"Americas","114000","New York","USA","136000","123000","2019","AC - PY",
"Americas","114000","New York","USA","136000","123000","2019","(AC - PY)%",
"Americas","66000","California","USA","139000","85000","2017","PY",
"Americas","66000","California","USA","139000","85000","2017","AC",
"Americas","66000","California","USA","139000","85000","2017","AC - PY",
"Americas","66000","California","USA","139000","85000","2017","(AC - PY)%",
"Americas","66000","California","USA","139000","85000","2018","PY",
"Americas","66000","California","USA","139000","85000","2018","AC",
"Americas","66000","California","USA","139000","85000","2018","AC - PY",
"Americas","66000","California","USA","139000","85000","2018","(AC - PY)%",
"Americas","66000","California","USA","139000","85000","2019","PY","139000"
"Americas","66000","California","USA","139000","85000","2019","AC","113000"
"Americas","66000","California","USA","139000","85000","2019","AC - PY","-26000"
"Americas","66000","California","USA","139000","85000","2019","(AC - PY)%","-0.18705035971223022"
"Americas","113000","Vancouver","Canada","117000","114000","2017","PY","42000"
"Americas","113000","Vancouver","Canada","117000","114000","2017","AC","110000"
"Americas","113000","Vancouver","Canada","117000","114000","2017","AC - PY","68000"
"Americas","113000","Vancouver","Canada","117000","114000","2017","(AC - PY)%","1.619047619047619"
"Americas","113000","Vancouver","Canada","117000","114000","2018","PY",
"Americas","113000","Vancouver","Canada","117000","114000","2018","AC",
"Americas","113000","Vancouver","Canada","117000","114000","2018","AC - PY",
"Americas","113000","Vancouver","Canada","117000","114000","2018","(AC - PY)%",
"Americas","113000","Vancouver","Canada","117000","114000","2019","PY",
"Americas","113000","Vancouver","Canada","117000","114000","2019","AC",
"Americas","113000","Vancouver","Canada","117000","114000","2019","AC - PY",
"Americas","113000","Vancouver","Canada","117000","114000","2019","(AC - PY)%",
"Americas","70000","Rio","Brazil","36000","53000","2017","PY",
"Americas","70000","Rio","Brazil","36000","53000","2017","AC",
"Americas","70000","Rio","Brazil","36000","53000","2017","AC - PY",
"Americas","70000","Rio","Brazil","36000","53000","2017","(AC - PY)%",
"Americas","70000","Rio","Brazil","36000","53000","2018","PY","78000"
"Americas","70000","Rio","Brazil","36000","53000","2018","AC","105000"
"Americas","70000","Rio","Brazil","36000","53000","2018","AC - PY","27000"
"Americas","70000","Rio","Brazil","36000","53000","2018","(AC - PY)%","0.34615384615384615"
"Americas","70000","Rio","Brazil","36000","53000","2019","PY",
"Americas","70000","Rio","Brazil","36000","53000","2019","AC",
"Americas","70000","Rio","Brazil","36000","53000","2019","AC - PY",
"Americas","70000","Rio","Brazil","36000","53000","2019","(AC - PY)%",
"Americas","119000","Rio","Brazil","70000","60000","2017","PY",
"Americas","119000","Rio","Brazil","70000","60000","2017","AC",
"Americas","119000","Rio","Brazil","70000","60000","2017","AC - PY",
"Americas","119000","Rio","Brazil","70000","60000","2017","(AC - PY)%",
"Americas","119000","Rio","Brazil","70000","60000","2018","PY",
"Americas","119000","Rio","Brazil","70000","60000","2018","AC",
"Americas","119000","Rio","Brazil","70000","60000","2018","AC - PY",
"Americas","119000","Rio","Brazil","70000","60000","2018","(AC - PY)%",
"Americas","119000","Rio","Brazil","70000","60000","2019","PY","131000"
"Americas","119000","Rio","Brazil","70000","60000","2019","AC","99000"
"Americas","119000","Rio","Brazil","70000","60000","2019","AC - PY","-32000"
"Americas","119000","Rio","Brazil","70000","60000","2019","(AC - PY)%","-0.24427480916030533"
"Americas","42000","Toronto","Canada","108000","52000","2017","PY",
"Americas","42000","Toronto","Canada","108000","52000","2017","AC",
"Americas","42000","Toronto","Canada","108000","52000","2017","AC - PY",
"Americas","42000","Toronto","Canada","108000","52000","2017","(AC - PY)%",
"Americas","42000","Toronto","Canada","108000","52000","2018","PY","0"
"Americas","42000","Toronto","Canada","108000","52000","2018","AC","96000"
"Americas","42000","Toronto","Canada","108000","52000","2018","AC - PY","96000"
"Americas","42000","Toronto","Canada","108000","52000","2018","(AC - PY)%",
"Americas","42000","Toronto","Canada","108000","52000","2019","PY",
"Americas","42000","Toronto","Canada","108000","52000","2019","AC",
"Americas","42000","Toronto","Canada","108000","52000","2019","AC - PY",
"Americas","42000","Toronto","Canada","108000","52000","2019","(AC - PY)%",
"Americas","69000","New York","USA","127000","57000","2017","PY",
"Americas","69000","New York","USA","127000","57000","2017","AC",
"Americas","69000","New York","USA","127000","57000","2017","AC - PY",
"Americas","69000","New York","USA","127000","57000","2017","(AC - PY)%",
"Americas","69000","New York","USA","127000","57000","2018","PY",
"Americas","69000","New York","USA","127000","57000","2018","AC",
"Americas","69000","New York","USA","127000","57000","2018","AC - PY",
"Americas","69000","New York","USA","127000","57000","2018","(AC - PY)%",
"Americas","69000","New York","USA","127000","57000","2019","PY","96000"
"Americas","69000","New York","USA","127000","57000","2019","AC","91000"
"Americas","69000","New York","USA","127000","57000","2019","AC - PY","-5000"
"Americas","69000","New York","USA","127000","57000","2019","(AC - PY)%","-0.05208333333333334"
"Americas","98000","Toronto","Canada","127000","39000","2017","PY","59000"
"Americas","98000","Toronto","Canada","127000","39000","2017","AC","78000"
"Americas","98000","Toronto","Canada","127000","39000","2017","AC - PY","19000"
"Americas","98000","Toronto","Canada","127000","39000","2017","(AC - PY)%","0.3220338983050847"
"Americas","98000","Toronto","Canada","127000","39000","2018","PY",
"Americas","98000","Toronto","Canada","127000","39000","2018","AC",
"Americas","98000","Toronto","Canada","127000","39000","2018","AC - PY",
"Americas","98000","Toronto","Canada","127000","39000","2018","(AC - PY)%",
"Americas","98000","Toronto","Canada","127000","39000","2019","PY",
"Americas","98000","Toronto","Canada","127000","39000","2019","AC",
"Americas","98000","Toronto","Canada","127000","39000","2019","AC - PY",
"Americas","98000","Toronto","Canada","127000","39000","2019","(AC - PY)%",
"Americas","134000","Manaus","Brazil","130000","122000","2017","PY","72000"
"Americas","134000","Manaus","Brazil","130000","122000","2017","AC","56000"
"Americas","134000","Manaus","Brazil","130000","122000","2017","AC - PY","-16000"
"Americas","134000","Manaus","Brazil","130000","122000","2017","(AC - PY)%","-0.2222222222222222"
"Americas","134000","Manaus","Brazil","130000","122000","2018","PY",
"Americas","134000","Manaus","Brazil","130000","122000","2018","AC",
"Americas","134000","Manaus","Brazil","130000","122000","2018","AC - PY",
"Americas","134000","Manaus","Brazil","130000","122000","2018","(AC - PY)%",
"Americas","134000","Manaus","Brazil","130000","122000","2019","PY",
"Americas","134000","Manaus","Brazil","130000","122000","2019","AC",
"Americas","134000","Manaus","Brazil","130000","122000","2019","AC - PY",
"Americas","134000","Manaus","Brazil","130000","122000","2019","(AC - PY)%",
"Americas","93000","Toronto","Canada","75000","98000","2017","PY",
"Americas","93000","Toronto","Canada","75000","98000","2017","AC",
"Americas","93000","Toronto","Canada","75000","98000","2017","AC - PY",
"Americas","93000","Toronto","Canada","75000","98000","2017","(AC - PY)%",
"Americas","93000","Toronto","Canada","75000","98000","2018","PY",
"Americas","93000","Toronto","Canada","75000","98000","2018","AC",
"Americas","93000","Toronto","Canada","75000","98000","2018","AC - PY",
"Americas","93000","Toronto","Canada","75000","98000","2018","(AC - PY)%",
"Americas","93000","Toronto","Canada","75000","98000","2019","PY","35000"
"Americas","93000","Toronto","Canada","75000","98000","2019","AC","47000"
"Americas","93000","Toronto","Canada","75000","98000","2019","AC - PY","12000"
"Americas","93000","Toronto","Canada","75000","98000","2019","(AC - PY)%","0.34285714285714286"
"Americas","64000","Salvador","Brazil","43000","126000","2017","PY",
"Americas","64000","Salvador","Brazil","43000","126000","2017","AC",
"Americas","64000","Salvador","Brazil","43000","126000","2017","AC - PY",
"Americas","64000","Salvador","Brazil","43000","126000","2017","(AC - PY)%",
"Americas","64000","Salvador","Brazil","43000","126000","2018","PY","0"
"Americas","64000","Salvador","Brazil","43000","126000","2018","AC","46000"
"Americas","64000","Salvador","Brazil","43000","126000","2018","AC - PY","46000"
"Americas","64000","Salvador","Brazil","43000","126000","2018","(AC - PY)%",
"Americas","64000","Salvador","Brazil","43000","126000","2019","PY",
"Americas","64000","Salvador","Brazil","43000","126000","2019","AC",
"Americas","64000","Salvador","Brazil","43000","126000","2019","AC - PY",
"Americas","64000","Salvador","Brazil","43000","126000","2019","(AC - PY)%",
"Americas","73000","Texas","USA","75000","128000","2017","PY",
"Americas","73000","Texas","USA","75000","128000","2017","AC",
"Americas","73000","Texas","USA","75000","128000","2017","AC - PY",
"Americas","73000","Texas","USA","75000","128000","2017","(AC - PY)%",
"Americas","73000","Texas","USA","75000","128000","2018","PY","141000"
"Americas","73000","Texas","USA","75000","128000","2018","AC","45000"
"Americas","73000","Texas","USA","75000","128000","2018","AC - PY","-96000"
"Americas","73000","Texas","USA","75000","128000","2018","(AC - PY)%","-0.6808510638297872"
"Americas","73000","Texas","USA","75000","128000","2019","PY",
"Americas","73000","Texas","USA","75000","128000","2019","AC",
"Americas","73000","Texas","USA","75000","128000","2019","AC - PY",
"Americas","73000","Texas","USA","75000","128000","2019","(AC - PY)%",
"Americas","53000","Montreal","Canada","97000","113000","2017","PY",
"Americas","53000","Montreal","Canada","97000","113000","2017","AC",
"Americas","53000","Montreal","Canada","97000","113000","2017","AC - PY",
"Americas","53000","Montreal","Canada","97000","113000","2017","(AC - PY)%",
"Americas","53000","Montreal","Canada","97000","113000","2018","PY",
"Americas","53000","Montreal","Canada","97000","113000","2018","AC",
"Americas","53000","Montreal","Canada","97000","113000","2018","AC - PY",
"Americas","53000","Montreal","Canada","97000","113000","2018","(AC - PY)%",
"Americas","53000","Montreal","Canada","97000","113000","2019","PY","86000"
"Americas","53000","Montreal","Canada","97000","113000","2019","AC","39000"
"Americas","53000","Montreal","Canada","97000","113000","2019","AC - PY","-47000"
"Americas","53000","Montreal","Canada","97000","113000","2019","(AC - PY)%","-0.5465116279069767"
"Americas","101000","Salvador","Brazil","63000","130000","2017","PY","121000"
"Americas","101000","Salvador","Brazil","63000","130000","2017","AC","39000"
"Americas","101000","Salvador","Brazil","63000","130000","2017","AC - PY","-82000"
"Americas","101000","Salvador","Brazil","63000","130000","2017","(AC - PY)%","-0.6776859504132231"
"Americas","101000","Salvador","Brazil","63000","130000","2018","PY",
"Americas","101000","Salvador","Brazil","63000","130000","2018","AC",
"Americas","101000","Salvador","Brazil","63000","130000","2018","AC - PY",
"Americas","101000","Salvador","Brazil","63000","130000","2018","(AC - PY)%",
"Americas","101000","Salvador","Brazil","63000","130000","2019","PY",
"Americas","101000","Salvador","Brazil","63000","130000","2019","AC",
"Americas","101000","Salvador","Brazil","63000","130000","2019","AC - PY",
"Americas","101000","Salvador","Brazil","63000","130000","2019","(AC - PY)%",
"Europe","55000","Stockholm","Sweden","42000","81000","2017","PY",
"Europe","55000","Stockholm","Sweden","42000","81000","2017","AC",
"Europe","55000","Stockholm","Sweden","42000","81000","2017","AC - PY",
"Europe","55000","Stockholm","Sweden","42000","81000","2017","(AC - PY)%",
"Europe","55000","Stockholm","Sweden","42000","81000","2018","PY",
"Europe","55000","Stockholm","Sweden","42000","81000","2018","AC",
"Europe","55000","Stockholm","Sweden","42000","81000","2018","AC - PY",
"Europe","55000","Stockholm","Sweden","42000","81000","2018","(AC - PY)%",
"Europe","55000","Stockholm","Sweden","42000","81000","2019","PY","117000"
"Europe","55000","Stockholm","Sweden","42000","81000","2019","AC","139000"
"Europe","55000","Stockholm","Sweden","42000","81000","2019","AC - PY","22000"
"Europe","55000","Stockholm","Sweden","42000","81000","2019","(AC - PY)%","0.18803418803418803"
"Europe","55000","Warsaw","Poland","141000","77000","2017","PY",
"Europe","55000","Warsaw","Poland","141000","77000","2017","AC",
"Europe","55000","Warsaw","Poland","141000","77000","2017","AC - PY",
"Europe","55000","Warsaw","Poland","141000","77000","2017","(AC - PY)%",
"Europe","55000","Warsaw","Poland","141000","77000","2018","PY","103000"
"Europe","55000","Warsaw","Poland","141000","77000","2018","AC","99000"
"Europe","55000","Warsaw","Poland","141000","77000","2018","AC - PY","-4000"
"Europe","55000","Warsaw","Poland","141000","77000","2018","(AC - PY)%","-0.038834951456310676"
"Europe","55000","Warsaw","Poland","141000","77000","2019","PY",
"Europe","55000","Warsaw","Poland","141000","77000","2019","AC",
"Europe","55000","Warsaw","Poland","141000","77000","2019","AC - PY",
"Europe","55000","Warsaw","Poland","141000","77000","2019","(AC - PY)%",
"Europe","64000","Finland","Other","77000","122000","2017","PY","77000"
"Europe","64000","Finland","Other","77000","122000","2017","AC","142000"
"Europe","64000","Finland","Other","77000","122000","2017","AC - PY","65000"
"Europe","64000","Finland","Other","77000","122000","2017","(AC - PY)%","0.8441558441558441"
"Europe","64000","Finland","Other","77000","122000","2018","PY",
"Europe","64000","Finland","Other","77000","122000","2018","AC",
"Europe","64000","Finland","Other","77000","122000","2018","AC - PY",
"Europe","64000","Finland","Other","77000","122000","2018","(AC - PY)%",
"Europe","64000","Finland","Other","77000","122000","2019","PY",
"Europe","64000","Finland","Other","77000","122000","2019","AC",
"Europe","64000","Finland","Other","77000","122000","2019","AC - PY",
"Europe","64000","Finland","Other","77000","122000","2019","(AC - PY)%",
"Europe","43000","Gothenburg","Sweden","51000","110000","2017","PY",
"Europe","43000","Gothenburg","Sweden","51000","110000","2017","AC",
"Europe","43000","Gothenburg","Sweden","51000","110000","2017","AC - PY",
"Europe","43000","Gothenburg","Sweden","51000","110000","2017","(AC - PY)%",
"Europe","43000","Gothenburg","Sweden","51000","110000","2018","PY",
"Europe","43000","Gothenburg","Sweden","51000","110000","2018","AC",
"Europe","43000","Gothenburg","Sweden","51000","110000","2018","AC - PY",
"Europe","43000","Gothenburg","Sweden","51000","110000","2018","(AC - PY)%",
"Europe","43000","Gothenburg","Sweden","51000","110000","2019","PY","101000"
"Europe","43000","Gothenburg","Sweden","51000","110000","2019","AC","141000"
"Europe","43000","Gothenburg","Sweden","51000","110000","2019","AC - PY","40000"
"Europe","43000","Gothenburg","Sweden","51000","110000","2019","(AC - PY)%","0.39603960396039606"
"Europe","141000","Flanders","Belgium","135000","83000","2017","PY",
"Europe","141000","Flanders","Belgium","135000","83000","2017","AC",
"Europe","141000","Flanders","Belgium","135000","83000","2017","AC - PY",
"Europe","141000","Flanders","Belgium","135000","83000","2017","(AC - PY)%",
"Europe","141000","Flanders","Belgium","135000","83000","2018","PY","95000"
"Europe","141000","Flanders","Belgium","135000","83000","2018","AC","134000"
"Europe","141000","Flanders","Belgium","135000","83000","2018","AC - PY","39000"
"Europe","141000","Flanders","Belgium","135000","83000","2018","(AC - PY)%","0.4105263157894737"
