With Actual budget.Period_MON,With Actual budget.Product,With Actual budget.Account,Sum(With Actual budget.Additional 2)
APR,Sparking Water,Pricing Adjustments,1408556.0999999999
AUG,Sparking Water,Pricing Adjustments,3783972.9119999995
DEC,Sparking Water,Pricing Adjustments,3950151.408
FEB,Sparking Water,Pricing Adjustments,3783972.9119999995
JAN,Sparking Water,Pricing Adjustments,2940156.3479999998
JUL,Sparking Water,Pricing Adjustments,2940156.3479999998
JUN,Sparking Water,Pricing Adjustments,3950151.408
MAR,Sparking Water,Pricing Adjustments,3615503.2380000004
MAY,Sparking Water,Pricing Adjustments,4563573.648
NOV,Sparking Water,Pricing Adjustments,4563573.648
OCT,Sparking Water,Pricing Adjustments,1408556.0999999999
SEP,Sparking Water,Pricing Adjustments,3615503.2380000004
APR,Sparking Water,Sales Discounts - Other,518584.338
AUG,Sparking Water,Sales Discounts - Other,2324129.682
DEC,Sparking Water,Sales Discounts - Other,1335064.446
FEB,Sparking Water,Sales Discounts - Other,2324129.682
JAN,Sparking Water,Sales Discounts - Other,1153350.366
JUL,Sparking Water,Sales Discounts - Other,1153350.366
JUN,Sparking Water,Sales Discounts - Other,1335064.446
MAR,Sparking Water,Sales Discounts - Other,1177768.2
MAY,Sparking Water,Sales Discounts - Other,1086221.802
NOV,Sparking Water,Sales Discounts - Other,1086221.802
OCT,Sparking Water,Sales Discounts - Other,518584.338
SEP,Sparking Water,Sales Discounts - Other,1177768.2
APR,Sparking Water,Sale Allowances,609096.978
AUG,Sparking Water,Sale Allowances,357974.14199999993
DEC,Sparking Water,Sale Allowances,961231.8839999998
FEB,Sparking Water,Sale Allowances,357974.14199999993
JAN,Sparking Water,Sale Allowances,1171604.43
JUL,Sparking Water,Sale Allowances,1171604.43
JUN,Sparking Water,Sale Allowances,961231.8839999998
MAR,Sparking Water,Sale Allowances,401556.48600000003
MAY,Sparking Water,Sale Allowances,339370.71599999996
NOV,Sparking Water,Sale Allowances,339370.71599999996
OCT,Sparking Water,Sale Allowances,609096.978
SEP,Sparking Water,Sale Allowances,401556.48600000003
APR,Sparking Water,Merchandise Returns,404924.28
AUG,Sparking Water,Merchandise Returns,468559.47599999997
DEC,Sparking Water,Merchandise Returns,434635.038
FEB,Sparking Water,Merchandise Returns,468559.47599999997
JAN,Sparking Water,Merchandise Returns,472579.1699999999
JUL,Sparking Water,Merchandise Returns,472579.1699999999
JUN,Sparking Water,Merchandise Returns,434635.038
MAR,Sparking Water,Merchandise Returns,565013.1599999999
MAY,Sparking Water,Merchandise Returns,419473.836
NOV,Sparking Water,Merchandise Returns,419473.836
OCT,Sparking Water,Merchandise Returns,404924.28
SEP,Sparking Water,Merchandise Returns,565013.1599999999
APR,Sparking Water,Purchase Price Variance,331379.23199999996
AUG,Sparking Water,Purchase Price Variance,-242594.94599999997
DEC,Sparking Water,Purchase Price Variance,992812.8839999998
FEB,Sparking Water,Purchase Price Variance,-242594.94599999997
JAN,Sparking Water,Purchase Price Variance,346502.658
JUL,Sparking Water,Purchase Price Variance,346502.658
JUN,Sparking Water,Purchase Price Variance,992812.8839999998
MAR,Sparking Water,Purchase Price Variance,564156.804
MAY,Sparking Water,Purchase Price Variance,-252401.98799999998
NOV,Sparking Water,Purchase Price Variance,-252401.98799999998
OCT,Sparking Water,Purchase Price Variance,331379.23199999996
SEP,Sparking Water,Purchase Price Variance,564156.804
APR,Sparking Water,Sales Markdowns,4888.728
AUG,Sparking Water,Sales Markdowns,1021000.6379999999
DEC,Sparking Water,Sales Markdowns,65198.328
FEB,Sparking Water,Sales Markdowns,1021000.6379999999
JAN,Sparking Water,Sales Markdowns,364569.54600000003
JUL,Sparking Water,Sales Markdowns,364569.54600000003
JUN,Sparking Water,Sales Markdowns,65198.328
MAR,Sparking Water,Sales Markdowns,189798.486
MAY,Sparking Water,Sales Markdowns,1309.314
NOV,Sparking Water,Sales Markdowns,1309.314
OCT,Sparking Water,Sales Markdowns,4888.728
SEP,Sparking Water,Sales Markdowns,189798.486
APR,Sparking Water,Freight,62279.592000000004
AUG,Sparking Water,Freight,70512.912
DEC,Sparking Water,Freight,40619.382
FEB,Sparking Water,Freight,70512.912
JAN,Sparking Water,Freight,31167.672
JUL,Sparking Water,Freight,31167.672
JUN,Sparking Water,Freight,40619.382
MAR,Sparking Water,Freight,17827.62
MAY,Sparking Water,Freight,16124.832
NOV,Sparking Water,Freight,16124.832
OCT,Sparking Water,Freight,62279.592000000004
SEP,Sparking Water,Freight,17827.62
APR,Sparking Water,Other Direct Costs,26691.257999999998
AUG,Sparking Water,Other Direct Costs,30219.816
DEC,Sparking Water,Other Direct Costs,17408.304
FEB,Sparking Water,Other Direct Costs,30219.816
JAN,Sparking Water,Other Direct Costs,13357.583999999999
JUL,Sparking Water,Other Direct Costs,13357.583999999999
JUN,Sparking Water,Other Direct Costs,17408.304
MAR,Sparking Water,Other Direct Costs,7640.406
MAY,Sparking Water,Other Direct Costs,6910.643999999999
NOV,Sparking Water,Other Direct Costs,6910.643999999999
OCT,Sparking Water,Other Direct Costs,26691.257999999998
SEP,Sparking Water,Other Direct Costs,7640.406
APR,Sparking Water,Vendor Chargebacks,
AUG,Sparking Water,Vendor Chargebacks,
DEC,Sparking Water,Vendor Chargebacks,
FEB,Sparking Water,Vendor Chargebacks,
JAN,Sparking Water,Vendor Chargebacks,
JUL,Sparking Water,Vendor Chargebacks,
JUN,Sparking Water,Vendor Chargebacks,
MAR,Sparking Water,Vendor Chargebacks,10.752
MAY,Sparking Water,Vendor Chargebacks,
NOV,Sparking Water,Vendor Chargebacks,
OCT,Sparking Water,Vendor Chargebacks,
SEP,Sparking Water,Vendor Chargebacks,10.752
APR,Not assigned,Other Expenses,38244658.356
AUG,Not assigned,Other Expenses,27253161.498
DEC,Not assigned,Other Expenses,20392176.191999998
FEB,Not assigned,Other Expenses,27253161.498
JAN,Not assigned,Other Expenses,16337479.476
JUL,Not assigned,Other Expenses,16337479.476
JUN,Not assigned,Other Expenses,20392176.191999998
MAR,Not assigned,Other Expenses,35746614.857999995
MAY,Not assigned,Other Expenses,16931281.116
NOV,Not assigned,Other Expenses,16931281.116
OCT,Not assigned,Other Expenses,38244658.356
SEP,Not assigned,Other Expenses,35746614.857999995
APR,Not assigned,Wages,17343014.597999997
AUG,Not assigned,Wages,13471090.962
DEC,Not assigned,Wages,12985969.877999999
FEB,Not assigned,Wages,13471090.962
JAN,Not assigned,Wages,12052255.134
JUL,Not assigned,Wages,12052255.134
JUN,Not assigned,Wages,12985969.877999999
MAR,Not assigned,Wages,13536050.681999998
MAY,Not assigned,Wages,13075408.661999999
NOV,Not assigned,Wages,13075408.661999999
OCT,Not assigned,Wages,17343014.597999997
SEP,Not assigned,Wages,13536050.681999998
APR,Not assigned,Benefits,14181543.707999999
AUG,Not assigned,Benefits,10960914.81
DEC,Not assigned,Benefits,12438065.334
FEB,Not assigned,Benefits,10960914.81
JAN,Not assigned,Benefits,9694076.598
JUL,Not assigned,Benefits,9694076.598
JUN,Not assigned,Benefits,12438065.334
MAR,Not assigned,Benefits,11307191.196
MAY,Not assigned,Benefits,12843177.288
NOV,Not assigned,Benefits,12843177.288
OCT,Not assigned,Benefits,14181543.707999999
SEP,Not assigned,Benefits,11307191.196
APR,Not assigned,Salaries,11724957.114
AUG,Not assigned,Salaries,9457606.362
DEC,Not assigned,Salaries,9949482.719999999
FEB,Not assigned,Salaries,9457606.362
JAN,Not assigned,Salaries,8514740.154
JUL,Not assigned,Salaries,8514740.154
JUN,Not assigned,Salaries,9949482.719999999
MAR,Not assigned,Salaries,9242110.83
MAY,Not assigned,Salaries,9296467.104
NOV,Not assigned,Salaries,9296467.104
OCT,Not assigned,Salaries,11724957.114
SEP,Not assigned,Salaries,9242110.83
APR,Not assigned,IT Expenses,6479353.115999999
AUG,Not assigned,IT Expenses,8464551.095999999
DEC,Not assigned,IT Expenses,8573729.988
FEB,Not assigned,IT Expenses,8464551.095999999
JAN,Not assigned,IT Expenses,6987528.78
JUL,Not assigned,IT Expenses,6987528.78
JUN,Not assigned,IT Expenses,8573729.988
MAR,Not assigned,IT Expenses,9985793.411999999
MAY,Not assigned,IT Expenses,7241027.01
NOV,Not assigned,IT Expenses,7241027.01
OCT,Not assigned,IT Expenses,6479353.115999999
SEP,Not assigned,IT Expenses,9985793.411999999
APR,Not assigned,Bonus,8831925.923999999
AUG,Not assigned,Bonus,7024247.664
DEC,Not assigned,Bonus,7781609.856
FEB,Not assigned,Bonus,7024247.664
JAN,Not assigned,Bonus,6042495.359999999
JUL,Not assigned,Bonus,6042495.359999999
JUN,Not assigned,Bonus,7781609.856
MAR,Not assigned,Bonus,6741917.802
MAY,Not assigned,Bonus,8091314.771999999
NOV,Not assigned,Bonus,8091314.771999999
OCT,Not assigned,Bonus,8831925.923999999
SEP,Not assigned,Bonus,6741917.802
APR,Not assigned,Marketing Expenses,6712892.424
AUG,Not assigned,Marketing Expenses,6509415.576
DEC,Not assigned,Marketing Expenses,5723016.588
FEB,Not assigned,Marketing Expenses,6509415.576
JAN,Not assigned,Marketing Expenses,7369768.613999999
JUL,Not assigned,Marketing Expenses,7369768.613999999
JUN,Not assigned,Marketing Expenses,5723016.588
MAR,Not assigned,Marketing Expenses,6903026.412
MAY,Not assigned,Marketing Expenses,5672439.882
NOV,Not assigned,Marketing Expenses,5672439.882
OCT,Not assigned,Marketing Expenses,6712892.424
SEP,Not assigned,Marketing Expenses,6903026.412
APR,Not assigned,Training,2314430.094
AUG,Not assigned,Training,1847888.1779999998
DEC,Not assigned,Training,2049529.8299999998
FEB,Not assigned,Training,1847888.1779999998
JAN,Not assigned,Training,1601513.7179999999
JUL,Not assigned,Training,1601513.7179999999
JUN,Not assigned,Training,2049529.8299999998
MAR,Not assigned,Training,1823113.074
MAY,Not assigned,Training,2155349.484
NOV,Not assigned,Training,2155349.484
OCT,Not assigned,Training,2314430.094
SEP,Not assigned,Training,1823113.074
APR,Not assigned,Equipment,1729244.064
AUG,Not assigned,Equipment,1397148.99
DEC,Not assigned,Equipment,1598459.496
FEB,Not assigned,Equipment,1397148.99
JAN,Not assigned,Equipment,1212740.094
JUL,Not assigned,Equipment,1212740.094
JUN,Not assigned,Equipment,1598459.496
MAR,Not assigned,Equipment,1411167.81
MAY,Not assigned,Equipment,1637455.848
NOV,Not assigned,Equipment,1637455.848
OCT,Not assigned,Equipment,1729244.064
SEP,Not assigned,Equipment,1411167.81
APR,Not assigned,Computer,1182521.3939999999
AUG,Not assigned,Computer,933191.088
DEC,Not assigned,Computer,1070932.656
FEB,Not assigned,Computer,933191.088
JAN,Not assigned,Computer,793960.632
JUL,Not assigned,Computer,793960.632
JUN,Not assigned,Computer,1070932.656
MAR,Not assigned,Computer,909040.014
MAY,Not assigned,Computer,1081003.638
NOV,Not assigned,Computer,1081003.638
OCT,Not assigned,Computer,1182521.3939999999
SEP,Not assigned,Computer,909040.014
APR,Not assigned,Sales Expenses,672251.574
AUG,Not assigned,Sales Expenses,497071.93799999997
DEC,Not assigned,Sales Expenses,669308.07
FEB,Not assigned,Sales Expenses,497071.93799999997
JAN,Not assigned,Sales Expenses,603056.916
JUL,Not assigned,Sales Expenses,603056.916
JUN,Not assigned,Sales Expenses,669308.07
MAR,Not assigned,Sales Expenses,670736.268
MAY,Not assigned,Sales Expenses,597748.7999999999
NOV,Not assigned,Sales Expenses,597748.7999999999
OCT,Not assigned,Sales Expenses,672251.574
SEP,Not assigned,Sales Expenses,670736.268
APR,Not assigned,Recruiting,593544.8219999999
AUG,Not assigned,Recruiting,452987.388
DEC,Not assigned,Recruiting,515350.41599999997
FEB,Not assigned,Recruiting,452987.388
JAN,Not assigned,Recruiting,401024.95800000004
JUL,Not assigned,Recruiting,401024.95800000004
JUN,Not assigned,Recruiting,515350.41599999997
MAR,Not assigned,Recruiting,455294.45399999997
MAY,Not assigned,Recruiting,535734.222
NOV,Not assigned,Recruiting,535734.222
OCT,Not assigned,Recruiting,593544.8219999999
SEP,Not assigned,Recruiting,455294.45399999997
APR,Not assigned,Tuition,285484.89
AUG,Not assigned,Tuition,229665.912
DEC,Not assigned,Tuition,261453.55199999997
FEB,Not assigned,Tuition,229665.912
JAN,Not assigned,Tuition,202320.342
JUL,Not assigned,Tuition,202320.342
JUN,Not assigned,Tuition,261453.55199999997
MAR,Not assigned,Tuition,230172.87
MAY,Not assigned,Tuition,262332.642
NOV,Not assigned,Tuition,262332.642
OCT,Not assigned,Tuition,285484.89
SEP,Not assigned,Tuition,230172.87
APR,Juices,Gross Sales,62197738.85999999
AUG,Juices,Gross Sales,37225440.192
DEC,Juices,Gross Sales,39116852.124
FEB,Juices,Gross Sales,37225440.192
JAN,Juices,Gross Sales,15718874.556
JUL,Juices,Gross Sales,15718874.556
JUN,Juices,Gross Sales,39116852.124
MAR,Juices,Gross Sales,33142982.304
MAY,Juices,Gross Sales,46398397.956
NOV,Juices,Gross Sales,46398397.956
OCT,Juices,Gross Sales,62197738.85999999
SEP,Juices,Gross Sales,33142982.304
APR,Juices,Raw Materials,17047228.566
AUG,Juices,Raw Materials,5096027.021999999
DEC,Juices,Raw Materials,14295845.814000001
FEB,Juices,Raw Materials,5096027.021999999
JAN,Juices,Raw Materials,5880598.89
JUL,Juices,Raw Materials,5880598.89
JUN,Juices,Raw Materials,14295845.814000001
MAR,Juices,Raw Materials,6269209.5479999995
MAY,Juices,Raw Materials,16621982.465999998
NOV,Juices,Raw Materials,16621982.465999998
OCT,Juices,Raw Materials,17047228.566
SEP,Juices,Raw Materials,6269209.5479999995
APR,Juices,Pricing Adjustments,2839158.582
AUG,Juices,Pricing Adjustments,989692.572
DEC,Juices,Pricing Adjustments,13840344.45
FEB,Juices,Pricing Adjustments,989692.572
JAN,Juices,Pricing Adjustments,678158.148
JUL,Juices,Pricing Adjustments,678158.148
JUN,Juices,Pricing Adjustments,13840344.45
MAR,Juices,Pricing Adjustments,904234.374
MAY,Juices,Pricing Adjustments,17234470.77
NOV,Juices,Pricing Adjustments,17234470.77
OCT,Juices,Pricing Adjustments,2839158.582
SEP,Juices,Pricing Adjustments,904234.374
APR,Juices,Labor,9179276.916
AUG,Juices,Labor,2744014.542
DEC,Juices,Labor,7697763.119999999
FEB,Juices,Labor,2744014.542
JAN,Juices,Labor,3166476.3299999996
JUL,Juices,Labor,3166476.3299999996
JUN,Juices,Labor,7697763.119999999
MAR,Juices,Labor,3375728.214
MAY,Juices,Labor,8950298.256
NOV,Juices,Labor,8950298.256
OCT,Juices,Labor,9179276.916
SEP,Juices,Labor,3375728.214
APR,Juices,Sales Discounts - Other,77873.238
AUG,Juices,Sales Discounts - Other,7901087.736
DEC,Juices,Sales Discounts - Other,409155.56399999995
FEB,Juices,Sales Discounts - Other,7901087.736
JAN,Juices,Sales Discounts - Other,60906.42
JUL,Juices,Sales Discounts - Other,60906.42
JUN,Juices,Sales Discounts - Other,409155.56399999995
MAR,Juices,Sales Discounts - Other,3382238.844
MAY,Juices,Sales Discounts - Other,720553.2839999999
NOV,Juices,Sales Discounts - Other,720553.2839999999
OCT,Juices,Sales Discounts - Other,77873.238
SEP,Juices,Sales Discounts - Other,3382238.844
APR,Juices,Sales Markdowns,192.35399999999998
AUG,Juices,Sales Markdowns,7576091.13
DEC,Juices,Sales Markdowns,99193.81199999999
FEB,Juices,Sales Markdowns,7576091.13
JAN,Juices,Sales Markdowns,54321.60599999999
JUL,Juices,Sales Markdowns,54321.60599999999
JUN,Juices,Sales Markdowns,99193.81199999999
MAR,Juices,Sales Markdowns,3200570.6819999996
MAY,Juices,Sales Markdowns,2875.9199999999996
NOV,Juices,Sales Markdowns,2875.9199999999996
OCT,Juices,Sales Markdowns,192.35399999999998
SEP,Juices,Sales Markdowns,3200570.6819999996
APR,Juices,Merchandise Returns,187597.338
AUG,Juices,Merchandise Returns,177150.39
DEC,Juices,Merchandise Returns,209422.71
FEB,Juices,Merchandise Returns,177150.39
JAN,Juices,Merchandise Returns,90260.57400000001
JUL,Juices,Merchandise Returns,90260.57400000001
JUN,Juices,Merchandise Returns,209422.71
MAR,Juices,Merchandise Returns,101818.614
MAY,Juices,Merchandise Returns,298221.012
NOV,Juices,Merchandise Returns,298221.012
OCT,Juices,Merchandise Returns,187597.338
SEP,Juices,Merchandise Returns,101818.614
APR,Juices,Freight,195057.33599999998
AUG,Juices,Freight,13387.116
DEC,Juices,Freight,109675.818
FEB,Juices,Freight,13387.116
JAN,Juices,Freight,7517.016
JUL,Juices,Freight,7517.016
JUN,Juices,Freight,109675.818
MAR,Juices,Freight,5268.839999999999
MAY,Juices,Freight,602562.534
NOV,Juices,Freight,602562.534
OCT,Juices,Freight,195057.33599999998
SEP,Juices,Freight,5268.839999999999
APR,Juices,Other Direct Costs,83595.996
AUG,Juices,Other Direct Costs,5737.331999999999
DEC,Juices,Other Direct Costs,47003.916
FEB,Juices,Other Direct Costs,5737.331999999999
JAN,Juices,Other Direct Costs,3221.574
JUL,Juices,Other Direct Costs,3221.574
JUN,Juices,Other Direct Costs,47003.916
MAR,Juices,Other Direct Costs,2258.076
MAY,Juices,Other Direct Costs,258241.08599999998
NOV,Juices,Other Direct Costs,258241.08599999998
OCT,Juices,Other Direct Costs,83595.996
SEP,Juices,Other Direct Costs,2258.076
APR,Juices,Sale Allowances,511.72799999999995
AUG,Juices,Sale Allowances,51.702
DEC,Juices,Sale Allowances,3012.828
FEB,Juices,Sale Allowances,51.702
JAN,Juices,Sale Allowances,4542.234
JUL,Juices,Sale Allowances,4542.234
JUN,Juices,Sale Allowances,3012.828
MAR,Juices,Sale Allowances,318.55199999999996
MAY,Juices,Sale Allowances,9396
NOV,Juices,Sale Allowances,9396
OCT,Juices,Sale Allowances,511.72799999999995
SEP,Juices,Sale Allowances,318.55199999999996
APR,Juices,Purchase Price Variance,622089.5939999999
AUG,Juices,Purchase Price Variance,-567514.674
DEC,Juices,Purchase Price Variance,111623.232
FEB,Juices,Purchase Price Variance,-567514.674
JAN,Juices,Purchase Price Variance,-1685314.866
JUL,Juices,Purchase Price Variance,-1685314.866
JUN,Juices,Purchase Price Variance,111623.232
MAR,Juices,Purchase Price Variance,607304.37
MAY,Juices,Purchase Price Variance,541091.046
NOV,Juices,Purchase Price Variance,541091.046
OCT,Juices,Purchase Price Variance,622089.5939999999
SEP,Juices,Purchase Price Variance,607304.37
APR,Mineral Water,Gross Sales,32208741.179999996
AUG,Mineral Water,Gross Sales,19041953.478
DEC,Mineral Water,Gross Sales,26460009.066
FEB,Mineral Water,Gross Sales,19041953.478
JAN,Mineral Water,Gross Sales,9652232.85
JUL,Mineral Water,Gross Sales,9652232.85
JUN,Mineral Water,Gross Sales,26460009.066
MAR,Mineral Water,Gross Sales,19293630.924
MAY,Mineral Water,Gross Sales,28128272.58
NOV,Mineral Water,Gross Sales,28128272.58
