Table5.Region,Table5.Year,Table5.Country,Table5.City,Sum(Table5.PY),Sum(Table5.PL),Sum(Table5.AC)
Americas,2019,Canada,Montreal,86000,53000,39000
Asia-Pacific,2019,Canada,Montreal,,,
Europe,2019,Canada,Montreal,,,
Americas,2017,Other,Chicago,111000,38000,97000
Asia-Pacific,2017,Other,Chicago,,,
Europe,2017,Other,Chicago,,,
Americas,2018,Other,Chicago,93000,,67000
Asia-Pacific,2018,Other,Chicago,,,
Europe,2018,Other,Chicago,,,
Americas,2019,Other,Chicago,85000,37000,125000
Asia-Pacific,2019,Other,Chicago,,,
Europe,2019,Other,Chicago,,,
Americas,2017,Other,Finland,,,
Asia-Pacific,2017,Other,Finland,,,
Europe,2017,Other,Finland,77000,64000,142000
Americas,2018,Other,Finland,,,
Asia-Pacific,2018,Other,Finland,,,
Europe,2018,Other,Finland,0,131000,41000
Americas,2019,Other,Finland,,,
Asia-Pacific,2019,Other,Finland,,,
Europe,2019,Other,Finland,50000,45000,83000
Americas,2017,Other,Seoul,,,
Asia-Pacific,2017,Other,Seoul,134000,111000,50000
Europe,2017,Other,Seoul,,,
Americas,2018,Other,Seoul,,,
Asia-Pacific,2018,Other,Seoul,78000,52000,78000
Europe,2018,Other,Seoul,,,
Americas,2019,Other,Seoul,,,
Asia-Pacific,2019,Other,Seoul,66000,41000,69000
Europe,2019,Other,Seoul,,,
Americas,2017,Australia,Brisbane,,,
Asia-Pacific,2017,Australia,Brisbane,266000,204000,231000
Europe,2017,Australia,Brisbane,,,
Americas,2018,Australia,Brisbane,,,
Asia-Pacific,2018,Australia,Brisbane,46000,71000,149000
Europe,2018,Australia,Brisbane,,,
Americas,2019,Australia,Brisbane,,,
Asia-Pacific,2019,Australia,Brisbane,70000,97000,38000
Europe,2019,Australia,Brisbane,,,
Americas,2017,Australia,Sydney,,,
Asia-Pacific,2017,Australia,Sydney,54000,66000,62000
Europe,2017,Australia,Sydney,,,
Americas,2018,Australia,Sydney,,,
Asia-Pacific,2018,Australia,Sydney,38000,109000,117000
Europe,2018,Australia,Sydney,,,
Americas,2019,Australia,Sydney,,,
Asia-Pacific,2019,Australia,Sydney,147000,42000,42000
Europe,2019,Australia,Sydney,,,
Americas,2017,Australia,Melbourne,,,
Asia-Pacific,2017,Australia,Melbourne,9000,12000,11000
Europe,2017,Australia,Melbourne,,,
Americas,2018,Australia,Melbourne,,,
Asia-Pacific,2018,Australia,Melbourne,96000,130000,69000
Europe,2018,Australia,Melbourne,,,
Americas,2019,Australia,Melbourne,,,
Asia-Pacific,2019,Australia,Melbourne,,,
Europe,2019,Australia,Melbourne,,,
Americas,2017,Japan,Tokyo,,,
Asia-Pacific,2017,Japan,Tokyo,112000,69000,119000
Europe,2017,Japan,Tokyo,,,
Americas,2018,Japan,Tokyo,,,
Asia-Pacific,2018,Japan,Tokyo,59000,116000,89000
Europe,2018,Japan,Tokyo,,,
Americas,2019,Japan,Tokyo,,,
Asia-Pacific,2019,Japan,Tokyo,139000,94000,91000
Europe,2019,Japan,Tokyo,,,
Americas,2017,Japan,Hiroshima,,,
Asia-Pacific,2017,Japan,Hiroshima,117000,78000,40000
Europe,2017,Japan,Hiroshima,,,
Americas,2018,Japan,Hiroshima,,,
Asia-Pacific,2018,Japan,Hiroshima,62000,87000,92000
Europe,2018,Japan,Hiroshima,,,
Americas,2019,Japan,Hiroshima,,,
Asia-Pacific,2019,Japan,Hiroshima,67000,92000,102000
Europe,2019,Japan,Hiroshima,,,
Americas,2017,Japan,Yokohoma,,,
Asia-Pacific,2017,Japan,Yokohoma,35000,85000,47000
Europe,2017,Japan,Yokohoma,,,
Americas,2018,Japan,Yokohoma,,,
Asia-Pacific,2018,Japan,Yokohoma,66000,62000,68000
Europe,2018,Japan,Yokohoma,,,
Americas,2019,Japan,Yokohoma,,,
Asia-Pacific,2019,Japan,Yokohoma,73000,114000,36000
Europe,2019,Japan,Yokohoma,,,
Americas,2017,China,Shangai,,,
Asia-Pacific,2017,China,Shangai,108000,129000,134000
Europe,2017,China,Shangai,,,
Americas,2018,China,Shangai,,,
Asia-Pacific,2018,China,Shangai,109000,63000,124000
Europe,2018,China,Shangai,,,
Americas,2019,China,Shangai,,,
Asia-Pacific,2019,China,Shangai,96000,113000,68000
Europe,2019,China,Shangai,,,
Americas,2017,China,Beijing,,,
Asia-Pacific,2017,China,Beijing,104000,35000,48000
Europe,2017,China,Beijing,,,
Americas,2018,China,Beijing,,,
Asia-Pacific,2018,China,Beijing,92000,133000,115000
Europe,2018,China,Beijing,,,
Americas,2019,China,Beijing,,,
Asia-Pacific,2019,China,Beijing,145000,135000,39000
Europe,2019,China,Beijing,,,
Americas,2017,China,Chengdu,,,
Asia-Pacific,2017,China,Chengdu,96000,130000,62000
Europe,2017,China,Chengdu,,,
Americas,2018,China,Chengdu,,,
Asia-Pacific,2018,China,Chengdu,117000,41000,48000
Europe,2018,China,Chengdu,,,
Americas,2019,China,Chengdu,,,
Asia-Pacific,2019,China,Chengdu,80000,47000,38000
Europe,2019,China,Chengdu,,,
Americas,2017,Poland,Warsaw,,,
Asia-Pacific,2017,Poland,Warsaw,,,
Europe,2017,Poland,Warsaw,0,90000,103000
Americas,2018,Poland,Warsaw,,,
Asia-Pacific,2018,Poland,Warsaw,,,
Europe,2018,Poland,Warsaw,103000,55000,99000
Americas,2019,Poland,Warsaw,,,
Asia-Pacific,2019,Poland,Warsaw,,,
Europe,2019,Poland,Warsaw,144000,67000,118000
Americas,2017,Poland,Lublin,,,
Asia-Pacific,2017,Poland,Lublin,,,
Europe,2017,Poland,Lublin,0,82000,0
Americas,2018,Poland,Lublin,,,
Asia-Pacific,2018,Poland,Lublin,,,
Europe,2018,Poland,Lublin,79000,118000,81000
Americas,2019,Poland,Lublin,,,
Asia-Pacific,2019,Poland,Lublin,,,
Europe,2019,Poland,Lublin,128000,106000,121000
Americas,2017,Sweden,Stockholm,,,
Asia-Pacific,2017,Sweden,Stockholm,,,
Europe,2017,Sweden,Stockholm,84000,130000,115000
Americas,2018,Sweden,Stockholm,,,
Asia-Pacific,2018,Sweden,Stockholm,,,
Europe,2018,Sweden,Stockholm,131000,111000,
Americas,2019,Sweden,Stockholm,,,
Asia-Pacific,2019,Sweden,Stockholm,,,
Europe,2019,Sweden,Stockholm,117000,55000,139000
Americas,2017,Sweden,Gothenburg,,,
Asia-Pacific,2017,Sweden,Gothenburg,,,
Europe,2017,Sweden,Gothenburg,112000,135000,0
Americas,2018,Sweden,Gothenburg,,,
Asia-Pacific,2018,Sweden,Gothenburg,,,
Europe,2018,Sweden,Gothenburg,130000,68000,
Americas,2019,Sweden,Gothenburg,,,
Asia-Pacific,2019,Sweden,Gothenburg,,,
Europe,2019,Sweden,Gothenburg,101000,43000,141000
Americas,2017,Sweden,Malmo,,,
Asia-Pacific,2017,Sweden,Malmo,,,
Europe,2017,Sweden,Malmo,80000,140000,61000
Americas,2018,Sweden,Malmo,,,
Asia-Pacific,2018,Sweden,Malmo,,,
Europe,2018,Sweden,Malmo,84000,68000,
Americas,2019,Sweden,Malmo,,,
Asia-Pacific,2019,Sweden,Malmo,,,
Europe,2019,Sweden,Malmo,101000,148000,60000
Americas,2017,Belgium,Flanders,,,
Asia-Pacific,2017,Belgium,Flanders,,,
Europe,2017,Belgium,Flanders,118000,77000,88000
Americas,2018,Belgium,Flanders,,,
Asia-Pacific,2018,Belgium,Flanders,,,
Europe,2018,Belgium,Flanders,95000,141000,134000
Americas,2019,Belgium,Flanders,,,
Asia-Pacific,2019,Belgium,Flanders,,,
Europe,2019,Belgium,Flanders,128000,78000,108000
Americas,2017,Belgium,Brussels,,,
Asia-Pacific,2017,Belgium,Brussels,,,
Europe,2017,Belgium,Brussels,0,115000,0
Americas,2018,Belgium,Brussels,,,
Asia-Pacific,2018,Belgium,Brussels,,,
Europe,2018,Belgium,Brussels,78000,94000,64000
Americas,2019,Belgium,Brussels,,,
Asia-Pacific,2019,Belgium,Brussels,,,
Europe,2019,Belgium,Brussels,112000,35000,119000
Americas,2017,Germany,Frankfurt,,,
Asia-Pacific,2017,Germany,Frankfurt,,,
Europe,2017,Germany,Frankfurt,0,133000,107000
Americas,2018,Germany,Frankfurt,,,
Asia-Pacific,2018,Germany,Frankfurt,,,
Europe,2018,Germany,Frankfurt,100000,126000,91000
Americas,2019,Germany,Frankfurt,,,
Asia-Pacific,2019,Germany,Frankfurt,,,
Europe,2019,Germany,Frankfurt,142000,139000,91000
Americas,2017,Germany,Berlin,,,
Asia-Pacific,2017,Germany,Berlin,,,
Europe,2017,Germany,Berlin,0,127000,0
Americas,2018,Germany,Berlin,,,
Asia-Pacific,2018,Germany,Berlin,,,
Europe,2018,Germany,Berlin,,,
Americas,2019,Germany,Berlin,,,
Asia-Pacific,2019,Germany,Berlin,,,
Europe,2019,Germany,Berlin,48000,93000,128000
Americas,2017,France,Marseille,,,
Asia-Pacific,2017,France,Marseille,,,
Europe,2017,France,Marseille,107000,99000,118000
Americas,2018,France,Marseille,,,
Asia-Pacific,2018,France,Marseille,,,
Europe,2018,France,Marseille,0,0,0
Americas,2019,France,Marseille,,,
Asia-Pacific,2019,France,Marseille,,,
Europe,2019,France,Marseille,101000,95000,44000
Americas,2017,France,Paris,,,
Asia-Pacific,2017,France,Paris,,,
Europe,2017,France,Paris,89000,100000,0
Americas,2018,France,Paris,,,
Asia-Pacific,2018,France,Paris,,,
Europe,2018,France,Paris,0,0,0
Americas,2019,France,Paris,,,
Asia-Pacific,2019,France,Paris,,,
Europe,2019,France,Paris,51000,63000,131000
