Orders.Order Date.Variation.Date Hierarchy.Quarter,Orders.Order Date.Variation.Date Hierarchy.Year,Orders.Category,Orders.Sub-Category,Sum(Orders.Profit),Sum(Orders.Sales)
Qtr 2,2015,Office Supplies,Labels,171.658,423.486
Qtr 3,2015,Office Supplies,Labels,312.8239,676.6019999999999
Qtr 4,2015,Office Supplies,Labels,470.42810000000003,1074.66
Qtr 1,2016,Office Supplies,Labels,62.34609999999999,132.37000000000003
Qtr 2,2016,Office Supplies,Labels,263.2686,572.2919999999999
Qtr 3,2016,Office Supplies,Labels,356.8119999999999,826.3420000000001
Qtr 4,2016,Office Supplies,Labels,510.1851999999999,1296.2359999999999
Qtr 1,2017,Office Supplies,Labels,126.70689999999999,277.36
Qtr 2,2017,Office Supplies,Labels,325.5295999999999,760.2239999999998
Qtr 3,2017,Office Supplies,Labels,889.8238000000005,1944.1380000000001
Qtr 4,2017,Office Supplies,Labels,402.5489999999999,879.4939999999999
Qtr 1,2014,Office Supplies,Paper,663.2356,1580.8300000000002
Qtr 2,2014,Office Supplies,Paper,911.9930000000002,2194.7340000000004
Qtr 3,2014,Office Supplies,Paper,1812.6979999999999,4259.074
Qtr 4,2014,Office Supplies,Paper,2983.0948000000017,6800.318000000003
Qtr 1,2015,Office Supplies,Paper,1000.3265999999996,2316.8320000000003
Qtr 2,2015,Office Supplies,Paper,956.2088000000003,2432.7640000000006
Qtr 3,2015,Office Supplies,Paper,1793.7208,4028.164000000001
Qtr 4,2015,Office Supplies,Paper,2819.9138,6509.877999999999
Qtr 1,2016,Office Supplies,Paper,1219.153199999999,2734.2180000000008
Qtr 2,2016,Office Supplies,Paper,2913.0705,6710.06
Qtr 3,2016,Office Supplies,Paper,2219.1204999999995,5060.839999999999
Qtr 4,2016,Office Supplies,Paper,2720.1903,6156.775999999999
Qtr 1,2017,Office Supplies,Paper,2081.6452000000004,4729.932000000001
Qtr 2,2017,Office Supplies,Paper,2447.1878,5577.541999999998
Qtr 3,2017,Office Supplies,Paper,3483.0729000000024,8044.842
Qtr 4,2017,Office Supplies,Paper,4034.3806999999974,9357.953999999996
Qtr 1,2014,Office Supplies,Storage,693.2789999999995,7541.361999999998
Qtr 2,2014,Office Supplies,Storage,543.1238,8242.427999999998
Qtr 3,2014,Office Supplies,Storage,1180.801,13585.685999999998
Qtr 4,2014,Office Supplies,Storage,1762.3925999999997,21625.446
Qtr 1,2015,Office Supplies,Storage,746.0944999999998,5077.498000000001
Qtr 2,2015,Office Supplies,Storage,689.7558,8621.948
Qtr 3,2015,Office Supplies,Storage,1434.1777999999993,17307.246000000003
Qtr 4,2015,Office Supplies,Storage,635.4319999999992,14041.555999999997
Qtr 1,2016,Office Supplies,Storage,1008.8665000000002,8848.104
Qtr 2,2016,Office Supplies,Storage,1154.0077999999999,13805.081999999999
Qtr 3,2016,Office Supplies,Storage,1204.9054999999996,14447.292000000001
Qtr 4,2016,Office Supplies,Storage,2836.5069999999987,21688.221999999994
Qtr 1,2017,Office Supplies,Storage,812.5550999999998,8668.269999999997
Qtr 2,2017,Office Supplies,Storage,2018.1876999999995,18411.843999999997
Qtr 3,2017,Office Supplies,Storage,1293.8884000000005,14380.862000000001
Qtr 4,2017,Office Supplies,Storage,3278.1694999999986,28216.642
Qtr 1,2014,Office Supplies,Supplies,10.172200000000004,257.24
Qtr 2,2014,Office Supplies,Supplies,106.51020000000007,4282.237999999999
Qtr 3,2014,Office Supplies,Supplies,392.5779999999997,8793.427999999998
Qtr 4,2014,Office Supplies,Supplies,-19.204799999999967,1061.164
Qtr 1,2015,Office Supplies,Supplies,18.68159999999999,122.32000000000001
Qtr 2,2015,Office Supplies,Supplies,41.249399999999994,531.054
Qtr 3,2015,Office Supplies,Supplies,-113.66950000000003,1057.616
Qtr 4,2015,Office Supplies,Supplies,28.860099999999992,241.49200000000002
Qtr 1,2016,Office Supplies,Supplies,-575.2212000000004,8893.722000000002
Qtr 2,2016,Office Supplies,Supplies,-57.403299999999945,2445.4900000000002
Qtr 3,2016,Office Supplies,Supplies,61.074999999999925,743.2420000000001
Qtr 4,2016,Office Supplies,Supplies,-127.4144,2195.1220000000003
Qtr 1,2017,Office Supplies,Supplies,-149.09049999999996,6056.181999999999
Qtr 2,2017,Office Supplies,Supplies,107.23780000000002,1377.3860000000002
Qtr 3,2017,Office Supplies,Supplies,-971.0516,5523.374000000001
Qtr 4,2017,Office Supplies,Supplies,57.59149999999998,3092.4680000000003
Qtr 1,2014,Technology,Accessories,1124.5735000000004,3057.814
Qtr 2,2014,Technology,Accessories,1038.4555,3908.5200000000004
Qtr 3,2014,Technology,Accessories,1685.6122999999995,7705.984000000002
Qtr 4,2014,Technology,Accessories,2554.073699999999,10341.953999999996
Qtr 1,2015,Technology,Accessories,670.5037999999997,3149.727999999999
Qtr 2,2015,Technology,Accessories,1238.1835999999998,4600.2480000000005
Qtr 3,2015,Technology,Accessories,3099.4618,11973.883999999998
Qtr 4,2015,Technology,Accessories,5189.126000000002,20800.100000000006
Qtr 1,2016,Technology,Accessories,1035.9633,4890.926
Qtr 2,2016,Technology,Accessories,1684.7750999999996,7222.557999999999
Qtr 3,2016,Technology,Accessories,2585.2865,12445.412000000004
Qtr 4,2016,Technology,Accessories,4358.2635999999975,17336.958000000006
Qtr 1,2017,Technology,Accessories,2291.9934,8515.352000000004
Qtr 2,2017,Technology,Accessories,2575.822899999999,10741.866000000004
Qtr 3,2017,Technology,Accessories,6334.611800000001,22277.63599999999
Qtr 4,2017,Technology,Accessories,4469.928900000001,18411.378000000008
Qtr 1,2014,Technology,Copiers,,
Qtr 2,2014,Technology,Copiers,464.98850000000004,2999.93
Qtr 3,2014,Technology,Copiers,1586.9721,4109.928
Qtr 4,2014,Technology,Copiers,860.9826999999998,3739.9239999999995
Qtr 1,2015,Technology,Copiers,1858.4616999999998,4269.914000000001
Qtr 2,2015,Technology,Copiers,2241.9406,6379.83
Qtr 3,2015,Technology,Copiers,1600.9739,5119.912000000001
Qtr 4,2015,Technology,Copiers,4228.9226,10409.794
Qtr 1,2016,Technology,Copiers,119.99599999999992,959.9680000000001
Qtr 2,2016,Technology,Copiers,1564.9882999999986,10439.939999999999
Qtr 3,2016,Technology,Copiers,3895.9000999999994,11619.722000000003
Qtr 4,2016,Technology,Copiers,12161.908199999998,26579.779999999995
Qtr 1,2017,Technology,Copiers,10565.914699999998,24319.772
Qtr 2,2017,Technology,Copiers,1049.985,3359.952
Qtr 3,2017,Technology,Copiers,1527.9651000000003,4979.872
Qtr 4,2017,Technology,Copiers,11887.925399999998,30239.792
Qtr 1,2014,Technology,Machines,-1255.4678000000022,25314.658
Qtr 2,2014,Technology,Machines,-142.0174,979.729
Qtr 3,2014,Technology,Machines,-2626.1293000000032,22420.282
Qtr 4,2014,Technology,Machines,4392.783399999999,13308.704000000002
Qtr 1,2015,Technology,Machines,-734.4027000000003,3107.9760000000006
Qtr 2,2015,Technology,Machines,927.4447999999995,4824.756
Qtr 3,2015,Technology,Machines,2044.9754999999998,4973.276
Qtr 4,2015,Technology,Machines,739.467999999999,14857.689000000002
Qtr 1,2016,Technology,Machines,4968.559199999999,17744.49
Qtr 2,2016,Technology,Machines,4580.5071,24273.397000000004
Qtr 3,2016,Technology,Machines,-161.63730000000015,3309.518
Qtr 4,2016,Technology,Machines,-6480.111000000001,10579.481000000002
Qtr 1,2017,Technology,Machines,905.5250999999996,5089.344999999999
Qtr 2,2017,Technology,Machines,-1166.7751000000012,11562.129
Qtr 3,2017,Technology,Machines,256.1527999999998,6008.859000000001
Qtr 4,2017,Technology,Machines,-2864.1183999999985,20884.342
Qtr 1,2014,Technology,Phones,1909.1652000000004,8890.502
Qtr 2,2014,Technology,Phones,3331.3360000000002,20254.519999999997
Qtr 3,2014,Technology,Phones,2276.8269999999998,13515.172
Qtr 4,2014,Technology,Phones,4359.033900000002,35642.036
Qtr 1,2015,Technology,Phones,822.7797999999996,7890.6280000000015
Qtr 2,2015,Technology,Phones,1552.4182999999998,13434.483999999999
Qtr 3,2015,Technology,Phones,4210.234699999999,22845.653999999995
Qtr 4,2015,Technology,Phones,3813.3746000000015,24142.936
Qtr 1,2016,Technology,Phones,1195.2467000000001,15851.448
Qtr 2,2016,Technology,Phones,2712.518400000001,18159.449999999997
Qtr 3,2016,Technology,Phones,1789.4981999999975,18450.156000000003
Qtr 4,2016,Technology,Phones,3762.3295999999987,26500.97599999999
Qtr 1,2017,Technology,Phones,2050.1640999999995,18264.230000000003
Qtr 2,2017,Technology,Phones,2102.290999999999,17347.128000000004
Qtr 3,2017,Technology,Phones,3191.969200000001,34505.32399999999
Qtr 4,2017,Technology,Phones,5504.900700000001,35223.83399999998
