Orders.Region,Values.US,Values.Actuals,Accounts Master.Level 0 Description,Accounts Master.Level 1 Description,Accounts Master.Level 2 Description,Accounts Master.Level 3 Description,Accounts Master.Level 4 Description
East,-3777088.6300000027,-17895923.929999944,Operating Profit,Gross Profit,Cost of Goods Sold,Freight,
South,-3777088.6300000027,-17895923.929999944,Operating Profit,Gross Profit,Cost of Goods Sold,Freight,
West,-3777088.6300000027,-17895923.929999944,Operating Profit,Gross Profit,Cost of Goods Sold,Freight,
Central,4479840280.4,21088343371.58,Operating Profit,Gross Profit,Net Revenue,Gross Revenue,Gross Sales
East,4479840280.4,21088343371.58,Operating Profit,Gross Profit,Net Revenue,Gross Revenue,Gross Sales
South,4479840280.4,21088343371.58,Operating Profit,Gross Profit,Net Revenue,Gross Revenue,Gross Sales
West,4479840280.4,21088343371.58,Operating Profit,Gross Profit,Net Revenue,Gross Revenue,Gross Sales
Central,-27036233.460000016,-134124795.4699998,Operating Profit,Gross Profit,Net Revenue,Gross Revenue,Retail Returns
East,-27036233.460000016,-134124795.4699998,Operating Profit,Gross Profit,Net Revenue,Gross Revenue,Retail Returns
South,-27036233.460000016,-134124795.4699998,Operating Profit,Gross Profit,Net Revenue,Gross Revenue,Retail Returns
West,-27036233.460000016,-134124795.4699998,Operating Profit,Gross Profit,Net Revenue,Gross Revenue,Retail Returns
Central,-214156638.49999982,-1016768128.0199986,Operating Profit,Gross Profit,Net Revenue,Discounts,Pricing Adjustments
East,-214156638.49999982,-1016768128.0199986,Operating Profit,Gross Profit,Net Revenue,Discounts,Pricing Adjustments
South,-214156638.49999982,-1016768128.0199986,Operating Profit,Gross Profit,Net Revenue,Discounts,Pricing Adjustments
West,-214156638.49999982,-1016768128.0199986,Operating Profit,Gross Profit,Net Revenue,Discounts,Pricing Adjustments
Central,-53862675.19,-249753676.81999984,Operating Profit,Gross Profit,Net Revenue,Discounts,Sale Allowances
East,-53862675.19,-249753676.81999984,Operating Profit,Gross Profit,Net Revenue,Discounts,Sale Allowances
South,-53862675.19,-249753676.81999984,Operating Profit,Gross Profit,Net Revenue,Discounts,Sale Allowances
West,-53862675.19,-249753676.81999984,Operating Profit,Gross Profit,Net Revenue,Discounts,Sale Allowances
Central,-84482794.41000006,-386172009.61000156,Operating Profit,Gross Profit,Net Revenue,Discounts,Sales Discounts
East,-84482794.41000006,-386172009.61000156,Operating Profit,Gross Profit,Net Revenue,Discounts,Sales Discounts
South,-84482794.41000006,-386172009.61000156,Operating Profit,Gross Profit,Net Revenue,Discounts,Sales Discounts
West,-84482794.41000006,-386172009.61000156,Operating Profit,Gross Profit,Net Revenue,Discounts,Sales Discounts
Central,-22642310.229999986,-111725958.65999988,Operating Profit,Gross Profit,Net Revenue,Discounts,Sales Markdown
East,-22642310.229999986,-111725958.65999988,Operating Profit,Gross Profit,Net Revenue,Discounts,Sales Markdown
South,-22642310.229999986,-111725958.65999988,Operating Profit,Gross Profit,Net Revenue,Discounts,Sales Markdown
West,-22642310.229999986,-111725958.65999988,Operating Profit,Gross Profit,Net Revenue,Discounts,Sales Markdown
Central,-99463028.82000001,-465589707.42999995,Operating Profit,Operating Expenses,IT Expenses,,
East,-99463028.82000001,-465589707.42999995,Operating Profit,Operating Expenses,IT Expenses,,
South,-99463028.82000001,-465589707.42999995,Operating Profit,Operating Expenses,IT Expenses,,
West,-99463028.82000001,-465589707.42999995,Operating Profit,Operating Expenses,IT Expenses,,
Central,-130273465.75000004,-622108540.7499994,Operating Profit,Operating Expenses,Other Expenses,,
East,-130273465.75000004,-622108540.7499994,Operating Profit,Operating Expenses,Other Expenses,,
South,-130273465.75000004,-622108540.7499994,Operating Profit,Operating Expenses,Other Expenses,,
West,-130273465.75000004,-622108540.7499994,Operating Profit,Operating Expenses,Other Expenses,,
Central,-271063655.1399997,-1282619470.7799995,Operating Profit,Operating Expenses,Personnel Costs,Salaries,
East,-271063655.1399997,-1282619470.7799995,Operating Profit,Operating Expenses,Personnel Costs,Salaries,
South,-271063655.1399997,-1282619470.7799995,Operating Profit,Operating Expenses,Personnel Costs,Salaries,
West,-271063655.1399997,-1282619470.7799995,Operating Profit,Operating Expenses,Personnel Costs,Salaries,
Central,-176571227.7099999,-780072822.5100003,Operating Profit,Operating Expenses,Personnel Costs,Wages,
East,-176571227.7099999,-780072822.5100003,Operating Profit,Operating Expenses,Personnel Costs,Wages,
South,-176571227.7099999,-780072822.5100003,Operating Profit,Operating Expenses,Personnel Costs,Wages,
West,-176571227.7099999,-780072822.5100003,Operating Profit,Operating Expenses,Personnel Costs,Wages,
Central,-46923320.359999985,-220220293.53000027,Operating Profit,Operating Expenses,Personnel Costs,Bonus,
East,-46923320.359999985,-220220293.53000027,Operating Profit,Operating Expenses,Personnel Costs,Bonus,
South,-46923320.359999985,-220220293.53000027,Operating Profit,Operating Expenses,Personnel Costs,Bonus,
West,-46923320.359999985,-220220293.53000027,Operating Profit,Operating Expenses,Personnel Costs,Bonus,
Central,-18053915.08999999,-87793135.85999991,Operating Profit,Operating Expenses,Personnel Costs,Benefits,
East,-18053915.08999999,-87793135.85999991,Operating Profit,Operating Expenses,Personnel Costs,Benefits,
South,-18053915.08999999,-87793135.85999991,Operating Profit,Operating Expenses,Personnel Costs,Benefits,
West,-18053915.08999999,-87793135.85999991,Operating Profit,Operating Expenses,Personnel Costs,Benefits,
Central,-28763186.950000025,-138344308.22999975,Operating Profit,Operating Expenses,Personnel Costs,Training,
East,-28763186.950000025,-138344308.22999975,Operating Profit,Operating Expenses,Personnel Costs,Training,
South,-28763186.950000025,-138344308.22999975,Operating Profit,Operating Expenses,Personnel Costs,Training,
West,-28763186.950000025,-138344308.22999975,Operating Profit,Operating Expenses,Personnel Costs,Training,
Central,-23878127.45,-115310177.35999991,Operating Profit,Operating Expenses,Personnel Costs,Recruiting,
East,-23878127.45,-115310177.35999991,Operating Profit,Operating Expenses,Personnel Costs,Recruiting,
South,-23878127.45,-115310177.35999991,Operating Profit,Operating Expenses,Personnel Costs,Recruiting,
West,-23878127.45,-115310177.35999991,Operating Profit,Operating Expenses,Personnel Costs,Recruiting,
Central,-17936978.119999997,-86239511.90999974,Operating Profit,Operating Expenses,Personnel Costs,Equipment,
East,-17936978.119999997,-86239511.90999974,Operating Profit,Operating Expenses,Personnel Costs,Equipment,
South,-17936978.119999997,-86239511.90999974,Operating Profit,Operating Expenses,Personnel Costs,Equipment,
West,-17936978.119999997,-86239511.90999974,Operating Profit,Operating Expenses,Personnel Costs,Equipment,
Central,-13983557.009999994,-66242514.20000002,Operating Profit,Operating Expenses,Personnel Costs,Computer,
East,-13983557.009999994,-66242514.20000002,Operating Profit,Operating Expenses,Personnel Costs,Computer,
South,-13983557.009999994,-66242514.20000002,Operating Profit,Operating Expenses,Personnel Costs,Computer,
West,-13983557.009999994,-66242514.20000002,Operating Profit,Operating Expenses,Personnel Costs,Computer,
Central,-10956899.12,-51379553.96999999,Operating Profit,Operating Expenses,Personnel Costs,Tuition,
East,-10956899.12,-51379553.96999999,Operating Profit,Operating Expenses,Personnel Costs,Tuition,
South,-10956899.12,-51379553.96999999,Operating Profit,Operating Expenses,Personnel Costs,Tuition,
West,-10956899.12,-51379553.96999999,Operating Profit,Operating Expenses,Personnel Costs,Tuition,
Central,-201794312.95000014,-952359709.7500005,Operating Profit,Operating Expenses,Sales and Marketing,Marketing Expenses,
East,-201794312.95000014,-952359709.7500005,Operating Profit,Operating Expenses,Sales and Marketing,Marketing Expenses,
South,-201794312.95000014,-952359709.7500005,Operating Profit,Operating Expenses,Sales and Marketing,Marketing Expenses,
West,-201794312.95000014,-952359709.7500005,Operating Profit,Operating Expenses,Sales and Marketing,Marketing Expenses,
Central,-198070809.9399999,-833675689.1499995,Operating Profit,Operating Expenses,Sales and Marketing,Sales Expenses,
East,-198070809.9399999,-833675689.1499995,Operating Profit,Operating Expenses,Sales and Marketing,Sales Expenses,
South,-198070809.9399999,-833675689.1499995,Operating Profit,Operating Expenses,Sales and Marketing,Sales Expenses,
West,-198070809.9399999,-833675689.1499995,Operating Profit,Operating Expenses,Sales and Marketing,Sales Expenses,
