15000.Date.Variation.Date Hierarchy.Year,15000.Date.Variation.Date Hierarchy.Quarter,15000.County,Sum(15000.Sale (Dollars))
2013,Qtr 3,Clayton,257.16
2013,Qtr 4,Clayton,141.75
2014,Qtr 3,Clayton,628.91
2014,Qtr 4,Clayton,468.96
2015,Qtr 3,Clayton,348.02
2015,Qtr 4,Clayton,220.53
2012,Qtr 3,Clinton,1526.81
2012,Qtr 4,Clinton,1080.71
2013,Qtr 3,Clinton,1311.88
2013,Qtr 4,Clinton,1278.16
2014,Qtr 3,Clinton,722.67
2014,Qtr 4,Clinton,1072.03
2015,Qtr 3,Clinton,5092.6
2015,Qtr 4,Clinton,520.11
2012,Qtr 3,Crawford,635.82
2012,Qtr 4,Crawford,681.66
2013,Qtr 3,Crawford,629.1
2013,Qtr 4,Crawford,470.84
2014,Qtr 3,Crawford,243.24
2014,Qtr 4,Crawford,142.5
2015,Qtr 3,Crawford,169.44
2015,Qtr 4,Crawford,2252.82
2012,Qtr 3,Dallas,845.85
2012,Qtr 4,Dallas,85.43
2013,Qtr 3,Dallas,1921.95
2013,Qtr 4,Dallas,2086.87
2014,Qtr 3,Dallas,2492.95
2014,Qtr 4,Dallas,885.63
2015,Qtr 3,Dallas,900.95
2015,Qtr 4,Dallas,4739.07
2012,Qtr 3,Davis,89.52
2012,Qtr 4,Davis,
2013,Qtr 3,Davis,
2013,Qtr 4,Davis,
2014,Qtr 3,Davis,
2014,Qtr 4,Davis,126
2015,Qtr 3,Davis,203.98
2015,Qtr 4,Davis,
2012,Qtr 3,Decatur,
2012,Qtr 4,Decatur,
2013,Qtr 3,Decatur,
2013,Qtr 4,Decatur,120
2014,Qtr 3,Decatur,
2014,Qtr 4,Decatur,114
2015,Qtr 3,Decatur,
2015,Qtr 4,Decatur,160.2
2012,Qtr 3,Delaware,
2012,Qtr 4,Delaware,537.12
2013,Qtr 3,Delaware,300
2013,Qtr 4,Delaware,330.6
2014,Qtr 3,Delaware,301.98
2014,Qtr 4,Delaware,255.6
2015,Qtr 3,Delaware,528.12
2015,Qtr 4,Delaware,537.42
2012,Qtr 3,Des Moines,865.1
2012,Qtr 4,Des Moines,1988.21
2013,Qtr 3,Des Moines,882.04
2013,Qtr 4,Des Moines,758.8
2014,Qtr 3,Des Moines,1041.99
2014,Qtr 4,Des Moines,1513.72
2015,Qtr 3,Des Moines,1400.41
2015,Qtr 4,Des Moines,2616.82
2012,Qtr 3,Dickinson,2865.71
2012,Qtr 4,Dickinson,1488.47
2013,Qtr 3,Dickinson,2829.09
2013,Qtr 4,Dickinson,1290.76
2014,Qtr 3,Dickinson,2379.84
2014,Qtr 4,Dickinson,619.85
2015,Qtr 3,Dickinson,3012.45
2015,Qtr 4,Dickinson,132.83
2012,Qtr 3,Dubuque,2747.34
2012,Qtr 4,Dubuque,3367.56
2013,Qtr 3,Dubuque,2531.89
2013,Qtr 4,Dubuque,3304.25
2014,Qtr 3,Dubuque,4401.64
2014,Qtr 4,Dubuque,9586.63
2015,Qtr 3,Dubuque,3066.22
2015,Qtr 4,Dubuque,9107.31
2012,Qtr 3,Emmet,87.96
2012,Qtr 4,Emmet,49.36
2013,Qtr 3,Emmet,352.98
2013,Qtr 4,Emmet,224.64
2014,Qtr 3,Emmet,52.5
2014,Qtr 4,Emmet,298.2
2015,Qtr 3,Emmet,361.68
2015,Qtr 4,Emmet,354.51
2012,Qtr 3,Fayette,307.92
2012,Qtr 4,Fayette,535.38
2013,Qtr 3,Fayette,554.06
2013,Qtr 4,Fayette,786.54
2014,Qtr 3,Fayette,317.62
2014,Qtr 4,Fayette,333.9
2015,Qtr 3,Fayette,407.64
2015,Qtr 4,Fayette,186.72
2012,Qtr 3,Floyd,425.26
2012,Qtr 4,Floyd,110.4
2013,Qtr 3,Floyd,36.9
2013,Qtr 4,Floyd,493.92
2014,Qtr 3,Floyd,627.64
2014,Qtr 4,Floyd,288.48
2015,Qtr 3,Floyd,481.22
2015,Qtr 4,Floyd,169.48
2012,Qtr 3,Franklin,1390.62
2012,Qtr 4,Franklin,256.38
2013,Qtr 3,Franklin,212.31
2013,Qtr 4,Franklin,119.28
2014,Qtr 3,Franklin,
2014,Qtr 4,Franklin,235.56
2015,Qtr 3,Franklin,162
2015,Qtr 4,Franklin,27
2012,Qtr 3,Fremont,103.92
2012,Qtr 4,Fremont,
2013,Qtr 3,Fremont,
2013,Qtr 4,Fremont,64.74
2014,Qtr 3,Fremont,
2014,Qtr 4,Fremont,
2015,Qtr 3,Fremont,
2015,Qtr 4,Fremont,
2012,Qtr 3,Greene,247.17
2012,Qtr 4,Greene,458.08
2013,Qtr 3,Greene,59.68
2013,Qtr 4,Greene,38.76
2014,Qtr 3,Greene,237.43
2014,Qtr 4,Greene,
2015,Qtr 3,Greene,208.56
2015,Qtr 4,Greene,326.65
2012,Qtr 3,Grundy,333.78
2012,Qtr 4,Grundy,80.18
2013,Qtr 3,Grundy,204.16
2013,Qtr 4,Grundy,121.56
2014,Qtr 3,Grundy,144.15
2014,Qtr 4,Grundy,
2015,Qtr 3,Grundy,196.74
2015,Qtr 4,Grundy,71.75
2012,Qtr 3,Guthrie,203.28
2012,Qtr 4,Guthrie,50.94
2013,Qtr 3,Guthrie,268.32
2013,Qtr 4,Guthrie,302.28
2014,Qtr 3,Guthrie,176.79
2014,Qtr 4,Guthrie,172.44
2015,Qtr 3,Guthrie,555.92
2015,Qtr 4,Guthrie,
2012,Qtr 3,Hamilton,939.62
2012,Qtr 4,Hamilton,501.82
2013,Qtr 3,Hamilton,254.2
2013,Qtr 4,Hamilton,626.13
2014,Qtr 3,Hamilton,119.82
2014,Qtr 4,Hamilton,168.03
2015,Qtr 3,Hamilton,181.26
2015,Qtr 4,Hamilton,210.41
2012,Qtr 3,Hancock,264.96
2012,Qtr 4,Hancock,250.44
2013,Qtr 3,Hancock,283.2
2013,Qtr 4,Hancock,52.52
2014,Qtr 3,Hancock,62.2
2014,Qtr 4,Hancock,
2015,Qtr 3,Hancock,228.06
2015,Qtr 4,Hancock,82.26
2012,Qtr 3,Hardin,642.43
2012,Qtr 4,Hardin,717.39
2013,Qtr 3,Hardin,729.39
2013,Qtr 4,Hardin,742.44
2014,Qtr 3,Hardin,464.15
2014,Qtr 4,Hardin,870.34
2015,Qtr 3,Hardin,1558.92
2015,Qtr 4,Hardin,1289.65
2012,Qtr 3,Harrison,200.28
2012,Qtr 4,Harrison,388
2013,Qtr 3,Harrison,108.53
2013,Qtr 4,Harrison,143.21
2014,Qtr 3,Harrison,100.56
2014,Qtr 4,Harrison,
2015,Qtr 3,Harrison,211.56
2015,Qtr 4,Harrison,61.88
2012,Qtr 3,Henry,216
2012,Qtr 4,Henry,199.57
2013,Qtr 3,Henry,305.28
2013,Qtr 4,Henry,141.84
2014,Qtr 3,Henry,465.48
2014,Qtr 4,Henry,452.19
2015,Qtr 3,Henry,320.24
2015,Qtr 4,Henry,775.98
2012,Qtr 3,Howard,300.11
2012,Qtr 4,Howard,222.18
2013,Qtr 3,Howard,134.56
2013,Qtr 4,Howard,398.22
2014,Qtr 3,Howard,56.26
2014,Qtr 4,Howard,128.04
2015,Qtr 3,Howard,335.64
2015,Qtr 4,Howard,651.36
2012,Qtr 3,Humboldt,39.68
2012,Qtr 4,Humboldt,1643.54
2013,Qtr 3,Humboldt,348.6
2013,Qtr 4,Humboldt,280.95
2014,Qtr 3,Humboldt,431.88
2014,Qtr 4,Humboldt,211.56
2015,Qtr 3,Humboldt,57.84
2015,Qtr 4,Humboldt,146.19
2012,Qtr 3,Ida,127
2012,Qtr 4,Ida,101.58
2013,Qtr 3,Ida,
2013,Qtr 4,Ida,15.63
2014,Qtr 3,Ida,94.2
2014,Qtr 4,Ida,69.2
2015,Qtr 3,Ida,372.18
2015,Qtr 4,Ida,752.97
2012,Qtr 3,Iowa,65.42
2012,Qtr 4,Iowa,1582.55
2013,Qtr 3,Iowa,1084.86
2013,Qtr 4,Iowa,1061.89
2014,Qtr 3,Iowa,
2014,Qtr 4,Iowa,1884.25
2015,Qtr 3,Iowa,211.52
2015,Qtr 4,Iowa,458.57
2012,Qtr 3,Jackson,694.65
2012,Qtr 4,Jackson,872.14
2013,Qtr 3,Jackson,863.89
2013,Qtr 4,Jackson,830.44
2014,Qtr 3,Jackson,742.6
2014,Qtr 4,Jackson,478.35
2015,Qtr 3,Jackson,1349.02
2015,Qtr 4,Jackson,215.14
2012,Qtr 3,Jasper,852.87
2012,Qtr 4,Jasper,2286.74
2013,Qtr 3,Jasper,469.47
2013,Qtr 4,Jasper,492.73
2014,Qtr 3,Jasper,952.33
2014,Qtr 4,Jasper,480.96
2015,Qtr 3,Jasper,1118.82
2015,Qtr 4,Jasper,802.38
2012,Qtr 3,Jefferson,474.49
2012,Qtr 4,Jefferson,299.82
2013,Qtr 3,Jefferson,267.6
2013,Qtr 4,Jefferson,438.61
2014,Qtr 3,Jefferson,104.7
2014,Qtr 4,Jefferson,454.56
2015,Qtr 3,Jefferson,65.7
2015,Qtr 4,Jefferson,361.26
2012,Qtr 3,Johnson,6974.98
2012,Qtr 4,Johnson,7669.14
2013,Qtr 3,Johnson,6697.78
2013,Qtr 4,Johnson,8656.2
2014,Qtr 3,Johnson,7000.93
2014,Qtr 4,Johnson,17129.03
2015,Qtr 3,Johnson,10611.38
2015,Qtr 4,Johnson,2661.57
2012,Qtr 3,Jones,525.5
2012,Qtr 4,Jones,180.85
2013,Qtr 3,Jones,548.87
2013,Qtr 4,Jones,177.36
2014,Qtr 3,Jones,81.01
2014,Qtr 4,Jones,893.88
2015,Qtr 3,Jones,217.26
2015,Qtr 4,Jones,431.38
2012,Qtr 3,Keokuk,
2012,Qtr 4,Keokuk,78.72
2013,Qtr 3,Keokuk,
2013,Qtr 4,Keokuk,133.74
2014,Qtr 3,Keokuk,174.58
2014,Qtr 4,Keokuk,
2015,Qtr 3,Keokuk,129.6
2015,Qtr 4,Keokuk,28.5
2012,Qtr 3,Kossuth,317.15
2012,Qtr 4,Kossuth,363.3
2013,Qtr 3,Kossuth,811.68
2013,Qtr 4,Kossuth,296.39
2014,Qtr 3,Kossuth,462.34
2014,Qtr 4,Kossuth,133.67
2015,Qtr 3,Kossuth,390.48
2015,Qtr 4,Kossuth,1146.97
2012,Qtr 3,Lee,1344.54
2012,Qtr 4,Lee,1470.34
2013,Qtr 3,Lee,1418.8
2013,Qtr 4,Lee,1463.72
2014,Qtr 3,Lee,2068.57
2014,Qtr 4,Lee,3084.88
2015,Qtr 3,Lee,631.75
2015,Qtr 4,Lee,1519.15
2012,Qtr 3,Linn,13099.11
2012,Qtr 4,Linn,10875.92
2013,Qtr 3,Linn,8967.38
2013,Qtr 4,Linn,11764.55
2014,Qtr 3,Linn,7533.58
2014,Qtr 4,Linn,36152.52
2015,Qtr 3,Linn,8941.55
2015,Qtr 4,Linn,9846.95
2012,Qtr 3,Louisa,54.18
2012,Qtr 4,Louisa,
2013,Qtr 3,Louisa,188.8
2013,Qtr 4,Louisa,151.39
2014,Qtr 3,Louisa,
2014,Qtr 4,Louisa,41.16
2015,Qtr 3,Louisa,52.8
2015,Qtr 4,Louisa,
2012,Qtr 3,Lucas,80.94
2012,Qtr 4,Lucas,480.76
2013,Qtr 3,Lucas,276.38
2013,Qtr 4,Lucas,414
2014,Qtr 3,Lucas,
2014,Qtr 4,Lucas,80.28
2015,Qtr 3,Lucas,402.42
2015,Qtr 4,Lucas,45
2012,Qtr 3,Lyon,90.88
2012,Qtr 4,Lyon,233.76
2013,Qtr 3,Lyon,179.99
2013,Qtr 4,Lyon,372.3
2014,Qtr 3,Lyon,432
2014,Qtr 4,Lyon,175.35
2015,Qtr 3,Lyon,1170.34
2015,Qtr 4,Lyon,359.46
2012,Qtr 3,Madison,176.88
2012,Qtr 4,Madison,197.82
2013,Qtr 3,Madison,201.48
2013,Qtr 4,Madison,722.11
2014,Qtr 3,Madison,564.58
2014,Qtr 4,Madison,402.26
2015,Qtr 3,Madison,189.63
2015,Qtr 4,Madison,150.24
2012,Qtr 3,Mahaska,289.32
2012,Qtr 4,Mahaska,687.64
2013,Qtr 3,Mahaska,1259.88
2013,Qtr 4,Mahaska,774.65
2014,Qtr 3,Mahaska,225.86
2014,Qtr 4,Mahaska,382.24
2015,Qtr 3,Mahaska,405.58
2015,Qtr 4,Mahaska,485.76
2012,Qtr 3,Marion,702.41
2012,Qtr 4,Marion,449.26
2013,Qtr 3,Marion,376.52
2013,Qtr 4,Marion,880.86
2014,Qtr 3,Marion,733.87
2014,Qtr 4,Marion,576.19
2015,Qtr 3,Marion,1020.98
2015,Qtr 4,Marion,1309.06
2012,Qtr 3,Marshall,532.83
2012,Qtr 4,Marshall,2402.43
2013,Qtr 3,Marshall,934.09
2013,Qtr 4,Marshall,1538.49
2014,Qtr 3,Marshall,2300.02
2014,Qtr 4,Marshall,1480.15
2015,Qtr 3,Marshall,699.49
2015,Qtr 4,Marshall,904.59
2012,Qtr 3,Mills,99.12
2012,Qtr 4,Mills,664.32
2013,Qtr 3,Mills,184.32
2013,Qtr 4,Mills,208.62
2014,Qtr 3,Mills,16.5
2014,Qtr 4,Mills,305.76
2015,Qtr 3,Mills,64.8
2015,Qtr 4,Mills,277.32
2012,Qtr 3,Mitchell,116.17
2012,Qtr 4,Mitchell,5.5
2013,Qtr 3,Mitchell,705.61
2013,Qtr 4,Mitchell,162.28
2014,Qtr 3,Mitchell,80.28
2014,Qtr 4,Mitchell,11.24
2015,Qtr 3,Mitchell,178.08
2015,Qtr 4,Mitchell,26.13
2012,Qtr 3,Monona,157.39
2012,Qtr 4,Monona,283.43
2013,Qtr 3,Monona,181.08
2013,Qtr 4,Monona,325.19
2014,Qtr 3,Monona,303.57
2014,Qtr 4,Monona,462.18
2015,Qtr 3,Monona,86.16
2015,Qtr 4,Monona,185.05
2012,Qtr 3,Monroe,142.5
2012,Qtr 4,Monroe,81.72
2013,Qtr 3,Monroe,99.3
2013,Qtr 4,Monroe,158.31
2014,Qtr 3,Monroe,
2014,Qtr 4,Monroe,123.84
2015,Qtr 3,Monroe,148.68
2015,Qtr 4,Monroe,290.4
2012,Qtr 3,Montgomery,30.36
2012,Qtr 4,Montgomery,215.28
2013,Qtr 3,Montgomery,80.76
2013,Qtr 4,Montgomery,66.36
2014,Qtr 3,Montgomery,170.16
2014,Qtr 4,Montgomery,21.57
2015,Qtr 3,Montgomery,85.07
2015,Qtr 4,Montgomery,413.25
2012,Qtr 3,Muscatine,903.49
2012,Qtr 4,Muscatine,1753.94
2013,Qtr 3,Muscatine,1560.01
2013,Qtr 4,Muscatine,2430.44
2014,Qtr 3,Muscatine,1434.76
2014,Qtr 4,Muscatine,613.85
2015,Qtr 3,Muscatine,1095.47
2015,Qtr 4,Muscatine,1449.09
2012,Qtr 3,O'Brien,1001.82
2012,Qtr 4,O'Brien,1652.38
2013,Qtr 3,O'Brien,703.61
2013,Qtr 4,O'Brien,288.03
2014,Qtr 3,O'Brien,60.72
2014,Qtr 4,O'Brien,259.49
2015,Qtr 3,O'Brien,1172.43
2015,Qtr 4,O'Brien,634.75
2012,Qtr 3,Osceola,22.6
2012,Qtr 4,Osceola,276.03
2013,Qtr 3,Osceola,179.77
2013,Qtr 4,Osceola,155.52
2014,Qtr 3,Osceola,53.7
2014,Qtr 4,Osceola,13.86
2015,Qtr 3,Osceola,
2015,Qtr 4,Osceola,
2012,Qtr 3,Page,1079.73
2012,Qtr 4,Page,31.5
2013,Qtr 3,Page,484.27
2013,Qtr 4,Page,628.77
2014,Qtr 3,Page,306.75
2014,Qtr 4,Page,387
2015,Qtr 3,Page,1018.26
2015,Qtr 4,Page,1419.7
2012,Qtr 3,Palo Alto,259.3
2012,Qtr 4,Palo Alto,413.94
2013,Qtr 3,Palo Alto,270.12
2013,Qtr 4,Palo Alto,446.56
2014,Qtr 3,Palo Alto,392.26
2014,Qtr 4,Palo Alto,753.18
2015,Qtr 3,Palo Alto,605.1
2015,Qtr 4,Palo Alto,81
2012,Qtr 3,Plymouth,784.96
2012,Qtr 4,Plymouth,31.21
2013,Qtr 3,Plymouth,581.04
2013,Qtr 4,Plymouth,983.05
2014,Qtr 3,Plymouth,2385.78
2014,Qtr 4,Plymouth,376.75
2015,Qtr 3,Plymouth,421
2015,Qtr 4,Plymouth,381.96
2012,Qtr 3,Pocahontas,121.44
2012,Qtr 4,Pocahontas,53.98
2013,Qtr 3,Pocahontas,552.06
2013,Qtr 4,Pocahontas,
2014,Qtr 3,Pocahontas,205.58
2014,Qtr 4,Pocahontas,156
2015,Qtr 3,Pocahontas,
2015,Qtr 4,Pocahontas,
2012,Qtr 3,Polk,25728.68
2012,Qtr 4,Polk,25670.1
2013,Qtr 3,Polk,18979.37
2013,Qtr 4,Polk,45751.5
2014,Qtr 3,Polk,29935.48
2014,Qtr 4,Polk,27044.35
2015,Qtr 3,Polk,18219.93
2015,Qtr 4,Polk,24388.51
2012,Qtr 3,Pottawattamie,3298.48
2012,Qtr 4,Pottawattamie,3272.8
2013,Qtr 3,Pottawattamie,1975.88
2013,Qtr 4,Pottawattamie,10996.25
2014,Qtr 3,Pottawattamie,4830.41
2014,Qtr 4,Pottawattamie,2456.41
2015,Qtr 3,Pottawattamie,2392.91
2015,Qtr 4,Pottawattamie,1455.48
2012,Qtr 3,Poweshiek,153.49
2012,Qtr 4,Poweshiek,640.22
2013,Qtr 3,Poweshiek,185.72
2013,Qtr 4,Poweshiek,469.02
2014,Qtr 3,Poweshiek,670.92
2014,Qtr 4,Poweshiek,558.68
2015,Qtr 3,Poweshiek,632.87
2015,Qtr 4,Poweshiek,135.55
2012,Qtr 3,Ringgold,
2012,Qtr 4,Ringgold,241.86
2013,Qtr 3,Ringgold,
2013,Qtr 4,Ringgold,
2014,Qtr 3,Ringgold,
2014,Qtr 4,Ringgold,58.5
2015,Qtr 3,Ringgold,
2015,Qtr 4,Ringgold,57.6
2012,Qtr 3,Sac,342.77
2012,Qtr 4,Sac,94.08
2013,Qtr 3,Sac,591.36
2013,Qtr 4,Sac,152.3
2014,Qtr 3,Sac,101.77
2014,Qtr 4,Sac,46.62
2015,Qtr 3,Sac,564.63
2015,Qtr 4,Sac,483.21
2012,Qtr 3,Scott,7545.36
2012,Qtr 4,Scott,10198.04
2013,Qtr 3,Scott,11905.32
2013,Qtr 4,Scott,6766.43
2014,Qtr 3,Scott,9198.44
2014,Qtr 4,Scott,13365.47
2015,Qtr 3,Scott,9269.4
2015,Qtr 4,Scott,6805.98
2012,Qtr 3,Shelby,293.95
2012,Qtr 4,Shelby,34.62
2013,Qtr 3,Shelby,714.48
2013,Qtr 4,Shelby,235.14
2014,Qtr 3,Shelby,252.18
2014,Qtr 4,Shelby,343.5
2015,Qtr 3,Shelby,430.38
2015,Qtr 4,Shelby,357.96
2012,Qtr 3,Sioux,224.68
2012,Qtr 4,Sioux,918.86
2013,Qtr 3,Sioux,601.08
2013,Qtr 4,Sioux,2715.15
2014,Qtr 3,Sioux,726.42
2014,Qtr 4,Sioux,591.84
2015,Qtr 3,Sioux,26.52
2015,Qtr 4,Sioux,292.56
2012,Qtr 3,Story,3568.41
2012,Qtr 4,Story,4774.54
2013,Qtr 3,Story,3948.83
2013,Qtr 4,Story,4591.27
2014,Qtr 3,Story,6199.88
2014,Qtr 4,Story,2636.67
2015,Qtr 3,Story,2400.5
2015,Qtr 4,Story,2416.86
2012,Qtr 3,Tama,133.77
2012,Qtr 4,Tama,813.6
2013,Qtr 3,Tama,51.33
2013,Qtr 4,Tama,217.68
2014,Qtr 3,Tama,742.36
2014,Qtr 4,Tama,648.86
2015,Qtr 3,Tama,91.74
2015,Qtr 4,Tama,363.96
2012,Qtr 3,Taylor,
2012,Qtr 4,Taylor,15.67
2013,Qtr 3,Taylor,18.75
2013,Qtr 4,Taylor,40.14
2014,Qtr 3,Taylor,124.07
2014,Qtr 4,Taylor,151.14
2015,Qtr 3,Taylor,28.08
2015,Qtr 4,Taylor,
2012,Qtr 3,Union,198.04
2012,Qtr 4,Union,485.85
2013,Qtr 3,Union,587.68
2013,Qtr 4,Union,1444.9
2014,Qtr 3,Union,736.44
2014,Qtr 4,Union,1041.18
2015,Qtr 3,Union,706.44
2015,Qtr 4,Union,161.64
2012,Qtr 3,Van Buren,
2012,Qtr 4,Van Buren,142.48
2013,Qtr 3,Van Buren,
2013,Qtr 4,Van Buren,44.26
2014,Qtr 3,Van Buren,162.24
2014,Qtr 4,Van Buren,191.31
2015,Qtr 3,Van Buren,
2015,Qtr 4,Van Buren,
2012,Qtr 3,Wapello,789.22
2012,Qtr 4,Wapello,314.28
2013,Qtr 3,Wapello,570.67
2013,Qtr 4,Wapello,1016.2
2014,Qtr 3,Wapello,1372.25
2014,Qtr 4,Wapello,1016.27
2015,Qtr 3,Wapello,327.15
2015,Qtr 4,Wapello,4456.89
2012,Qtr 3,Warren,135.6
