Orders.Order Date.Variation.Date Hierarchy.Year,Orders.Order Date.Variation.Date Hierarchy.Quarter,Orders.Category,Orders.Sub-Category,Sum(Orders.Profit)
2017,Qtr 3,Furniture,Tables,-1467.8860999999997
2017,Qtr 4,Furniture,Tables,-4530.376899999999
2014,Qtr 1,Office Supplies,Appliances,-252.46000000000004
2014,Qtr 2,Office Supplies,Appliances,959.8454999999998
2014,Qtr 3,Office Supplies,Appliances,320.6246
2014,Qtr 4,Office Supplies,Appliances,1431.4897999999996
2015,Qtr 1,Office Supplies,Appliances,-39.107500000000016
2015,Qtr 2,Office Supplies,Appliances,-523.312600000001
2015,Qtr 3,Office Supplies,Appliances,694.2234999999998
2015,Qtr 4,Office Supplies,Appliances,2380.0922999999993
2016,Qtr 1,Office Supplies,Appliances,497.55929999999995
2016,Qtr 2,Office Supplies,Appliances,521.5242999999999
2016,Qtr 3,Office Supplies,Appliances,1218.740099999999
2016,Qtr 4,Office Supplies,Appliances,3063.5178
2017,Qtr 1,Office Supplies,Appliances,1708.7566999999995
2017,Qtr 2,Office Supplies,Appliances,1445.0907999999997
2017,Qtr 3,Office Supplies,Appliances,2244.7142000000013
2017,Qtr 4,Office Supplies,Appliances,2466.706599999999
2014,Qtr 1,Office Supplies,Art,173.1049
2014,Qtr 2,Office Supplies,Art,406.8376999999998
2014,Qtr 3,Office Supplies,Art,312.47729999999996
2014,Qtr 4,Office Supplies,Art,514.3832000000001
2015,Qtr 1,Office Supplies,Art,169.44740000000002
2015,Qtr 2,Office Supplies,Art,323.3574
2015,Qtr 3,Office Supplies,Art,407.5025
2015,Qtr 4,Office Supplies,Art,584.7508999999999
2016,Qtr 1,Office Supplies,Art,169.82289999999992
2016,Qtr 2,Office Supplies,Art,365.35349999999994
2016,Qtr 3,Office Supplies,Art,407.21139999999997
2016,Qtr 4,Office Supplies,Art,471.57479999999987
2017,Qtr 1,Office Supplies,Art,292.9129000000001
2017,Qtr 2,Office Supplies,Art,579.4465999999999
2017,Qtr 3,Office Supplies,Art,716.417
2017,Qtr 4,Office Supplies,Art,633.1865999999995
2014,Qtr 1,Office Supplies,Binders,633.5917999999997
2014,Qtr 2,Office Supplies,Binders,2161.8373
2014,Qtr 3,Office Supplies,Binders,2319.101199999996
2014,Qtr 4,Office Supplies,Binders,-374.8143000000022
2015,Qtr 1,Office Supplies,Binders,5235.425100000002
2015,Qtr 2,Office Supplies,Binders,3373.4824999999987
2015,Qtr 3,Office Supplies,Binders,272.71450000000016
2015,Qtr 4,Office Supplies,Binders,-1284.9507000000003
2016,Qtr 1,Office Supplies,Binders,1133.8051
2016,Qtr 2,Office Supplies,Binders,-1643.0190000000002
2016,Qtr 3,Office Supplies,Binders,235.95200000000023
2016,Qtr 4,Office Supplies,Binders,10488.896000000004
2017,Qtr 1,Office Supplies,Binders,1668.9482999999989
2017,Qtr 2,Office Supplies,Binders,2719.977999999999
2017,Qtr 3,Office Supplies,Binders,5479.525
2017,Qtr 4,Office Supplies,Binders,-2198.7094999999977
2014,Qtr 1,Office Supplies,Envelopes,199.99309999999997
2014,Qtr 2,Office Supplies,Envelopes,316.0028
2014,Qtr 3,Office Supplies,Envelopes,295.3433
2014,Qtr 4,Office Supplies,Envelopes,684.1396
2015,Qtr 1,Office Supplies,Envelopes,284.64329999999995
2015,Qtr 2,Office Supplies,Envelopes,354.28349999999995
2015,Qtr 3,Office Supplies,Envelopes,513.5864
2015,Qtr 4,Office Supplies,Envelopes,807.6773999999998
2016,Qtr 1,Office Supplies,Envelopes,450.9712999999999
2016,Qtr 2,Office Supplies,Envelopes,193.43089999999998
2016,Qtr 3,Office Supplies,Envelopes,683.1735999999997
2016,Qtr 4,Office Supplies,Envelopes,739.1725000000001
2017,Qtr 1,Office Supplies,Envelopes,352.40509999999995
2017,Qtr 2,Office Supplies,Envelopes,247.08599999999998
2017,Qtr 3,Office Supplies,Envelopes,245.54799999999997
2017,Qtr 4,Office Supplies,Envelopes,596.7198999999999
2014,Qtr 1,Office Supplies,Fasteners,10.201099999999997
2014,Qtr 2,Office Supplies,Fasteners,28.43779999999999
2014,Qtr 3,Office Supplies,Fasteners,74.86630000000001
2014,Qtr 4,Office Supplies,Fasteners,65.0531
2015,Qtr 1,Office Supplies,Fasteners,28.217299999999998
2015,Qtr 2,Office Supplies,Fasteners,17.6771
2015,Qtr 3,Office Supplies,Fasteners,45.33979999999999
2015,Qtr 4,Office Supplies,Fasteners,80.70339999999999
2016,Qtr 1,Office Supplies,Fasteners,28.5745
2016,Qtr 2,Office Supplies,Fasteners,54.276399999999995
2016,Qtr 3,Office Supplies,Fasteners,80.20309999999999
2016,Qtr 4,Office Supplies,Fasteners,131.01940000000002
2017,Qtr 1,Office Supplies,Fasteners,35.39469999999999
2017,Qtr 2,Office Supplies,Fasteners,19.0085
2017,Qtr 3,Office Supplies,Fasteners,96.9488
2017,Qtr 4,Office Supplies,Fasteners,153.59689999999998
2014,Qtr 1,Office Supplies,Labels,104.33719999999998
2014,Qtr 2,Office Supplies,Labels,344.25750000000005
2014,Qtr 3,Office Supplies,Labels,276.63399999999996
2014,Qtr 4,Office Supplies,Labels,560.7755
2015,Qtr 1,Office Supplies,Labels,368.11859999999996
2015,Qtr 2,Office Supplies,Labels,171.65800000000004
2015,Qtr 3,Office Supplies,Labels,312.8239
2015,Qtr 4,Office Supplies,Labels,470.42810000000003
2016,Qtr 1,Office Supplies,Labels,62.34609999999999
2016,Qtr 2,Office Supplies,Labels,263.2686
2016,Qtr 3,Office Supplies,Labels,356.81199999999995
2016,Qtr 4,Office Supplies,Labels,510.18519999999995
2017,Qtr 1,Office Supplies,Labels,126.70689999999999
2017,Qtr 2,Office Supplies,Labels,325.52959999999996
2017,Qtr 3,Office Supplies,Labels,889.8238000000001
2017,Qtr 4,Office Supplies,Labels,402.549
2014,Qtr 1,Office Supplies,Paper,663.2356000000001
2014,Qtr 2,Office Supplies,Paper,911.9930000000002
2014,Qtr 3,Office Supplies,Paper,1812.6979999999999
2014,Qtr 4,Office Supplies,Paper,2983.094800000001
2015,Qtr 1,Office Supplies,Paper,1000.3266
2015,Qtr 2,Office Supplies,Paper,956.2088000000006
2015,Qtr 3,Office Supplies,Paper,1793.7208000000003
2015,Qtr 4,Office Supplies,Paper,2819.9138000000003
2016,Qtr 1,Office Supplies,Paper,1219.1531999999997
2016,Qtr 2,Office Supplies,Paper,2913.0705000000003
2016,Qtr 3,Office Supplies,Paper,2219.1205
2016,Qtr 4,Office Supplies,Paper,2720.1902999999998
2017,Qtr 1,Office Supplies,Paper,2081.6452000000004
2017,Qtr 2,Office Supplies,Paper,2441.7446
2017,Qtr 3,Office Supplies,Paper,3483.0729000000038
2017,Qtr 4,Office Supplies,Paper,4034.3806999999983
2014,Qtr 1,Office Supplies,Storage,693.2789999999995
2014,Qtr 2,Office Supplies,Storage,543.1238
2014,Qtr 3,Office Supplies,Storage,1180.8009999999997
2014,Qtr 4,Office Supplies,Storage,1749.0750000000005
2015,Qtr 1,Office Supplies,Storage,746.0945000000002
2015,Qtr 2,Office Supplies,Storage,689.7557999999998
2015,Qtr 3,Office Supplies,Storage,1434.177799999999
2015,Qtr 4,Office Supplies,Storage,635.4319999999998
2016,Qtr 1,Office Supplies,Storage,1008.8664999999996
2016,Qtr 2,Office Supplies,Storage,1154.0078000000003
2016,Qtr 3,Office Supplies,Storage,1204.9054999999996
2016,Qtr 4,Office Supplies,Storage,2836.5069999999996
2017,Qtr 1,Office Supplies,Storage,812.5550999999996
2017,Qtr 2,Office Supplies,Storage,2018.1876999999993
2017,Qtr 3,Office Supplies,Storage,1293.8884000000005
2017,Qtr 4,Office Supplies,Storage,3278.1694999999977
2014,Qtr 1,Office Supplies,Supplies,10.172200000000004
2014,Qtr 2,Office Supplies,Supplies,106.51020000000005
2014,Qtr 3,Office Supplies,Supplies,392.5779999999997
2014,Qtr 4,Office Supplies,Supplies,-19.204799999999985
2015,Qtr 1,Office Supplies,Supplies,18.68159999999999
2015,Qtr 2,Office Supplies,Supplies,41.24939999999999
2015,Qtr 3,Office Supplies,Supplies,-113.66950000000001
2015,Qtr 4,Office Supplies,Supplies,28.860099999999996
2016,Qtr 1,Office Supplies,Supplies,-575.2212000000005
2016,Qtr 2,Office Supplies,Supplies,-57.40329999999997
2016,Qtr 3,Office Supplies,Supplies,61.07499999999993
2016,Qtr 4,Office Supplies,Supplies,-127.4144
2017,Qtr 1,Office Supplies,Supplies,-149.09049999999996
2017,Qtr 2,Office Supplies,Supplies,107.23780000000002
2017,Qtr 3,Office Supplies,Supplies,-971.0515999999999
2017,Qtr 4,Office Supplies,Supplies,57.59149999999998
2014,Qtr 1,Technology,Accessories,1124.5735000000002
2014,Qtr 2,Technology,Accessories,1038.4554999999998
2014,Qtr 3,Technology,Accessories,1685.6122999999998
2014,Qtr 4,Technology,Accessories,2554.0737
2015,Qtr 1,Technology,Accessories,670.5037999999997
2015,Qtr 2,Technology,Accessories,1238.1835999999998
2015,Qtr 3,Technology,Accessories,3099.461799999999
2015,Qtr 4,Technology,Accessories,5189.126000000001
2016,Qtr 1,Technology,Accessories,1035.9632999999994
2016,Qtr 2,Technology,Accessories,1684.7750999999994
2016,Qtr 3,Technology,Accessories,2585.2865
2016,Qtr 4,Technology,Accessories,4358.2636
2017,Qtr 1,Technology,Accessories,2291.9934
2017,Qtr 2,Technology,Accessories,2575.8228999999988
2017,Qtr 3,Technology,Accessories,6334.611800000003
2017,Qtr 4,Technology,Accessories,4469.928899999999
2014,Qtr 1,Technology,Copiers,
2014,Qtr 2,Technology,Copiers,464.98850000000004
2014,Qtr 3,Technology,Copiers,1586.9721
2014,Qtr 4,Technology,Copiers,860.9826999999999
2015,Qtr 1,Technology,Copiers,1858.4616999999998
2015,Qtr 2,Technology,Copiers,2241.9406
2015,Qtr 3,Technology,Copiers,1600.9739
2015,Qtr 4,Technology,Copiers,4228.9226
2016,Qtr 1,Technology,Copiers,119.99599999999992
2016,Qtr 2,Technology,Copiers,1564.9882999999988
2016,Qtr 3,Technology,Copiers,3895.9001
2016,Qtr 4,Technology,Copiers,12161.908199999998
2017,Qtr 1,Technology,Copiers,10565.914699999998
2017,Qtr 2,Technology,Copiers,1049.985
2017,Qtr 3,Technology,Copiers,1527.9651000000001
2017,Qtr 4,Technology,Copiers,11887.925399999998
2014,Qtr 1,Technology,Machines,-1255.4678000000022
2014,Qtr 2,Technology,Machines,-142.0174
2014,Qtr 3,Technology,Machines,-2626.1293000000032
2014,Qtr 4,Technology,Machines,4392.783399999998
2015,Qtr 1,Technology,Machines,-734.4027000000003
2015,Qtr 2,Technology,Machines,927.4447999999995
2015,Qtr 3,Technology,Machines,2044.9754999999998
2015,Qtr 4,Technology,Machines,739.4679999999989
2016,Qtr 1,Technology,Machines,4968.559199999999
2016,Qtr 2,Technology,Machines,4580.507099999998
2016,Qtr 3,Technology,Machines,-161.63730000000015
2016,Qtr 4,Technology,Machines,-6480.111000000001
2017,Qtr 1,Technology,Machines,905.5250999999996
2017,Qtr 2,Technology,Machines,-1166.7751000000012
2017,Qtr 3,Technology,Machines,256.15279999999984
2017,Qtr 4,Technology,Machines,-2864.118399999999
2014,Qtr 1,Technology,Phones,1909.1652000000004
2014,Qtr 2,Technology,Phones,3262.9792000000007
2014,Qtr 3,Technology,Phones,2276.827
2014,Qtr 4,Technology,Phones,4359.033899999999
2015,Qtr 1,Technology,Phones,822.7797999999996
2015,Qtr 2,Technology,Phones,1552.4182999999996
2015,Qtr 3,Technology,Phones,4210.234699999999
2015,Qtr 4,Technology,Phones,3813.374600000001
2016,Qtr 1,Technology,Phones,1195.2467000000001
2016,Qtr 2,Technology,Phones,2712.5184
2016,Qtr 3,Technology,Phones,1789.4981999999977
2016,Qtr 4,Technology,Phones,3762.3296
2017,Qtr 1,Technology,Phones,2050.1640999999995
2017,Qtr 2,Technology,Phones,2102.291
2017,Qtr 3,Technology,Phones,3191.9692000000005
2017,Qtr 4,Technology,Phones,5504.900699999998
