Orders.Order Date.Variation.Date Hierarchy.Year,Orders.State,Sum(Orders.Profit),CountNonNull(Orders.Row ID)
2016,Oregon,-565.8461999999998,35
2017,Oregon,-377.1256999999999,30
2014,Pennsylvania,-2361.8176999999996,115
2015,Pennsylvania,-3900.3451000000014,137
2016,Pennsylvania,-4184.994100000002,138
2017,Pennsylvania,-5112.8034000000025,197
2014,Rhode Island,1563.9346,13
2015,Rhode Island,94.2376,7
2016,Rhode Island,5160.0436,15
2017,Rhode Island,467.41350000000006,21
2014,South Carolina,466.4175,10
2015,South Carolina,863.8978,13
2016,South Carolina,144.10379999999998,11
2017,South Carolina,294.6374999999999,8
2014,South Dakota,48.756600000000006,4
2015,South Dakota,,
2016,South Dakota,,
2017,South Dakota,346.0717000000001,8
2014,Tennessee,50.02979999999991,22
2015,Tennessee,-1924.1328,41
2016,Tennessee,-163.30399999999997,39
2017,Tennessee,-3304.2866,81
2014,Texas,-9135.014000000014,217
2015,Texas,-2516.182500000005,203
2016,Texas,-5239.654900000003,248
2017,Texas,-8838.504900000004,317
2014,Utah,822.6555999999999,18
2015,Utah,669.3470999999998,12
2016,Utah,577.3561000000001,8
2017,Utah,477.1747,15
2014,Vermont,,
2015,Vermont,1191.9270000000001,2
2016,Vermont,789.0754,4
2017,Vermont,263.97589999999997,5
2014,Virginia,5954.670099999998,70
2015,Virginia,2985.7927000000013,50
2016,Virginia,7851.473000000001,61
2017,Virginia,1806.0145999999995,43
2014,Washington,6607.2765,94
2015,Washington,5328.719700000002,75
2016,Washington,4209.875700000003,122
2017,Washington,17256.779799999993,215
2014,West Virginia,,
2015,West Virginia,,
2016,West Virginia,,
2017,West Virginia,185.9216,4
2014,Wisconsin,1106.7357,12
2015,Wisconsin,2042.5054,21
2016,Wisconsin,3729.4786000000004,44
2017,Wisconsin,1523.0807000000002,33
2014,Wyoming,,
2015,Wyoming,,
2016,Wyoming,100.19599999999997,1
2017,Wyoming,,
