Orders.Order Date.Variation.Date Hierarchy.Year,Orders.Category,Orders.Sub-Category,Orders.Segment,Orders.Region,Sum(Orders.Quantity),Sum(Orders.Profit),Sum(Orders.Discount),Sum(Orders.Sales),CountNonNull(Orders.Postal Code)
2017,Furniture,Chairs,Home Office,East,32,356.76999999999964,1.7000000000000004,4770.589000000001,10
2014,Furniture,Chairs,Home Office,South,13,1031.3877999999997,0,3713.7400000000002,2
2015,Furniture,Chairs,Home Office,South,5,131.27849999999995,0.2,1166.92,1
2016,Furniture,Chairs,Home Office,South,2,30.444999999999993,0,121.78,1
2017,Furniture,Chairs,Home Office,South,14,217.98879999999997,0.4,2002.908,5
2014,Furniture,Chairs,Home Office,West,19,275.7146,1.2,3174.1279999999997,6
2015,Furniture,Chairs,Home Office,West,44,464.3467999999999,1.9999999999999998,7619.447999999999,10
2016,Furniture,Chairs,Home Office,West,27,383.5427999999999,1.4,4526.400000000001,7
2017,Furniture,Chairs,Home Office,West,49,290.7488999999994,2.4,6702.12,12
2014,Furniture,Furnishings,Consumer,Central,97,-144.59579999999997,11.399999999999997,2153.268,26
2015,Furniture,Furnishings,Consumer,Central,86,-299.73350000000005,8.399999999999999,1618.0380000000005,22
2016,Furniture,Furnishings,Consumer,Central,108,-417.3794000000001,11.399999999999997,3118.8700000000003,29
2017,Furniture,Furnishings,Consumer,Central,108,-592.3437000000002,13.199999999999996,2609.814,31
2014,Furniture,Furnishings,Consumer,East,103,350.49669999999986,2.8000000000000003,2305.5599999999995,33
2015,Furniture,Furnishings,Consumer,East,69,498.2005999999999,1.7999999999999998,2110.936,20
2016,Furniture,Furnishings,Consumer,East,153,1375.4659000000006,2.4,5338.15,39
2017,Furniture,Furnishings,Consumer,East,156,796.9738,4.600000000000001,3422.4220000000005,45
2014,Furniture,Furnishings,Consumer,South,55,113.88119999999992,1.7999999999999998,1413.06,16
2015,Furniture,Furnishings,Consumer,South,59,409.3825999999998,1.5999999999999999,3006.3879999999995,17
2016,Furniture,Furnishings,Consumer,South,98,983.7493000000002,1.5999999999999999,4197.066000000001,23
2017,Furniture,Furnishings,Consumer,South,84,450.1724,3.400000000000001,2254.0599999999995,25
2014,Furniture,Furnishings,Consumer,West,105,501.1047,0.8,1906.32,31
2015,Furniture,Furnishings,Consumer,West,155,952.2838999999999,1.7999999999999998,4027.17,37
2016,Furniture,Furnishings,Consumer,West,183,1433.3485999999998,0.8,4805.974000000001,40
2017,Furniture,Furnishings,Consumer,West,215,1508.4153999999994,1.4,5332.95,60
2014,Furniture,Furnishings,Corporate,Central,32,-111.01229999999998,4.8,254.368,9
2015,Furniture,Furnishings,Corporate,Central,43,-220.79289999999997,5.999999999999999,313.892,12
2016,Furniture,Furnishings,Corporate,Central,96,-313.74610000000007,7.799999999999998,977.9979999999999,21
2017,Furniture,Furnishings,Corporate,Central,53,-563.8070000000001,4.8,1597.6979999999999,16
2014,Furniture,Furnishings,Corporate,East,46,294.2906,1,1025.22,13
2015,Furniture,Furnishings,Corporate,East,63,148.73139999999987,1.7999999999999998,1935.9920000000002,20
2016,Furniture,Furnishings,Corporate,East,95,592.6106999999998,1.2,3429.38,28
2017,Furniture,Furnishings,Corporate,East,137,920.5978999999998,1.9999999999999998,3592.734,38
2014,Furniture,Furnishings,Corporate,South,37,201.75579999999997,1.2,1407.932,12
2015,Furniture,Furnishings,Corporate,South,94,719.0287,3.0000000000000004,2194.58,20
2016,Furniture,Furnishings,Corporate,South,37,79.543,1.4,502.866,10
2017,Furniture,Furnishings,Corporate,South,46,87.60559999999998,1.4,399.30199999999996,12
2014,Furniture,Furnishings,Corporate,West,67,286.95660000000004,0.6000000000000001,1494.978,16
2015,Furniture,Furnishings,Corporate,West,77,557.1619999999999,0.8,2263.9500000000003,20
2016,Furniture,Furnishings,Corporate,West,72,284.5587999999999,1,1189.888,17
2017,Furniture,Furnishings,Corporate,West,91,544.7249,0.6000000000000001,2420.4880000000003,24
2014,Furniture,Furnishings,Home Office,Central,18,9.099000000000004,1.7999999999999998,128.46,5
2015,Furniture,Furnishings,Home Office,Central,28,-237.17239999999995,1.2,596.63,5
2016,Furniture,Furnishings,Home Office,Central,54,-851.2000000000003,6.599999999999999,1018.8240000000002,15
2017,Furniture,Furnishings,Home Office,Central,35,-163.53270000000003,5.3999999999999995,866.5100000000001,14
2014,Furniture,Furnishings,Home Office,East,33,99.59359999999998,0.8,426.53600000000006,6
2015,Furniture,Furnishings,Home Office,East,39,90.14199999999991,0.8,1222.986,12
2016,Furniture,Furnishings,Home Office,East,50,167.0991,1.2,819.61,9
2017,Furniture,Furnishings,Home Office,East,71,547.2047999999999,1.5999999999999999,3441.8539999999994,20
2014,Furniture,Furnishings,Home Office,South,16,107.52959999999999,0.4,339.51,5
2015,Furniture,Furnishings,Home Office,South,11,43.72639999999999,0,176.84,4
2016,Furniture,Furnishings,Home Office,South,51,215.1076,0.4,682.852,12
2017,Furniture,Furnishings,Home Office,South,27,31.200699999999948,1.4,732.228,9
2014,Furniture,Furnishings,Home Office,West,51,263.7922,0.2,971.0219999999999,12
2015,Furniture,Furnishings,Home Office,West,46,390.86009999999993,0.2,1622.31,11
2016,Furniture,Furnishings,Home Office,West,39,386.11250000000007,0.8,1792.6460000000002,14
2017,Furniture,Furnishings,Home Office,West,74,531.9506999999999,1,2245.0340000000006,22
2014,Furniture,Tables,Consumer,Central,40,-1372.7273000000005,3.999999999999999,5836.129999999999,11
2015,Furniture,Tables,Consumer,Central,21,-106.12850000000019,1.5,3110.961,6
2016,Furniture,Tables,Consumer,Central,40,-1177.9492,3.1999999999999993,4940.114,10
2017,Furniture,Tables,Consumer,Central,50,-1307.3520999999998,4.399999999999999,6947.795,15
2014,Furniture,Tables,Consumer,East,26,-835.1682000000003,2.8999999999999995,3315.6059999999998,8
2015,Furniture,Tables,Consumer,East,33,-1341.1239000000003,2.8,4033.068,7
2016,Furniture,Tables,Consumer,East,27,-764.2839000000001,3.6999999999999993,3776.876,11
2017,Furniture,Tables,Consumer,East,20,-767.7767999999999,2.5999999999999996,2956.917,7
2014,Furniture,Tables,Consumer,South,23,-67.27690000000024,0.8500000000000001,3902.5945,5
2015,Furniture,Tables,Consumer,South,27,-2210.8203000000003,1.75,7012.0945,7
2016,Furniture,Tables,Consumer,South,41,596.2253,1.6500000000000001,7690.782999999999,9
2017,Furniture,Tables,Consumer,South,28,-895.6277,1.25,5803.37,6
2014,Furniture,Tables,Consumer,West,59,255.43759999999963,3.0999999999999996,10868.865999999998,13
2015,Furniture,Tables,Consumer,West,58,203.79839999999996,2.9,8585.503,15
2016,Furniture,Tables,Consumer,West,44,62.35219999999933,2.5,9185.527000000002,12
2017,Furniture,Tables,Consumer,West,65,0.3835000000000264,3.1999999999999997,11967.59,17
2014,Furniture,Tables,Corporate,Central,7,-140.42969999999994,0.6,1318.6529999999998,2
2015,Furniture,Tables,Corporate,Central,15,251.69550000000004,0.6,1875.2519999999997,4
2016,Furniture,Tables,Corporate,Central,27,1150.9317,0.3,7592.712,5
2017,Furniture,Tables,Corporate,Central,17,-555.0169000000003,1.6,1775.9759999999999,5
2014,Furniture,Tables,Corporate,East,34,-2523.3029,3.8999999999999995,6802.746000000001,10
2015,Furniture,Tables,Corporate,East,24,-726.1578000000002,1.7999999999999998,3008.286,5
2016,Furniture,Tables,Corporate,East,22,-1144.6562000000004,3.5999999999999996,3027.984,9
2017,Furniture,Tables,Corporate,East,29,-905.5387999999998,2.8999999999999995,4712.5419999999995,8
2014,Furniture,Tables,Corporate,South,18,581.3595000000001,0.4,3338.7700000000004,4
2015,Furniture,Tables,Corporate,South,2,39.44380000000001,0,358.58,1
2016,Furniture,Tables,Corporate,South,38,-557.0023000000006,2.1,4807.528500000001,6
2017,Furniture,Tables,Corporate,South,21,-1452.0249000000001,1.65,4114.7970000000005,5
2014,Furniture,Tables,Corporate,West,34,72.90879999999989,1.9,4440.961,10
2015,Furniture,Tables,Corporate,West,15,772.7909999999999,0.4,4533.804,4
2016,Furniture,Tables,Corporate,West,70,340.6075,3.3,13999.457,15
2017,Furniture,Tables,Corporate,West,46,-112.10690000000021,2.5,5163.669,13
2014,Furniture,Tables,Home Office,Central,6,88.82600000000002,0.3,630.695,2
2015,Furniture,Tables,Home Office,Central,15,-410.6609000000003,0.8,1871.047,4
2016,Furniture,Tables,Home Office,Central,7,319.6386,0,1390.1,2
2017,Furniture,Tables,Home Office,Central,17,-300.4776000000001,1.6,1865.5359999999998,6
2014,Furniture,Tables,Home Office,East,4,-179.36640000000003,0.8,485.35200000000003,2
2015,Furniture,Tables,Home Office,East,10,-208.58239999999995,1,1843.452,3
2016,Furniture,Tables,Home Office,East,11,-397.8382000000001,0.8,1020.4679999999998,2
2017,Furniture,Tables,Home Office,East,31,-1231.5846000000001,3.0999999999999996,4156.51,8
2014,Furniture,Tables,Home Office,South,9,593.9076,0,2699.58,2
2015,Furniture,Tables,Home Office,South,,,,,
2016,Furniture,Tables,Home Office,South,,,,,
2017,Furniture,Tables,Home Office,South,20,-1251.2420000000002,1.7000000000000002,4188.0945,6
2014,Furniture,Tables,Home Office,West,10,401.78919999999977,0.2,2448.4120000000003,2
2015,Furniture,Tables,Home Office,West,15,225.94319999999976,0.2,2918.376,2
2016,Furniture,Tables,Home Office,West,19,-1378.9673,1.9,3401.651,5
2017,Furniture,Tables,Home Office,West,46,637.6700999999998,1.1,7240.745999999999,8
2014,Office Supplies,Appliances,Consumer,Central,54,-789.0035000000001,7.299999999999999,1748.6660000000002,14
2015,Office Supplies,Appliances,Consumer,Central,67,-2200.5389000000005,8.2,2227.0020000000004,15
2016,Office Supplies,Appliances,Consumer,Central,24,64.27659999999989,3.5,1281.081,9
2017,Office Supplies,Appliances,Consumer,Central,102,-850.3407000000002,13.600000000000003,4561.972,28
2014,Office Supplies,Appliances,Consumer,East,45,561.1186,1.4,2123.2319999999995,16
2015,Office Supplies,Appliances,Consumer,East,49,1298.9668999999994,1.2,4748.233999999999,13
2016,Office Supplies,Appliances,Consumer,East,56,1340.9531000000004,1.4,4736.658,18
2017,Office Supplies,Appliances,Consumer,East,95,1807.7192999999997,1,7781.632,19
2014,Office Supplies,Appliances,Consumer,South,30,102.89829999999998,1,765.924,6
2015,Office Supplies,Appliances,Consumer,South,40,630.4729,0.6000000000000001,2988.3979999999997,12
2016,Office Supplies,Appliances,Consumer,South,31,264.0676,1.2,2159.0280000000002,8
2017,Office Supplies,Appliances,Consumer,South,77,457.82439999999997,2.4,2374.0039999999995,20
2014,Office Supplies,Appliances,Consumer,West,32,579.3983000000001,0.2,2033.75,11
2015,Office Supplies,Appliances,Consumer,West,49,798.8262999999995,0.8,3462.51,11
2016,Office Supplies,Appliances,Consumer,West,56,887.2072999999999,0.2,2664.0480000000002,18
2017,Office Supplies,Appliances,Consumer,West,101,2028.0817000000002,0.2,7163.441999999998,26
2014,Office Supplies,Appliances,Corporate,Central,20,-253.47140000000005,3.3,239.75399999999996,7
2015,Office Supplies,Appliances,Corporate,Central,15,41.72199999999998,1.9000000000000001,781.6909999999999,5
2016,Office Supplies,Appliances,Corporate,Central,46,-623.8456000000002,5,901.036,12
2017,Office Supplies,Appliances,Corporate,Central,53,376.3643999999999,6.499999999999999,3302.278,12
2014,Office Supplies,Appliances,Corporate,East,43,769.6899999999999,0.6000000000000001,3353.906,12
2015,Office Supplies,Appliances,Corporate,East,20,106.86090000000002,0.2,343.87600000000003,6
2016,Office Supplies,Appliances,Corporate,East,56,836.5294999999999,1.2,3699.868,14
2017,Office Supplies,Appliances,Corporate,East,43,894.2067999999999,1,3583.614,11
2014,Office Supplies,Appliances,Corporate,South,20,371.04339999999996,0.6000000000000001,1142.55,6
2015,Office Supplies,Appliances,Corporate,South,5,322.70730000000003,0.2,833.102,2
2016,Office Supplies,Appliances,Corporate,South,15,795.8128999999999,0.4,2574.1939999999995,5
2017,Office Supplies,Appliances,Corporate,South,60,1054.2581999999998,1.9999999999999998,5573.790000000001,17
2014,Office Supplies,Appliances,Corporate,West,24,235.44519999999997,0.4,862.776,8
2015,Office Supplies,Appliances,Corporate,West,45,578.6085999999998,0.8,2385.098,12
2016,Office Supplies,Appliances,Corporate,West,46,319.84540000000004,0.4,1221.2040000000002,11
2017,Office Supplies,Appliances,Corporate,West,58,1604.1175999999998,0.2,5789.946000000001,15
2014,Office Supplies,Appliances,Home Office,Central,8,533.3024999999999,0.1,1670.785,2
2015,Office Supplies,Appliances,Home Office,Central,24,-35.9392000000002,2.6,1965.8159999999998,6
2016,Office Supplies,Appliances,Home Office,Central,30,938.2637,1.6,3832.8940000000002,7
2017,Office Supplies,Appliances,Home Office,Central,27,160.59259999999998,1.6,1069.058,6
2014,Office Supplies,Appliances,Home Office,East,13,81.15359999999998,0.2,302.064,3
2015,Office Supplies,Appliances,Home Office,East,29,444.77269999999993,0.2,1599.1420000000003,7
2016,Office Supplies,Appliances,Home Office,East,7,125.12319999999993,0.4,990.056,3
2017,Office Supplies,Appliances,Home Office,East,18,124.31879999999987,0.4,926.184,4
2014,Office Supplies,Appliances,Home Office,South,6,15.843599999999995,0.2,211.248,1
2015,Office Supplies,Appliances,Home Office,South,2,9.517199999999999,0,28.84,1
2016,Office Supplies,Appliances,Home Office,South,7,99.49379999999995,0.4,874.248,3
2017,Office Supplies,Appliances,Home Office,South,,,,,
2014,Office Supplies,Appliances,Home Office,West,19,252.0812999999999,0,858.9699999999998,7
2015,Office Supplies,Appliances,Home Office,West,20,515.9190000000001,0.2,1877.5799999999997,4
2016,Office Supplies,Appliances,Home Office,West,22,253.61399999999998,0.6000000000000001,1116,6
2017,Office Supplies,Appliances,Home Office,West,20,208.12519999999995,0.2,801.0120000000001,7
2014,Office Supplies,Art,Consumer,Central,69,111.90610000000001,1.9999999999999998,490.61799999999994,19
2015,Office Supplies,Art,Consumer,Central,59,68.0502,1.7999999999999998,391.746,14
2016,Office Supplies,Art,Consumer,Central,79,125.67719999999998,3.400000000000001,936.9760000000001,22
2017,Office Supplies,Art,Consumer,Central,167,299.928,5.600000000000002,1453.0120000000002,39
2014,Office Supplies,Art,Consumer,East,94,155.13269999999994,2.4,608.2820000000003,28
2015,Office Supplies,Art,Consumer,East,92,232.26229999999998,1.7999999999999998,974.2039999999998,25
2016,Office Supplies,Art,Consumer,East,94,256.7172,1.5999999999999999,1082.058,29
2017,Office Supplies,Art,Consumer,East,140,344.9519999999999,2.4,1182.6540000000002,35
2014,Office Supplies,Art,Consumer,South,47,83.193,1.2,339.004,13
2015,Office Supplies,Art,Consumer,South,51,145.28969999999995,1.5999999999999999,536.784,16
2016,Office Supplies,Art,Consumer,South,99,240.3839,1.7999999999999998,954.072,24
2017,Office Supplies,Art,Consumer,South,115,179.58770000000004,3.400000000000001,824.8959999999998,28
2014,Office Supplies,Art,Consumer,West,132,348.04239999999993,1.5999999999999999,1391.4940000000004,38
2015,Office Supplies,Art,Consumer,West,109,281.09319999999997,2.1999999999999997,1103.514,29
2016,Office Supplies,Art,Consumer,West,84,184.8224,0.2,613.318,21
2017,Office Supplies,Art,Consumer,West,194,397.2631,0.8,1369.2980000000002,48
2014,Office Supplies,Art,Corporate,Central,22,61.77939999999998,0.4,210.576,5
2015,Office Supplies,Art,Corporate,Central,36,112.27209999999997,0.8,482.416,11
2016,Office Supplies,Art,Corporate,Central,56,67.54029999999999,1.4,339.14599999999996,15
2017,Office Supplies,Art,Corporate,Central,63,102.37750000000001,1.9999999999999998,446.60400000000004,13
2014,Office Supplies,Art,Corporate,East,47,68.82619999999999,0.8,279.802,11
2015,Office Supplies,Art,Corporate,East,51,95.29309999999997,1,355.41799999999995,14
2016,Office Supplies,Art,Corporate,East,85,189.7744,1.2,671.4159999999999,22
2017,Office Supplies,Art,Corporate,East,104,212.27789999999996,2.1999999999999997,971.766,25
2014,Office Supplies,Art,Corporate,South,49,43.417799999999986,1,159.47999999999996,13
2015,Office Supplies,Art,Corporate,South,57,90.45079999999997,1.4,622.648,12
2016,Office Supplies,Art,Corporate,South,23,75.89029999999997,0.8,316.33799999999997,7
2017,Office Supplies,Art,Corporate,South,28,54.49539999999998,1,233.938,8
2014,Office Supplies,Art,Corporate,West,68,342.86879999999996,0.6000000000000001,1780.484,16
2015,Office Supplies,Art,Corporate,West,36,178.24179999999996,0.4,636.4459999999999,10
2016,Office Supplies,Art,Corporate,West,41,58.905199999999994,0.4,206.35799999999998,14
2017,Office Supplies,Art,Corporate,West,84,250.23669999999998,0.2,877.6120000000001,22
2014,Office Supplies,Art,Home Office,Central,15,14.156500000000001,0.8,120.75999999999999,4
2015,Office Supplies,Art,Home Office,Central,21,67.74780000000001,0.4,257.99799999999993,8
2016,Office Supplies,Art,Home Office,Central,36,68.1978,0.6000000000000001,243.828,9
2017,Office Supplies,Art,Home Office,Central,55,95.52619999999999,2.4,391.65999999999997,17
2014,Office Supplies,Art,Home Office,East,24,108.95429999999996,0.4,402.11799999999994,6
2015,Office Supplies,Art,Home Office,East,44,72.83769999999997,1,377.744,15
2016,Office Supplies,Art,Home Office,East,36,30.428199999999997,0.6000000000000001,129.092,7
2017,Office Supplies,Art,Home Office,East,38,132.48829999999995,0.4,451.21000000000004,11
2014,Office Supplies,Art,Home Office,South,13,7.142499999999995,0.6000000000000001,67.648,4
2015,Office Supplies,Art,Home Office,South,16,57.60979999999998,0.4,202.886,4
2016,Office Supplies,Art,Home Office,South,10,36.36219999999999,0.2,167.86,3
2017,Office Supplies,Art,Home Office,South,39,44.7635,1,230.068,10
2014,Office Supplies,Art,Home Office,West,33,61.383399999999995,0.2,207.716,7
2015,Office Supplies,Art,Home Office,West,36,83.90970000000002,0,295.0299999999999,9
2016,Office Supplies,Art,Home Office,West,35,79.2635,0.4,300.44599999999997,10
2017,Office Supplies,Art,Home Office,West,74,108.06679999999997,0.8,430.3500000000001,26
2014,Office Supplies,Binders,Consumer,Central,208,-914.2178000000044,26.400000000000013,14713.503999999997,50
2015,Office Supplies,Binders,Consumer,Central,153,-467.11190000000033,22.40000000000001,1229.0599999999997,41
2016,Office Supplies,Binders,Consumer,Central,148,3079.143699999999,22.40000000000001,11601.987999999998,40
2017,Office Supplies,Binders,Consumer,Central,260,134.50699999999867,30.400000000000016,12149.023999999998,62
2014,Office Supplies,Binders,Consumer,East,176,936.7102999999997,18.999999999999993,3894.951000000001,51
2015,Office Supplies,Binders,Consumer,East,184,3894.9118000000003,15.099999999999994,10539.957,44
2016,Office Supplies,Binders,Consumer,East,244,721.3482999999994,19.89999999999999,8129.984,71
2017,Office Supplies,Binders,Consumer,East,254,1187.6992999999993,29.19999999999998,9057.717999999999,72
2014,Office Supplies,Binders,Consumer,South,63,522.6309,7.000000000000001,2743.139999999999,18
2015,Office Supplies,Binders,Consumer,South,119,1130.9719999999993,11.899999999999997,10395.143000000005,30
2016,Office Supplies,Binders,Consumer,South,133,2.1980000000000928,12.599999999999996,916.507,33
2017,Office Supplies,Binders,Consumer,South,114,-71.87239999999932,10.499999999999998,4562.9130000000005,30
2014,Office Supplies,Binders,Consumer,West,151,1775.5900000000006,12,8801.639000000001,40
2015,Office Supplies,Binders,Consumer,West,178,828.8235999999999,14.199999999999996,2722.3199999999997,51
2016,Office Supplies,Binders,Consumer,West,282,1494.4095999999993,19.099999999999984,5063.841000000002,68
2017,Office Supplies,Binders,Consumer,West,348,3739.8547999999987,22.299999999999976,11639.320000000005,79
2014,Office Supplies,Binders,Corporate,Central,40,-415.92180000000013,9.6,471.448,15
2015,Office Supplies,Binders,Corporate,Central,69,-141.87170000000006,11.200000000000001,340.08000000000015,18
2016,Office Supplies,Binders,Corporate,Central,106,-253.1095000000002,10.4,2048.272,26
2017,Office Supplies,Binders,Corporate,Central,212,-3609.5219000000016,22.40000000000001,6019.74,45
2014,Office Supplies,Binders,Corporate,East,104,-178.14229999999986,8.4,1420.894,27
2015,Office Supplies,Binders,Corporate,East,124,708.5404999999998,10.399999999999999,2825.014,29
2016,Office Supplies,Binders,Corporate,East,138,1538.8229999999992,12.699999999999998,4772.522,38
