Category,Sub-Category,Value Column Name,Value
"Furniture","Chairs","2015 Qtr 4 Row ID","40"
"Furniture","Chairs","2015 Qtr 4 Quantity","165"
"Furniture","Chairs","2015 Qtr 4 Profit","981.425"
"Furniture","Chairs","2015 Qtr 4 Sales","20625.101"
"Furniture","Chairs","2016 Qtr 1 Row ID","28"
"Furniture","Chairs","2016 Qtr 1 Quantity","106"
"Furniture","Chairs","2016 Qtr 1 Profit","-101.9429"
"Furniture","Chairs","2016 Qtr 1 Sales","12303.99"
"Furniture","Chairs","2016 Qtr 2 Row ID","39"
"Furniture","Chairs","2016 Qtr 2 Quantity","146"
"Furniture","Chairs","2016 Qtr 2 Profit","1663.7348"
"Furniture","Chairs","2016 Qtr 2 Sales","22780.808"
"Furniture","Chairs","2016 Qtr 3 Row ID","46"
"Furniture","Chairs","2016 Qtr 3 Quantity","159"
"Furniture","Chairs","2016 Qtr 3 Profit","1960.4124"
"Furniture","Chairs","2016 Qtr 3 Sales","21764.891"
"Furniture","Chairs","2016 Qtr 4 Row ID","48"
"Furniture","Chairs","2016 Qtr 4 Quantity","192"
"Furniture","Chairs","2016 Qtr 4 Profit","2150.8436"
"Furniture","Chairs","2016 Qtr 4 Sales","25882.812"
"Furniture","Chairs","2017 Qtr 1 Row ID","40"
"Furniture","Chairs","2017 Qtr 1 Quantity","134"
"Furniture","Chairs","2017 Qtr 1 Profit","2625.2308"
"Furniture","Chairs","2017 Qtr 1 Sales","20716.622"
"Furniture","Chairs","2017 Qtr 2 Row ID","43"
"Furniture","Chairs","2017 Qtr 2 Quantity","168"
"Furniture","Chairs","2017 Qtr 2 Profit","1098.6657"
"Furniture","Chairs","2017 Qtr 2 Sales","23061.301"
"Furniture","Chairs","2017 Qtr 3 Row ID","44"
"Furniture","Chairs","2017 Qtr 3 Quantity","159"
"Furniture","Chairs","2017 Qtr 3 Profit","1221.6742"
"Furniture","Chairs","2017 Qtr 3 Sales","22541.026"
"Furniture","Chairs","2017 Qtr 4 Row ID","62"
"Furniture","Chairs","2017 Qtr 4 Quantity","206"
"Furniture","Chairs","2017 Qtr 4 Profit","2356.6526"
"Furniture","Chairs","2017 Qtr 4 Sales","28147.038"
"Furniture","Chairs","2018 Qtr 1 Row ID","5"
"Furniture","Chairs","2018 Qtr 1 Quantity","18"
"Furniture","Chairs","2018 Qtr 1 Profit","431.432"
"Furniture","Chairs","2018 Qtr 1 Sales","2274.51"
"Furniture","Chairs","2018 Qtr 2 Row ID",
"Furniture","Chairs","2018 Qtr 2 Quantity",
"Furniture","Chairs","2018 Qtr 2 Profit",
"Furniture","Chairs","2018 Qtr 2 Sales",
"Furniture","Furnishings","2014 Qtr 1 Row ID","39"
"Furniture","Furnishings","2014 Qtr 1 Quantity","128"
"Furniture","Furnishings","2014 Qtr 1 Profit","581.102"
"Furniture","Furnishings","2014 Qtr 1 Sales","3134.908"
"Furniture","Furnishings","2014 Qtr 2 Row ID","31"
"Furniture","Furnishings","2014 Qtr 2 Quantity","120"
"Furniture","Furnishings","2014 Qtr 2 Profit","219.3298"
"Furniture","Furnishings","2014 Qtr 2 Sales","2194.532"
"Furniture","Furnishings","2014 Qtr 3 Row ID","48"
"Furniture","Furnishings","2014 Qtr 3 Quantity","166"
"Furniture","Furnishings","2014 Qtr 3 Profit","661.8618"
"Furniture","Furnishings","2014 Qtr 3 Sales","3661.274"
"Furniture","Furnishings","2014 Qtr 4 Row ID","60"
"Furniture","Furnishings","2014 Qtr 4 Quantity","221"
"Furniture","Furnishings","2014 Qtr 4 Profit","528.7157"
"Furniture","Furnishings","2014 Qtr 4 Sales","4446.796"
"Furniture","Furnishings","2015 Qtr 1 Row ID","28"
"Furniture","Furnishings","2015 Qtr 1 Quantity","117"
"Furniture","Furnishings","2015 Qtr 1 Profit","-11.6707"
"Furniture","Furnishings","2015 Qtr 1 Sales","3245.398"
"Furniture","Furnishings","2015 Qtr 2 Row ID","50"
"Furniture","Furnishings","2015 Qtr 2 Quantity","208"
"Furniture","Furnishings","2015 Qtr 2 Profit","1119.2322"
"Furniture","Furnishings","2015 Qtr 2 Sales","6005.89"
"Furniture","Furnishings","2015 Qtr 3 Row ID","56"
"Furniture","Furnishings","2015 Qtr 3 Quantity","196"
"Furniture","Furnishings","2015 Qtr 3 Profit","913.7245"
"Furniture","Furnishings","2015 Qtr 3 Sales","4699.736"
"Furniture","Furnishings","2015 Qtr 4 Row ID","71"
"Furniture","Furnishings","2015 Qtr 4 Quantity","269"
"Furniture","Furnishings","2015 Qtr 4 Profit","1023.8545"
"Furniture","Furnishings","2015 Qtr 4 Sales","7512.652"
"Furniture","Furnishings","2016 Qtr 1 Row ID","45"
"Furniture","Furnishings","2016 Qtr 1 Quantity","182"
"Furniture","Furnishings","2016 Qtr 1 Profit","702.5581"
"Furniture","Furnishings","2016 Qtr 1 Sales","4443.782"
"Furniture","Furnishings","2016 Qtr 2 Row ID","60"
"Furniture","Furnishings","2016 Qtr 2 Quantity","237"
"Furniture","Furnishings","2016 Qtr 2 Profit","505.2463"
"Furniture","Furnishings","2016 Qtr 2 Sales","5300.5"
"Furniture","Furnishings","2016 Qtr 3 Row ID","71"
"Furniture","Furnishings","2016 Qtr 3 Quantity","267"
"Furniture","Furnishings","2016 Qtr 3 Profit","749.7403"
"Furniture","Furnishings","2016 Qtr 3 Sales","7357.08"
"Furniture","Furnishings","2016 Qtr 4 Row ID","80"
"Furniture","Furnishings","2016 Qtr 4 Quantity","345"
"Furniture","Furnishings","2016 Qtr 4 Profit","1935.7487"
"Furniture","Furnishings","2016 Qtr 4 Sales","10695.842"
"Furniture","Furnishings","2017 Qtr 1 Row ID","57"
"Furniture","Furnishings","2017 Qtr 1 Quantity","183"
"Furniture","Furnishings","2017 Qtr 1 Profit","770.8102"
"Furniture","Furnishings","2017 Qtr 1 Sales","4973.772"
"Furniture","Furnishings","2017 Qtr 2 Row ID","81"
"Furniture","Furnishings","2017 Qtr 2 Quantity","298"
"Furniture","Furnishings","2017 Qtr 2 Profit","1199.9777"
"Furniture","Furnishings","2017 Qtr 2 Sales","7435.006"
"Furniture","Furnishings","2017 Qtr 3 Row ID","72"
"Furniture","Furnishings","2017 Qtr 3 Quantity","250"
"Furniture","Furnishings","2017 Qtr 3 Profit","1171.6683"
"Furniture","Furnishings","2017 Qtr 3 Sales","6624.128"
"Furniture","Furnishings","2017 Qtr 4 Row ID","103"
"Furniture","Furnishings","2017 Qtr 4 Quantity","359"
"Furniture","Furnishings","2017 Qtr 4 Profit","930.0542"
"Furniture","Furnishings","2017 Qtr 4 Sales","9785.96"
"Furniture","Furnishings","2018 Qtr 1 Row ID","4"
"Furniture","Furnishings","2018 Qtr 1 Quantity","9"
"Furniture","Furnishings","2018 Qtr 1 Profit","19.7756"
"Furniture","Furnishings","2018 Qtr 1 Sales","86.788"
"Furniture","Furnishings","2018 Qtr 2 Row ID","1"
"Furniture","Furnishings","2018 Qtr 2 Quantity","8"
"Furniture","Furnishings","2018 Qtr 2 Profit","37.4144"
"Furniture","Furnishings","2018 Qtr 2 Sales","101.12"
"Furniture","Tables","2014 Qtr 1 Row ID","15"
"Furniture","Tables","2014 Qtr 1 Quantity","56"
"Furniture","Tables","2014 Qtr 1 Profit","-1840.898"
"Furniture","Tables","2014 Qtr 1 Sales","12153.2555"
"Furniture","Tables","2014 Qtr 2 Row ID","9"
"Furniture","Tables","2014 Qtr 2 Quantity","41"
"Furniture","Tables","2014 Qtr 2 Profit","-654.75"
"Furniture","Tables","2014 Qtr 2 Sales","5241.013"
"Furniture","Tables","2014 Qtr 3 Row ID","17"
"Furniture","Tables","2014 Qtr 3 Quantity","63"
"Furniture","Tables","2014 Qtr 3 Profit","-632.2889"
"Furniture","Tables","2014 Qtr 3 Sales","7967.14"
"Furniture","Tables","2014 Qtr 4 Row ID","29"
"Furniture","Tables","2014 Qtr 4 Quantity","107"
"Furniture","Tables","2014 Qtr 4 Profit","195.941"
"Furniture","Tables","2014 Qtr 4 Sales","20203.193"
"Furniture","Tables","2015 Qtr 1 Row ID","10"
"Furniture","Tables","2015 Qtr 1 Quantity","43"
"Furniture","Tables","2015 Qtr 1 Profit","-1987.646"
"Furniture","Tables","2015 Qtr 1 Sales","10515.9925"
"Furniture","Tables","2015 Qtr 2 Row ID","11"
"Furniture","Tables","2015 Qtr 2 Quantity","43"
"Furniture","Tables","2015 Qtr 2 Profit","-457.0945"
"Furniture","Tables","2015 Qtr 2 Sales","7148.8745"
"Furniture","Tables","2015 Qtr 3 Row ID","15"
"Furniture","Tables","2015 Qtr 3 Quantity","51"
"Furniture","Tables","2015 Qtr 3 Profit","-187.6444"
"Furniture","Tables","2015 Qtr 3 Sales","8362.152"
"Furniture","Tables","2015 Qtr 4 Row ID","23"
"Furniture","Tables","2015 Qtr 4 Quantity","101"
"Furniture","Tables","2015 Qtr 4 Profit","-1069.4638"
"Furniture","Tables","2015 Qtr 4 Sales","13647.1685"
"Furniture","Tables","2016 Qtr 1 Row ID","14"
"Furniture","Tables","2016 Qtr 1 Quantity","52"
"Furniture","Tables","2016 Qtr 1 Profit","-346.3575"
"Furniture","Tables","2016 Qtr 1 Sales","7000.953"
"Furniture","Tables","2016 Qtr 2 Row ID","23"
"Furniture","Tables","2016 Qtr 2 Quantity","93"
"Furniture","Tables","2016 Qtr 2 Profit","-1577.8796"
"Furniture","Tables","2016 Qtr 2 Sales","15027.991"
"Furniture","Tables","2016 Qtr 3 Row ID","23"
"Furniture","Tables","2016 Qtr 3 Quantity","96"
"Furniture","Tables","2016 Qtr 3 Profit","-332.0637"
"Furniture","Tables","2016 Qtr 3 Sales","16105.5445"
"Furniture","Tables","2016 Qtr 4 Row ID","25"
"Furniture","Tables","2016 Qtr 4 Quantity","104"
"Furniture","Tables","2016 Qtr 4 Profit","-670.5384"
"Furniture","Tables","2016 Qtr 4 Sales","22663.267"
"Furniture","Tables","2017 Qtr 1 Row ID","17"
"Furniture","Tables","2017 Qtr 1 Quantity","86"
"Furniture","Tables","2017 Qtr 1 Profit","-986.0531"
"Furniture","Tables","2017 Qtr 1 Sales","12302.833"
"Furniture","Tables","2017 Qtr 2 Row ID","21"
"Furniture","Tables","2017 Qtr 2 Quantity","81"
"Furniture","Tables","2017 Qtr 2 Profit","-2278.2535"
"Furniture","Tables","2017 Qtr 2 Sales","13892.177"
"Furniture","Tables","2017 Qtr 3 Row ID","23"
"Furniture","Tables","2017 Qtr 3 Quantity","80"
"Furniture","Tables","2017 Qtr 3 Profit","-2123.668"
"Furniture","Tables","2017 Qtr 3 Sales","11723.058"
"Furniture","Tables","2017 Qtr 4 Row ID","44"
"Furniture","Tables","2017 Qtr 4 Quantity","144"
"Furniture","Tables","2017 Qtr 4 Profit","-2776.8227"
"Furniture","Tables","2017 Qtr 4 Sales","23010.9195"
"Furniture","Tables","2018 Qtr 1 Row ID",
"Furniture","Tables","2018 Qtr 1 Quantity",
"Furniture","Tables","2018 Qtr 1 Profit",
"Furniture","Tables","2018 Qtr 1 Sales",
"Furniture","Tables","2018 Qtr 2 Row ID",
"Furniture","Tables","2018 Qtr 2 Quantity",
"Furniture","Tables","2018 Qtr 2 Profit",
"Furniture","Tables","2018 Qtr 2 Sales",
"Office Supplies","Appliances","2014 Qtr 1 Row ID","12"
"Office Supplies","Appliances","2014 Qtr 1 Quantity","34"
"Office Supplies","Appliances","2014 Qtr 1 Profit","309.6765"
"Office Supplies","Appliances","2014 Qtr 1 Sales","1165.968"
"Office Supplies","Appliances","2014 Qtr 2 Row ID","21"
"Office Supplies","Appliances","2014 Qtr 2 Quantity","64"
"Office Supplies","Appliances","2014 Qtr 2 Profit","1032.7951"
"Office Supplies","Appliances","2014 Qtr 2 Sales","4056.266"
"Office Supplies","Appliances","2014 Qtr 3 Row ID","31"
"Office Supplies","Appliances","2014 Qtr 3 Quantity","112"
"Office Supplies","Appliances","2014 Qtr 3 Profit","369.352"
"Office Supplies","Appliances","2014 Qtr 3 Sales","4644.286"
"Office Supplies","Appliances","2014 Qtr 4 Row ID","27"
"Office Supplies","Appliances","2014 Qtr 4 Quantity","95"
"Office Supplies","Appliances","2014 Qtr 4 Profit","213.1591"
"Office Supplies","Appliances","2014 Qtr 4 Sales","3586.985"
"Office Supplies","Appliances","2015 Qtr 1 Row ID","18"
"Office Supplies","Appliances","2015 Qtr 1 Quantity","69"
"Office Supplies","Appliances","2015 Qtr 1 Profit","1245.9733"
"Office Supplies","Appliances","2015 Qtr 1 Sales","5295.21"
"Office Supplies","Appliances","2015 Qtr 2 Row ID","21"
"Office Supplies","Appliances","2015 Qtr 2 Quantity","82"
"Office Supplies","Appliances","2015 Qtr 2 Profit","1431.2479"
"Office Supplies","Appliances","2015 Qtr 2 Sales","6091.83"
"Office Supplies","Appliances","2015 Qtr 3 Row ID","20"
"Office Supplies","Appliances","2015 Qtr 3 Quantity","74"
"Office Supplies","Appliances","2015 Qtr 3 Profit","29.7282"
"Office Supplies","Appliances","2015 Qtr 3 Sales","3194.118"
"Office Supplies","Appliances","2015 Qtr 4 Row ID","37"
"Office Supplies","Appliances","2015 Qtr 4 Quantity","149"
"Office Supplies","Appliances","2015 Qtr 4 Profit","339.4635"
"Office Supplies","Appliances","2015 Qtr 4 Sales","10520.251"
"Office Supplies","Appliances","2016 Qtr 1 Row ID","18"
"Office Supplies","Appliances","2016 Qtr 1 Quantity","69"
"Office Supplies","Appliances","2016 Qtr 1 Profit","1460.292"
"Office Supplies","Appliances","2016 Qtr 1 Sales","6502.638"
"Office Supplies","Appliances","2016 Qtr 2 Row ID","28"
"Office Supplies","Appliances","2016 Qtr 2 Quantity","98"
"Office Supplies","Appliances","2016 Qtr 2 Profit","1393.2496"
"Office Supplies","Appliances","2016 Qtr 2 Sales","6861.766"
"Office Supplies","Appliances","2016 Qtr 3 Row ID","30"
"Office Supplies","Appliances","2016 Qtr 3 Quantity","104"
"Office Supplies","Appliances","2016 Qtr 3 Profit","962.8266"
"Office Supplies","Appliances","2016 Qtr 3 Sales","5780.272"
"Office Supplies","Appliances","2016 Qtr 4 Row ID","35"
"Office Supplies","Appliances","2016 Qtr 4 Quantity","120"
"Office Supplies","Appliances","2016 Qtr 4 Profit","1451.0973"
"Office Supplies","Appliances","2016 Qtr 4 Sales","6778.469"
"Office Supplies","Appliances","2017 Qtr 1 Row ID","36"
"Office Supplies","Appliances","2017 Qtr 1 Quantity","130"
"Office Supplies","Appliances","2017 Qtr 1 Profit","2216.5086"
"Office Supplies","Appliances","2017 Qtr 1 Sales","9760.174"
"Office Supplies","Appliances","2017 Qtr 2 Row ID","41"
"Office Supplies","Appliances","2017 Qtr 2 Quantity","163"
"Office Supplies","Appliances","2017 Qtr 2 Profit","488.7854"
"Office Supplies","Appliances","2017 Qtr 2 Sales","6985.294"
"Office Supplies","Appliances","2017 Qtr 3 Row ID","40"
"Office Supplies","Appliances","2017 Qtr 3 Quantity","155"
"Office Supplies","Appliances","2017 Qtr 3 Profit","2094.9768"
"Office Supplies","Appliances","2017 Qtr 3 Sales","10578.31"
"Office Supplies","Appliances","2017 Qtr 4 Row ID","50"
"Office Supplies","Appliances","2017 Qtr 4 Quantity","209"
"Office Supplies","Appliances","2017 Qtr 4 Profit","3042.3625"
"Office Supplies","Appliances","2017 Qtr 4 Sales","15521.024"
"Office Supplies","Appliances","2018 Qtr 1 Row ID",
"Office Supplies","Appliances","2018 Qtr 1 Quantity",
"Office Supplies","Appliances","2018 Qtr 1 Profit",
"Office Supplies","Appliances","2018 Qtr 1 Sales",
"Office Supplies","Appliances","2018 Qtr 2 Row ID","1"
"Office Supplies","Appliances","2018 Qtr 2 Quantity","2"
"Office Supplies","Appliances","2018 Qtr 2 Profit","56.511"
"Office Supplies","Appliances","2018 Qtr 2 Sales","209.3"
"Office Supplies","Art","2014 Qtr 1 Row ID","38"
"Office Supplies","Art","2014 Qtr 1 Quantity","144"
"Office Supplies","Art","2014 Qtr 1 Profit","250.9481"
"Office Supplies","Art","2014 Qtr 1 Sales","961.834"
"Office Supplies","Art","2014 Qtr 2 Row ID","37"
"Office Supplies","Art","2014 Qtr 2 Quantity","160"
"Office Supplies","Art","2014 Qtr 2 Profit","275.6305"
"Office Supplies","Art","2014 Qtr 2 Sales","1085.546"
"Office Supplies","Art","2014 Qtr 3 Row ID","43"
"Office Supplies","Art","2014 Qtr 3 Quantity","141"
"Office Supplies","Art","2014 Qtr 3 Profit","322.3597"
"Office Supplies","Art","2014 Qtr 3 Sales","1264.686"
"Office Supplies","Art","2014 Qtr 4 Row ID","44"
"Office Supplies","Art","2014 Qtr 4 Quantity","158"
"Office Supplies","Art","2014 Qtr 4 Profit","543.436"
"Office Supplies","Art","2014 Qtr 4 Sales","2706.396"
"Office Supplies","Art","2015 Qtr 1 Row ID","25"
"Office Supplies","Art","2015 Qtr 1 Quantity","84"
"Office Supplies","Art","2015 Qtr 1 Profit","286.1239"
"Office Supplies","Art","2015 Qtr 1 Sales","1035.232"
"Office Supplies","Art","2015 Qtr 2 Row ID","33"
"Office Supplies","Art","2015 Qtr 2 Quantity","112"
"Office Supplies","Art","2015 Qtr 2 Profit","202.9274"
"Office Supplies","Art","2015 Qtr 2 Sales","1115.934"
"Office Supplies","Art","2015 Qtr 3 Row ID","49"
"Office Supplies","Art","2015 Qtr 3 Quantity","185"
"Office Supplies","Art","2015 Qtr 3 Profit","437.4442"
"Office Supplies","Art","2015 Qtr 3 Sales","1808.658"
"Office Supplies","Art","2015 Qtr 4 Row ID","61"
"Office Supplies","Art","2015 Qtr 4 Quantity","236"
"Office Supplies","Art","2015 Qtr 4 Profit","572.0403"
"Office Supplies","Art","2015 Qtr 4 Sales","2313.25"
"Office Supplies","Art","2016 Qtr 1 Row ID","32"
"Office Supplies","Art","2016 Qtr 1 Quantity","113"
"Office Supplies","Art","2016 Qtr 1 Profit","324.0153"
"Office Supplies","Art","2016 Qtr 1 Sales","1315.098"
"Office Supplies","Art","2016 Qtr 2 Row ID","43"
"Office Supplies","Art","2016 Qtr 2 Quantity","169"
"Office Supplies","Art","2016 Qtr 2 Profit","343.5448"
"Office Supplies","Art","2016 Qtr 2 Sales","1396.308"
"Office Supplies","Art","2016 Qtr 3 Row ID","49"
"Office Supplies","Art","2016 Qtr 3 Quantity","169"
"Office Supplies","Art","2016 Qtr 3 Profit","267.5676"
"Office Supplies","Art","2016 Qtr 3 Sales","1358.414"
"Office Supplies","Art","2016 Qtr 4 Row ID","57"
"Office Supplies","Art","2016 Qtr 4 Quantity","218"
"Office Supplies","Art","2016 Qtr 4 Profit","472.9249"
"Office Supplies","Art","2016 Qtr 4 Sales","1826.592"
"Office Supplies","Art","2017 Qtr 1 Row ID","46"
"Office Supplies","Art","2017 Qtr 1 Quantity","197"
"Office Supplies","Art","2017 Qtr 1 Profit","433.7862"
"Office Supplies","Art","2017 Qtr 1 Sales","1552.018"
"Office Supplies","Art","2017 Qtr 2 Row ID","79"
"Office Supplies","Art","2017 Qtr 2 Quantity","293"
"Office Supplies","Art","2017 Qtr 2 Profit","601.2216"
"Office Supplies","Art","2017 Qtr 2 Sales","2369.498"
"Office Supplies","Art","2017 Qtr 3 Row ID","71"
"Office Supplies","Art","2017 Qtr 3 Quantity","266"
"Office Supplies","Art","2017 Qtr 3 Profit","485.5505"
"Office Supplies","Art","2017 Qtr 3 Sales","1941.248"
"Office Supplies","Art","2017 Qtr 4 Row ID","85"
"Office Supplies","Art","2017 Qtr 4 Quantity","349"
"Office Supplies","Art","2017 Qtr 4 Profit","692.2722"
"Office Supplies","Art","2017 Qtr 4 Sales","2972.108"
"Office Supplies","Art","2018 Qtr 1 Row ID","4"
"Office Supplies","Art","2018 Qtr 1 Quantity","6"
"Office Supplies","Art","2018 Qtr 1 Profit","15.9938"
"Office Supplies","Art","2018 Qtr 1 Sales","95.972"
"Office Supplies","Art","2018 Qtr 2 Row ID",
"Office Supplies","Art","2018 Qtr 2 Quantity",
"Office Supplies","Art","2018 Qtr 2 Profit",
"Office Supplies","Art","2018 Qtr 2 Sales",
"Office Supplies","Binders","2014 Qtr 1 Row ID","48"
"Office Supplies","Binders","2014 Qtr 1 Quantity","166"
"Office Supplies","Binders","2014 Qtr 1 Profit","-231.9133"
"Office Supplies","Binders","2014 Qtr 1 Sales","1771.406"
"Office Supplies","Binders","2014 Qtr 2 Row ID","55"
"Office Supplies","Binders","2014 Qtr 2 Quantity","235"
"Office Supplies","Binders","2014 Qtr 2 Profit","2223.5403"
"Office Supplies","Binders","2014 Qtr 2 Sales","9618.621"
"Office Supplies","Binders","2014 Qtr 3 Row ID","91"
"Office Supplies","Binders","2014 Qtr 3 Quantity","329"
"Office Supplies","Binders","2014 Qtr 3 Profit","2618.2639"
"Office Supplies","Binders","2014 Qtr 3 Sales","19572.448"
"Office Supplies","Binders","2014 Qtr 4 Row ID","92"
"Office Supplies","Binders","2014 Qtr 4 Quantity","341"
"Office Supplies","Binders","2014 Qtr 4 Profit","575.9559"
"Office Supplies","Binders","2014 Qtr 4 Sales","11921.719"
"Office Supplies","Binders","2015 Qtr 1 Row ID","38"
"Office Supplies","Binders","2015 Qtr 1 Quantity","146"
"Office Supplies","Binders","2015 Qtr 1 Profit","7310.8582"
"Office Supplies","Binders","2015 Qtr 1 Sales","15583.908"
"Office Supplies","Binders","2015 Qtr 2 Row ID","75"
"Office Supplies","Binders","2015 Qtr 2 Quantity","273"
"Office Supplies","Binders","2015 Qtr 2 Profit","1164.0739"
"Office Supplies","Binders","2015 Qtr 2 Sales","7974.273"
"Office Supplies","Binders","2015 Qtr 3 Row ID","100"
