15000.Date.Variation.Date Hierarchy.Year,15000.Date.Variation.Date Hierarchy.Quarter,15000.City,Sum(15000.State Bottle Cost)
2015,Qtr 3,ARNOLDS PARK,26.88
2012,Qtr 3,ARNOLD'S PARK,
2013,Qtr 3,ARNOLD'S PARK,
2014,Qtr 3,ARNOLD'S PARK,
2015,Qtr 3,ARNOLD'S PARK,19.38
2012,Qtr 3,ATLANTIC,49.36
2013,Qtr 3,ATLANTIC,46.43
2014,Qtr 3,ATLANTIC,122.72
2015,Qtr 3,ATLANTIC,
2012,Qtr 3,AUDUBON,20.44
2013,Qtr 3,AUDUBON,18.92
2014,Qtr 3,AUDUBON,20.72
2015,Qtr 3,AUDUBON,
2012,Qtr 3,AURELIA,
2013,Qtr 3,AURELIA,4.75
2014,Qtr 3,AURELIA,7.2
2015,Qtr 3,AURELIA,
2012,Qtr 3,AVOCA,6.75
2013,Qtr 3,AVOCA,
2014,Qtr 3,AVOCA,16
2015,Qtr 3,AVOCA,7.5
2012,Qtr 3,BANCROFT,12.8
2013,Qtr 3,BANCROFT,
2014,Qtr 3,BANCROFT,22
2015,Qtr 3,BANCROFT,
2012,Qtr 3,BAXTER,7.58
2013,Qtr 3,BAXTER,
2014,Qtr 3,BAXTER,
2015,Qtr 3,BAXTER,
2012,Qtr 3,BEDFORD,
2013,Qtr 3,BEDFORD,12.5
2014,Qtr 3,BEDFORD,1.56
2015,Qtr 3,BEDFORD,1.56
2012,Qtr 3,BELLE PLAINE,38.36
2013,Qtr 3,BELLE PLAINE,36.33
2014,Qtr 3,BELLE PLAINE,32.54
2015,Qtr 3,BELLE PLAINE,18.49
2012,Qtr 3,BELLEVUE,41.24
2013,Qtr 3,BELLEVUE,
2014,Qtr 3,BELLEVUE,27.25
2015,Qtr 3,BELLEVUE,35.47
2012,Qtr 3,BELMOND,
2013,Qtr 3,BELMOND,8.33
2014,Qtr 3,BELMOND,56.9
2015,Qtr 3,BELMOND,
2012,Qtr 3,BETTENDORF,212.08
2013,Qtr 3,BETTENDORF,160.04
2014,Qtr 3,BETTENDORF,57.6
2015,Qtr 3,BETTENDORF,78.35
2012,Qtr 3,BEVINGTON,
2013,Qtr 3,BEVINGTON,6.5
2014,Qtr 3,BEVINGTON,8.75
2015,Qtr 3,BEVINGTON,
2012,Qtr 3,BLOOMFIELD,9.7
2013,Qtr 3,BLOOMFIELD,
2014,Qtr 3,BLOOMFIELD,
2015,Qtr 3,BLOOMFIELD,30.76
2012,Qtr 3,BLUE GRASS,19.39
2013,Qtr 3,BLUE GRASS,
2014,Qtr 3,BLUE GRASS,5.43
2015,Qtr 3,BLUE GRASS,
2012,Qtr 3,BONDURANT,11
2013,Qtr 3,BONDURANT,36.74
2014,Qtr 3,BONDURANT,64.58
2015,Qtr 3,BONDURANT,10.25
2012,Qtr 3,BOONE,34.03
2013,Qtr 3,BOONE,29.29
2014,Qtr 3,BOONE,79.86
2015,Qtr 3,BOONE,31.12
2012,Qtr 3,BRITT,
2013,Qtr 3,BRITT,7.13
2014,Qtr 3,BRITT,12.48
2015,Qtr 3,BRITT,
2012,Qtr 3,BROOKLYN,11.65
2013,Qtr 3,BROOKLYN,11
2014,Qtr 3,BROOKLYN,
2015,Qtr 3,BROOKLYN,
2012,Qtr 3,BUFFALO CENTER,14.3
2013,Qtr 3,BUFFALO CENTER,13.07
2014,Qtr 3,BUFFALO CENTER,
2015,Qtr 3,BUFFALO CENTER,0.89
2012,Qtr 3,BURLINGTON,101.67
2013,Qtr 3,BURLINGTON,145.03
2014,Qtr 3,BURLINGTON,88.71
2015,Qtr 3,BURLINGTON,129.15
2012,Qtr 3,CAMBRIDGE,
2013,Qtr 3,CAMBRIDGE,
2014,Qtr 3,CAMBRIDGE,10.5
2015,Qtr 3,CAMBRIDGE,
2012,Qtr 3,CARLISLE,
2013,Qtr 3,CARLISLE,
2014,Qtr 3,CARLISLE,
2015,Qtr 3,CARLISLE,15.15
2012,Qtr 3,CARROLL,39.97
2013,Qtr 3,CARROLL,74.3
2014,Qtr 3,CARROLL,85.84
2015,Qtr 3,CARROLL,47.45
2012,Qtr 3,CARTER LAKE,
2013,Qtr 3,CARTER LAKE,6.5
2014,Qtr 3,CARTER LAKE,3.37
2015,Qtr 3,CARTER LAKE,36.22
2012,Qtr 3,CASCADE,19.94
2013,Qtr 3,CASCADE,19.58
2014,Qtr 3,CASCADE,
2015,Qtr 3,CASCADE,
2012,Qtr 3,CEDAR FALLS,60.86
2013,Qtr 3,CEDAR FALLS,185.89
2014,Qtr 3,CEDAR FALLS,128.35
2015,Qtr 3,CEDAR FALLS,222.55
2012,Qtr 3,CEDAR RAPIDS,580.07
2013,Qtr 3,CEDAR RAPIDS,555.31
2014,Qtr 3,CEDAR RAPIDS,466.29
2015,Qtr 3,CEDAR RAPIDS,537.63
2012,Qtr 3,CENTER POINT,
2013,Qtr 3,CENTER POINT,7.46
2014,Qtr 3,CENTER POINT,5.23
2015,Qtr 3,CENTER POINT,
2012,Qtr 3,CENTERVILLE,6.3
2013,Qtr 3,CENTERVILLE,27.86
2014,Qtr 3,CENTERVILLE,16.92
2015,Qtr 3,CENTERVILLE,16.38
2012,Qtr 3,CENTRAL CITY,
2013,Qtr 3,CENTRAL CITY,
2014,Qtr 3,CENTRAL CITY,18.5
2015,Qtr 3,CENTRAL CITY,
2012,Qtr 3,CHARITON,8.99
2013,Qtr 3,CHARITON,57.23
2014,Qtr 3,CHARITON,
2015,Qtr 3,CHARITON,33.24
2012,Qtr 3,CHARLES CITY,13.86
2013,Qtr 3,CHARLES CITY,2.46
2014,Qtr 3,CHARLES CITY,33.62
2015,Qtr 3,CHARLES CITY,31.11
2012,Qtr 3,CHEROKEE,60.29
2013,Qtr 3,CHEROKEE,28.35
2014,Qtr 3,CHEROKEE,
2015,Qtr 3,CHEROKEE,13.59
2012,Qtr 3,CLARINDA,40.39
2013,Qtr 3,CLARINDA,7.47
2014,Qtr 3,CLARINDA,24.5
2015,Qtr 3,CLARINDA,13.75
2012,Qtr 3,CLARION,
2013,Qtr 3,CLARION,
2014,Qtr 3,CLARION,
2015,Qtr 3,CLARION,4.78
2012,Qtr 3,CLARKSVILLE,
2013,Qtr 3,CLARKSVILLE,
2014,Qtr 3,CLARKSVILLE,13.41
2015,Qtr 3,CLARKSVILLE,
2012,Qtr 3,CLEAR LAKE,41.4
2013,Qtr 3,CLEAR LAKE,89.24
2014,Qtr 3,CLEAR LAKE,91.92
2015,Qtr 3,CLEAR LAKE,73.91
2012,Qtr 3,CLINTON,124.79
2013,Qtr 3,CLINTON,121.31
2014,Qtr 3,CLINTON,60.18
2015,Qtr 3,CLINTON,257.55
2012,Qtr 3,CLIVE,63.05
2013,Qtr 3,CLIVE,70.13
2014,Qtr 3,CLIVE,60.59
2015,Qtr 3,CLIVE,12.25
2012,Qtr 3,COLFAX,12.8
2013,Qtr 3,COLFAX,6.51
2014,Qtr 3,COLFAX,4.76
2015,Qtr 3,COLFAX,
2012,Qtr 3,COLUMBUS JUNCTION,
2013,Qtr 3,COLUMBUS JUNCTION,20.25
2014,Qtr 3,COLUMBUS JUNCTION,
2015,Qtr 3,COLUMBUS JUNCTION,14.04
2012,Qtr 3,CONRAD,18.37
2013,Qtr 3,CONRAD,4.54
2014,Qtr 3,CONRAD,
2015,Qtr 3,CONRAD,
2012,Qtr 3,COON RAPIDS,17.76
2013,Qtr 3,COON RAPIDS,
2014,Qtr 3,COON RAPIDS,
2015,Qtr 3,COON RAPIDS,
2012,Qtr 3,CORALVILLE,207.21
2013,Qtr 3,CORALVILLE,168.22
2014,Qtr 3,CORALVILLE,107.37
2015,Qtr 3,CORALVILLE,102.56
2012,Qtr 3,CORNING,19
2013,Qtr 3,CORNING,18.24
2014,Qtr 3,CORNING,15.45
2015,Qtr 3,CORNING,18.24
2012,Qtr 3,CORYDON,12.04
2013,Qtr 3,CORYDON,
2014,Qtr 3,CORYDON,8.98
2015,Qtr 3,CORYDON,
2012,Qtr 3,COUNCIL BLUFFS,154.2
2013,Qtr 3,COUNCIL BLUFFS,164.99
2014,Qtr 3,COUNCIL BLUFFS,273.79
2015,Qtr 3,COUNCIL BLUFFS,175.94
2012,Qtr 3,CRESCO,29.32
2013,Qtr 3,CRESCO,22.27
2014,Qtr 3,CRESCO,18.75
2015,Qtr 3,CRESCO,33.87
2012,Qtr 3,CRESTON,50.12
2013,Qtr 3,CRESTON,44.9
2014,Qtr 3,CRESTON,37.97
2015,Qtr 3,CRESTON,47.68
2012,Qtr 3,DAKOTA CITY,
2013,Qtr 3,DAKOTA CITY,5.77
2014,Qtr 3,DAKOTA CITY,
2015,Qtr 3,DAKOTA CITY,
2012,Qtr 3,DAVENPORT,267.04
2013,Qtr 3,DAVENPORT,387.7
2014,Qtr 3,DAVENPORT,380.4
2015,Qtr 3,DAVENPORT,517.57
2012,Qtr 3,DAYTON,
2013,Qtr 3,DAYTON,
2014,Qtr 3,DAYTON,14.66
2015,Qtr 3,DAYTON,
2012,Qtr 3,DE SOTO,9.79
2013,Qtr 3,DE SOTO,6.9
2014,Qtr 3,DE SOTO,
2015,Qtr 3,DE SOTO,16.65
2012,Qtr 3,DECORAH,43.91
2013,Qtr 3,DECORAH,
2014,Qtr 3,DECORAH,42.67
2015,Qtr 3,DECORAH,24.36
2012,Qtr 3,DENISON,69.68
2013,Qtr 3,DENISON,54.02
2014,Qtr 3,DENISON,12.18
2015,Qtr 3,DENISON,28.76
2012,Qtr 3,DENVER,11
2013,Qtr 3,DENVER,7.58
2014,Qtr 3,DENVER,
2015,Qtr 3,DENVER,
2012,Qtr 3,DES MOINES,941.41
2013,Qtr 3,DES MOINES,802.36
2014,Qtr 3,DES MOINES,911.06
2015,Qtr 3,DES MOINES,709.31
2012,Qtr 3,DEWITT,5.51
2013,Qtr 3,DEWITT,3.37
2014,Qtr 3,DEWITT,
2015,Qtr 3,DEWITT,7.18
2012,Qtr 3,DUBUQUE,229.24
2013,Qtr 3,DUBUQUE,153.85
2014,Qtr 3,DUBUQUE,322.58
2015,Qtr 3,DUBUQUE,304.39
2012,Qtr 3,DUMONT,
2013,Qtr 3,DUMONT,1.93
2014,Qtr 3,DUMONT,
2015,Qtr 3,DUMONT,
2012,Qtr 3,DUNLAP,
2013,Qtr 3,DUNLAP,
2014,Qtr 3,DUNLAP,
2015,Qtr 3,DUNLAP,11.75
2012,Qtr 3,DURANT,
2013,Qtr 3,DURANT,5.99
2014,Qtr 3,DURANT,7.17
2015,Qtr 3,DURANT,
2012,Qtr 3,DYERSVILLE,7.1
2013,Qtr 3,DYERSVILLE,15.57
2014,Qtr 3,DYERSVILLE,24.54
2015,Qtr 3,DYERSVILLE,3.84
2012,Qtr 3,DYSART,
2013,Qtr 3,DYSART,
2014,Qtr 3,DYSART,
2015,Qtr 3,DYSART,7.2
2012,Qtr 3,EAGLE GROVE,39.12
2013,Qtr 3,EAGLE GROVE,
2014,Qtr 3,EAGLE GROVE,6.3
2015,Qtr 3,EAGLE GROVE,
2012,Qtr 3,EARLHAM,
2013,Qtr 3,EARLHAM,
2014,Qtr 3,EARLHAM,
2015,Qtr 3,EARLHAM,2.07
2012,Qtr 3,EARLY,4.3
2013,Qtr 3,EARLY,
2014,Qtr 3,EARLY,
2015,Qtr 3,EARLY,
2012,Qtr 3,EDDYVILLE,6.3
2013,Qtr 3,EDDYVILLE,
2014,Qtr 3,EDDYVILLE,
2015,Qtr 3,EDDYVILLE,
2012,Qtr 3,EDGEWOOD,
2013,Qtr 3,EDGEWOOD,
2014,Qtr 3,EDGEWOOD,13.5
2015,Qtr 3,EDGEWOOD,
2012,Qtr 3,ELDON,
2013,Qtr 3,ELDON,
2014,Qtr 3,ELDON,
2015,Qtr 3,ELDON,5.23
2012,Qtr 3,ELDORA,66.62
2013,Qtr 3,ELDORA,8.66
2014,Qtr 3,ELDORA,3.39
2015,Qtr 3,ELDORA,11.58
2012,Qtr 3,ELDRIDGE,17
2013,Qtr 3,ELDRIDGE,28.42
2014,Qtr 3,ELDRIDGE,23.46
2015,Qtr 3,ELDRIDGE,28.24
2012,Qtr 3,ELKADER,
2013,Qtr 3,ELKADER,
2014,Qtr 3,ELKADER,6.87
2015,Qtr 3,ELKADER,7.84
2012,Qtr 3,ELLSWORTH,
2013,Qtr 3,ELLSWORTH,7.92
2014,Qtr 3,ELLSWORTH,
2015,Qtr 3,ELLSWORTH,
2012,Qtr 3,ELMA,4.5
2013,Qtr 3,ELMA,
2014,Qtr 3,ELMA,
2015,Qtr 3,ELMA,
2012,Qtr 3,EMMETSBURG,28.52
2013,Qtr 3,EMMETSBURG,30.01
2014,Qtr 3,EMMETSBURG,15.76
2015,Qtr 3,EMMETSBURG,46.9
2012,Qtr 3,ESTHERVILLE,13.44
2013,Qtr 3,ESTHERVILLE,29.55
2014,Qtr 3,ESTHERVILLE,17.5
2015,Qtr 3,ESTHERVILLE,25.09
2012,Qtr 3,EVANSDALE,12.24
2013,Qtr 3,EVANSDALE,44.5
2014,Qtr 3,EVANSDALE,12.48
2015,Qtr 3,EVANSDALE,10.72
2012,Qtr 3,FAIRBANK,18.37
2013,Qtr 3,FAIRBANK,
2014,Qtr 3,FAIRBANK,
2015,Qtr 3,FAIRBANK,6.77
2012,Qtr 3,FAIRFIELD,40.88
2013,Qtr 3,FAIRFIELD,14.86
2014,Qtr 3,FAIRFIELD,33.06
2015,Qtr 3,FAIRFIELD,7.3
2012,Qtr 3,FARLEY,5.51
2013,Qtr 3,FARLEY,
2014,Qtr 3,FARLEY,9.65
2015,Qtr 3,FARLEY,
2012,Qtr 3,FARMINGTON,
2013,Qtr 3,FARMINGTON,
2014,Qtr 3,FARMINGTON,9.01
2015,Qtr 3,FARMINGTON,
2012,Qtr 3,FLOYD,25.83
2013,Qtr 3,FLOYD,
2014,Qtr 3,FLOYD,4.05
2015,Qtr 3,FLOYD,
2012,Qtr 3,FONDA,
2013,Qtr 3,FONDA,12.99
2014,Qtr 3,FONDA,
2015,Qtr 3,FONDA,
2012,Qtr 3,FOREST CITY,14.29
2013,Qtr 3,FOREST CITY,26.24
2014,Qtr 3,FOREST CITY,21.48
2015,Qtr 3,FOREST CITY,37.35
2012,Qtr 3,FORT ATKINSON,7.69
2013,Qtr 3,FORT ATKINSON,
2014,Qtr 3,FORT ATKINSON,4
2015,Qtr 3,FORT ATKINSON,3.55
2012,Qtr 3,FORT DODGE,149.79
2013,Qtr 3,FORT DODGE,152.74
2014,Qtr 3,FORT DODGE,19.86
2015,Qtr 3,FORT DODGE,105.35
2012,Qtr 3,FORT MADISON,51.48
2013,Qtr 3,FORT MADISON,33.16
2014,Qtr 3,FORT MADISON,45.99
2015,Qtr 3,FORT MADISON,5.62
2012,Qtr 3,FREDERICKSBURG,
2013,Qtr 3,FREDERICKSBURG,
2014,Qtr 3,FREDERICKSBURG,5.78
2015,Qtr 3,FREDERICKSBURG,
2012,Qtr 3,Garnavillo,
2013,Qtr 3,Garnavillo,9.71
2014,Qtr 3,Garnavillo,
2015,Qtr 3,Garnavillo,
2012,Qtr 3,GARNER,7.36
2013,Qtr 3,GARNER,4.3
2014,Qtr 3,GARNER,8.25
2015,Qtr 3,GARNER,18.42
2012,Qtr 3,GEORGE,
2013,Qtr 3,GEORGE,6.75
2014,Qtr 3,GEORGE,
2015,Qtr 3,GEORGE,29.52
2012,Qtr 3,GILMORE CITY,
2013,Qtr 3,GILMORE CITY,
2014,Qtr 3,GILMORE CITY,4
2015,Qtr 3,GILMORE CITY,
2012,Qtr 3,GLENWOOD,5.51
2013,Qtr 3,GLENWOOD,10.24
2014,Qtr 3,GLENWOOD,
2015,Qtr 3,GLENWOOD,7.2
2012,Qtr 3,GLIDDEN,5.5
2013,Qtr 3,GLIDDEN,
2014,Qtr 3,GLIDDEN,
2015,Qtr 3,GLIDDEN,
2012,Qtr 3,GOWRIE,7.58
2013,Qtr 3,GOWRIE,
2014,Qtr 3,GOWRIE,
2015,Qtr 3,GOWRIE,
2012,Qtr 3,GRAETTINGER,
2013,Qtr 3,GRAETTINGER,
2014,Qtr 3,GRAETTINGER,
2015,Qtr 3,GRAETTINGER,7.2
2012,Qtr 3,GRAND MOUND,
2013,Qtr 3,GRAND MOUND,7.17
2014,Qtr 3,GRAND MOUND,
2015,Qtr 3,GRAND MOUND,7.17
2012,Qtr 3,GRANGER,
2013,Qtr 3,GRANGER,
2014,Qtr 3,GRANGER,6.77
2015,Qtr 3,GRANGER,
2012,Qtr 3,GREENE,1.87
2013,Qtr 3,GREENE,4.04
2014,Qtr 3,GREENE,8.75
2015,Qtr 3,GREENE,
2012,Qtr 3,GREENFIELD,10
2013,Qtr 3,GREENFIELD,
2014,Qtr 3,GREENFIELD,
2015,Qtr 3,GREENFIELD,
2012,Qtr 3,GRIMES,24.33
2013,Qtr 3,GRIMES,62.24
2014,Qtr 3,GRIMES,55.27
2015,Qtr 3,GRIMES,40.44
2012,Qtr 3,GRINNELL,25.94
2013,Qtr 3,GRINNELL,24.76
2014,Qtr 3,GRINNELL,81.29
2015,Qtr 3,GRINNELL,103.79
2012,Qtr 3,GRUNDY CENTER,14.28
2013,Qtr 3,GRUNDY CENTER,12.5
2014,Qtr 3,GRUNDY CENTER,8.99
2015,Qtr 3,GRUNDY CENTER,7.46
2012,Qtr 3,GUTHRIE CENTER,6.45
2013,Qtr 3,GUTHRIE CENTER,
2014,Qtr 3,GUTHRIE CENTER,
2015,Qtr 3,GUTHRIE CENTER,44.78
2012,Qtr 3,GUTTENBERG,17.19
2013,Qtr 3,GUTTENBERG,31.27
2014,Qtr 3,GUTTENBERG,48.09
2015,Qtr 3,GUTTENBERG,7.08
2012,Qtr 3,HAMBURG,5.77
2013,Qtr 3,HAMBURG,
2014,Qtr 3,HAMBURG,
2015,Qtr 3,HAMBURG,
2012,Qtr 3,HAMPTON,33.83
2013,Qtr 3,HAMPTON,15.12
2014,Qtr 3,HAMPTON,
2015,Qtr 3,HAMPTON,9
2012,Qtr 3,HARLAN,19.74
2013,Qtr 3,HARLAN,59.05
2014,Qtr 3,HARLAN,18.58
2015,Qtr 3,HARLAN,41.74
2012,Qtr 3,HARTLEY,40.41
2013,Qtr 3,HARTLEY,10
2014,Qtr 3,HARTLEY,
2015,Qtr 3,HARTLEY,5.23
2012,Qtr 3,HAWARDEN,
2013,Qtr 3,HAWARDEN,9.25
2014,Qtr 3,HAWARDEN,
2015,Qtr 3,HAWARDEN,
2012,Qtr 3,HAZLETON,
2013,Qtr 3,HAZLETON,
2014,Qtr 3,HAZLETON,1.56
2015,Qtr 3,HAZLETON,
2012,Qtr 3,HIAWATHA,18.31
2013,Qtr 3,HIAWATHA,
2014,Qtr 3,HIAWATHA,20.19
2015,Qtr 3,HIAWATHA,11.38
2012,Qtr 3,HOLSTEIN,15.4
2013,Qtr 3,HOLSTEIN,
2014,Qtr 3,HOLSTEIN,
2015,Qtr 3,HOLSTEIN,14.62
2012,Qtr 3,HOLY CROSS,
2013,Qtr 3,HOLY CROSS,
2014,Qtr 3,HOLY CROSS,
2015,Qtr 3,HOLY CROSS,7.62
2012,Qtr 3,HUDSON,
2013,Qtr 3,HUDSON,
2014,Qtr 3,HUDSON,14.53
2015,Qtr 3,HUDSON,
2012,Qtr 3,HUMBOLDT,7.52
2013,Qtr 3,HUMBOLDT,13.6
2014,Qtr 3,HUMBOLDT,28.5
2015,Qtr 3,HUMBOLDT,12.85
2012,Qtr 3,HUXLEY,
2013,Qtr 3,HUXLEY,
2014,Qtr 3,HUXLEY,10.45
2015,Qtr 3,HUXLEY,
2012,Qtr 3,IDA GROVE,
2013,Qtr 3,IDA GROVE,
2014,Qtr 3,IDA GROVE,5.23
2015,Qtr 3,IDA GROVE,8.98
2012,Qtr 3,INDEPENDENCE,48.2
2013,Qtr 3,INDEPENDENCE,23.87
2014,Qtr 3,INDEPENDENCE,39.92
2015,Qtr 3,INDEPENDENCE,41.52
2012,Qtr 3,INDIANOLA,7.53
2013,Qtr 3,INDIANOLA,14.2
2014,Qtr 3,INDIANOLA,94.81
2015,Qtr 3,INDIANOLA,77.31
2012,Qtr 3,INWOOD,
2013,Qtr 3,INWOOD,
2014,Qtr 3,INWOOD,
2015,Qtr 3,INWOOD,11.75
2012,Qtr 3,IOWA CITY,265.12
2013,Qtr 3,IOWA CITY,300.97
2014,Qtr 3,IOWA CITY,327.19
2015,Qtr 3,IOWA CITY,427.04
2012,Qtr 3,IOWA FALLS,18.67
2013,Qtr 3,IOWA FALLS,32.53
2014,Qtr 3,IOWA FALLS,28.54
2015,Qtr 3,IOWA FALLS,31.52
2012,Qtr 3,JEFFERSON,36.91
2013,Qtr 3,JEFFERSON,20.48
2014,Qtr 3,JEFFERSON,22.2
2015,Qtr 3,JEFFERSON,22.92
2012,Qtr 3,JESUP,7.5
2013,Qtr 3,JESUP,
2014,Qtr 3,JESUP,
2015,Qtr 3,JESUP,
2012,Qtr 3,JOHNSTON,30.55
2013,Qtr 3,JOHNSTON,77.31
2014,Qtr 3,JOHNSTON,89.15
2015,Qtr 3,JOHNSTON,68.57
2012,Qtr 3,KEOKUK,51.3
2013,Qtr 3,KEOKUK,44.45
2014,Qtr 3,KEOKUK,118.41
2015,Qtr 3,KEOKUK,41.53
2012,Qtr 3,KEOTA,
2013,Qtr 3,KEOTA,
2014,Qtr 3,KEOTA,7.2
2015,Qtr 3,KEOTA,7.2
2012,Qtr 3,KINGSLEY,7.13
2013,Qtr 3,KINGSLEY,
2014,Qtr 3,KINGSLEY,7.69
2015,Qtr 3,KINGSLEY,
2012,Qtr 3,KNOXVILLE,11.37
2013,Qtr 3,KNOXVILLE,88.38
2014,Qtr 3,KNOXVILLE,29.77
2015,Qtr 3,KNOXVILLE,47.66
2012,Qtr 3,LA PORTE CITY,
2013,Qtr 3,LA PORTE CITY,6.5
2014,Qtr 3,LA PORTE CITY,28.69
2015,Qtr 3,LA PORTE CITY,
2012,Qtr 3,LAKE CITY,
2013,Qtr 3,LAKE CITY,
2014,Qtr 3,LAKE CITY,18
2015,Qtr 3,LAKE CITY,
2012,Qtr 3,LAKE MILLS,15.25
2013,Qtr 3,LAKE MILLS,4.13
2014,Qtr 3,LAKE MILLS,
2015,Qtr 3,LAKE MILLS,
2012,Qtr 3,LAKE VIEW,
2013,Qtr 3,LAKE VIEW,42.83
2014,Qtr 3,LAKE VIEW,6.3
2015,Qtr 3,LAKE VIEW,
2012,Qtr 3,LANSING,53.39
2013,Qtr 3,LANSING,16
2014,Qtr 3,LANSING,9.23
2015,Qtr 3,LANSING,7.11
2012,Qtr 3,LARCHWOOD,
2013,Qtr 3,LARCHWOOD,17.5
2014,Qtr 3,LARCHWOOD,
2015,Qtr 3,LARCHWOOD,12.59
2012,Qtr 3,LAURENS,
2013,Qtr 3,LAURENS,
2014,Qtr 3,LAURENS,7.54
2015,Qtr 3,LAURENS,
2012,Qtr 3,LAWLER,
2013,Qtr 3,LAWLER,
2014,Qtr 3,LAWLER,4.05
2015,Qtr 3,LAWLER,
2012,Qtr 3,LE CLAIRE,10.98
2013,Qtr 3,LE CLAIRE,
2014,Qtr 3,LE CLAIRE,
2015,Qtr 3,LE CLAIRE,10.97
2012,Qtr 3,LE GRAND,
2013,Qtr 3,LE GRAND,11.49
2014,Qtr 3,LE GRAND,3.71
2015,Qtr 3,LE GRAND,26.56
2012,Qtr 3,LE MARS,26.25
2013,Qtr 3,LE MARS,13
2014,Qtr 3,LE MARS,58.22
2015,Qtr 3,LE MARS,
2012,Qtr 3,LECLAIRE,12.81
2013,Qtr 3,LECLAIRE,4.4
2014,Qtr 3,LECLAIRE,45.75
2015,Qtr 3,LECLAIRE,30.53
2012,Qtr 3,LEMARS,15.42
2013,Qtr 3,LEMARS,59.75
2014,Qtr 3,LEMARS,73.28
2015,Qtr 3,LEMARS,8.2
2012,Qtr 3,LENOX,
2013,Qtr 3,LENOX,
2014,Qtr 3,LENOX,17.27
2015,Qtr 3,LENOX,
2012,Qtr 3,LOGAN,5.69
2013,Qtr 3,LOGAN,
2014,Qtr 3,LOGAN,
2015,Qtr 3,LOGAN,
2012,Qtr 3,LOVILIA,
2013,Qtr 3,LOVILIA,11.03
2014,Qtr 3,LOVILIA,
2015,Qtr 3,LOVILIA,
2012,Qtr 3,MADRID,8.2
2013,Qtr 3,MADRID,
2014,Qtr 3,MADRID,
2015,Qtr 3,MADRID,
2012,Qtr 3,MANCHESTER,
2013,Qtr 3,MANCHESTER,4.17
2014,Qtr 3,MANCHESTER,22.96
2015,Qtr 3,MANCHESTER,42.18
2012,Qtr 3,MANNING,
2013,Qtr 3,MANNING,
2014,Qtr 3,MANNING,
2015,Qtr 3,MANNING,6.81
2012,Qtr 3,MANSON,
2013,Qtr 3,MANSON,9.13
2014,Qtr 3,MANSON,13.55
2015,Qtr 3,MANSON,
2012,Qtr 3,MAPLETON,54.23
2013,Qtr 3,MAPLETON,
2014,Qtr 3,MAPLETON,21.3
2015,Qtr 3,MAPLETON,19.14
2012,Qtr 3,MAQUOKETA,29.73
2013,Qtr 3,MAQUOKETA,53.17
2014,Qtr 3,MAQUOKETA,19.05
