Digital Music ERA.Format (group),Sheet1.Year,Sum(Digital Music ERA.Adjusted value)
Other,2010,1.25638387
Compact Disc,2010,3.978314435
Vinyl,2010,0.10692628700000001
Streaming,2011,0.410980627
Download,2011,2.984155791
Other,2011,1.045522894
Compact Disc,2011,3.528455076
Vinyl,2011,0.140933622
Streaming,2012,0.6356159219999999
Download,2012,3.1960578359999996
Other,2012,1.0246600670000001
Compact Disc,2012,2.77157124
Vinyl,2012,0.184249459
Streaming,2013,0.9484077550000001
Download,2013,3.097314184
Other,2013,1.088141137
Compact Disc,2013,2.351674837
Vinyl,2013,0.234543283
Streaming,2014,1.138309475
Download,2014,2.685565162
Other,2014,1.2121894430000002
Compact Disc,2014,1.924430595
Vinyl,2014,0.269275066
Streaming,2015,1.648922133
Download,2015,2.433513552
Other,2015,1.22457952
Compact Disc,2015,1.565766719
Vinyl,2015,0.365803553
Streaming,2016,3.297131418
Download,2016,1.888659096
Other,2016,1.295437974
Compact Disc,2016,1.2077985699999998
Vinyl,2016,0.38380620200000004
Streaming,2017,5.245629997
Download,2017,1.4078358619999998
Other,2017,1.0026496089999999
Compact Disc,2017,1.107035512
Vinyl,2017,0.411551755
Streaming,2018,6.550386371
Download,2018,1.0102824129999999
Other,2018,1.317098125
Compact Disc,2018,0.714576714
Vinyl,2018,0.432206384
Streaming,2019,7.944627581
Download,2019,0.8111961670000001
Other,2019,1.235614117
Compact Disc,2019,0.615758762
Vinyl,2019,0.5043848670000001
