Orders.Order Date.Variation.Date Hierarchy.Year,Orders.Category,Orders.Sub-Category,Orders.City,Sum(Orders.Sales)
2015,Office Supplies,Accessories,East Point,
2015,Technology,Accessories,East Point,75
2015,Furniture,Accessories,Evanston,
2015,Office Supplies,Accessories,Evanston,
2015,Technology,Accessories,Evanston,43.56
2015,Furniture,Accessories,Everett,
2015,Office Supplies,Accessories,Everett,
2015,Technology,Accessories,Everett,259.98
2015,Furniture,Accessories,Florence,
2015,Office Supplies,Accessories,Florence,
2015,Technology,Accessories,Florence,79.96
2015,Furniture,Accessories,Frisco,
2015,Office Supplies,Accessories,Frisco,
2015,Technology,Accessories,Frisco,27.168000000000003
2015,Furniture,Accessories,Haltom City,
2015,Office Supplies,Accessories,Haltom City,
2015,Technology,Accessories,Haltom City,207.98400000000004
2015,Furniture,Accessories,Hattiesburg,
2015,Office Supplies,Accessories,Hattiesburg,
2015,Technology,Accessories,Hattiesburg,239.70000000000002
2015,Furniture,Accessories,Hillsboro,
2015,Office Supplies,Accessories,Hillsboro,
2015,Technology,Accessories,Hillsboro,53.040000000000006
2015,Furniture,Accessories,Hot Springs,
2015,Office Supplies,Accessories,Hot Springs,
2015,Technology,Accessories,Hot Springs,29.99
2015,Furniture,Accessories,Houston,
2015,Office Supplies,Accessories,Houston,
2015,Technology,Accessories,Houston,608.768
2015,Furniture,Accessories,Jacksonville,
2015,Office Supplies,Accessories,Jacksonville,
2015,Technology,Accessories,Jacksonville,1141.0320000000002
2015,Furniture,Accessories,Kenosha,
2015,Office Supplies,Accessories,Kenosha,
2015,Technology,Accessories,Kenosha,139.95
2015,Furniture,Accessories,La Quinta,
2015,Office Supplies,Accessories,La Quinta,
2015,Technology,Accessories,La Quinta,46.32
2015,Furniture,Accessories,Lakewood,
2015,Office Supplies,Accessories,Lakewood,
2015,Technology,Accessories,Lakewood,90
2015,Furniture,Accessories,Lawrence,
2015,Office Supplies,Accessories,Lawrence,
2015,Technology,Accessories,Lawrence,393.54
2015,Furniture,Accessories,Lewiston,
2015,Office Supplies,Accessories,Lewiston,
2015,Technology,Accessories,Lewiston,67.98
2015,Furniture,Accessories,Los Angeles,
2015,Office Supplies,Accessories,Los Angeles,
2015,Technology,Accessories,Los Angeles,3888.8699999999994
2015,Furniture,Accessories,Louisville,
2015,Office Supplies,Accessories,Louisville,
2015,Technology,Accessories,Louisville,326.54799999999994
2015,Furniture,Accessories,Mcallen,
2015,Office Supplies,Accessories,Mcallen,
2015,Technology,Accessories,Mcallen,69.12
2015,Furniture,Accessories,Medina,
2015,Office Supplies,Accessories,Medina,
2015,Technology,Accessories,Medina,89.584
2015,Furniture,Accessories,Miami,
2015,Office Supplies,Accessories,Miami,
2015,Technology,Accessories,Miami,184.56
2015,Furniture,Accessories,Milwaukee,
2015,Office Supplies,Accessories,Milwaukee,
2015,Technology,Accessories,Milwaukee,999.96
2015,Furniture,Accessories,Monroe,
2015,Office Supplies,Accessories,Monroe,
2015,Technology,Accessories,Monroe,160.2
2015,Furniture,Accessories,Murfreesboro,
2015,Office Supplies,Accessories,Murfreesboro,
2015,Technology,Accessories,Murfreesboro,77.47200000000001
2015,Furniture,Accessories,New York City,
2015,Office Supplies,Accessories,New York City,
2015,Technology,Accessories,New York City,9790.32
2015,Furniture,Accessories,Newark,
2015,Office Supplies,Accessories,Newark,
2015,Technology,Accessories,Newark,2250.1800000000003
2015,Furniture,Accessories,Oceanside,
2015,Office Supplies,Accessories,Oceanside,
2015,Technology,Accessories,Oceanside,913.9300000000001
2015,Furniture,Accessories,Omaha,
2015,Office Supplies,Accessories,Omaha,
2015,Technology,Accessories,Omaha,149.97
2015,Furniture,Accessories,Orland Park,
2015,Office Supplies,Accessories,Orland Park,
2015,Technology,Accessories,Orland Park,339.96000000000004
2015,Furniture,Accessories,Orlando,
2015,Office Supplies,Accessories,Orlando,
2015,Technology,Accessories,Orlando,87.168
2015,Furniture,Accessories,Pembroke Pines,
2015,Office Supplies,Accessories,Pembroke Pines,
2015,Technology,Accessories,Pembroke Pines,83.97600000000001
2015,Furniture,Accessories,Peoria,
2015,Office Supplies,Accessories,Peoria,
2015,Technology,Accessories,Peoria,282.88
2015,Furniture,Accessories,Philadelphia,
2015,Office Supplies,Accessories,Philadelphia,
2015,Technology,Accessories,Philadelphia,1281.072
2015,Furniture,Accessories,Phoenix,
2015,Office Supplies,Accessories,Phoenix,
2015,Technology,Accessories,Phoenix,23.344
2015,Furniture,Accessories,Plantation,
2015,Office Supplies,Accessories,Plantation,
2015,Technology,Accessories,Plantation,447.94399999999996
2015,Furniture,Accessories,Pomona,
2015,Office Supplies,Accessories,Pomona,
2015,Technology,Accessories,Pomona,199.96
2015,Furniture,Accessories,Portland,
2015,Office Supplies,Accessories,Portland,
2015,Technology,Accessories,Portland,239.80000000000004
2015,Furniture,Accessories,Providence,
2015,Office Supplies,Accessories,Providence,
2015,Technology,Accessories,Providence,199.98
2015,Furniture,Accessories,Quincy,
2015,Office Supplies,Accessories,Quincy,
2015,Technology,Accessories,Quincy,108.76800000000001
2015,Furniture,Accessories,Rochester,
2015,Office Supplies,Accessories,Rochester,
2015,Technology,Accessories,Rochester,31.95
2015,Furniture,Accessories,Roswell,
2015,Office Supplies,Accessories,Roswell,
2015,Technology,Accessories,Roswell,721.8899999999999
2015,Furniture,Accessories,Saint Charles,
2015,Office Supplies,Accessories,Saint Charles,
2015,Technology,Accessories,Saint Charles,637.44
2015,Furniture,Accessories,San Antonio,
2015,Office Supplies,Accessories,San Antonio,
2015,Technology,Accessories,San Antonio,497.472
2015,Furniture,Accessories,San Diego,
2015,Office Supplies,Accessories,San Diego,
2015,Technology,Accessories,San Diego,1093.5
2015,Furniture,Accessories,San Francisco,
2015,Office Supplies,Accessories,San Francisco,
2015,Technology,Accessories,San Francisco,1416.9899999999998
2015,Furniture,Accessories,Seattle,
2015,Office Supplies,Accessories,Seattle,
2015,Technology,Accessories,Seattle,2200.2000000000003
2015,Furniture,Accessories,South Bend,
2015,Office Supplies,Accessories,South Bend,
2015,Technology,Accessories,South Bend,831.2
2015,Furniture,Accessories,Spokane,
2015,Office Supplies,Accessories,Spokane,
2015,Technology,Accessories,Spokane,239.94
2015,Furniture,Accessories,Springfield,
2015,Office Supplies,Accessories,Springfield,
2015,Technology,Accessories,Springfield,403.10400000000004
2015,Furniture,Accessories,Tampa,
2015,Office Supplies,Accessories,Tampa,
2015,Technology,Accessories,Tampa,11.672
2015,Furniture,Accessories,Taylor,
2015,Office Supplies,Accessories,Taylor,
2015,Technology,Accessories,Taylor,41.9
2015,Furniture,Accessories,Temecula,
2015,Office Supplies,Accessories,Temecula,
2015,Technology,Accessories,Temecula,285.09000000000003
2015,Furniture,Accessories,Toledo,
2015,Office Supplies,Accessories,Toledo,
2015,Technology,Accessories,Toledo,10.384
2015,Furniture,Accessories,Utica,
2015,Office Supplies,Accessories,Utica,
2015,Technology,Accessories,Utica,79.99
2015,Furniture,Accessories,Visalia,
2015,Office Supplies,Accessories,Visalia,
2015,Technology,Accessories,Visalia,7.92
2015,Furniture,Appliances,Ann Arbor,
2015,Office Supplies,Appliances,Ann Arbor,29.403
2015,Technology,Appliances,Ann Arbor,
2015,Furniture,Appliances,Arlington,
2015,Office Supplies,Appliances,Arlington,36.269999999999996
2015,Technology,Appliances,Arlington,
2015,Furniture,Appliances,Atlanta,
2015,Office Supplies,Appliances,Atlanta,568.8
2015,Technology,Appliances,Atlanta,
2015,Furniture,Appliances,Aurora,
2015,Office Supplies,Appliances,Aurora,114.53
2015,Technology,Appliances,Aurora,
2015,Furniture,Appliances,Baltimore,
2015,Office Supplies,Appliances,Baltimore,77.58
2015,Technology,Appliances,Baltimore,
2015,Furniture,Appliances,Bolingbrook,
2015,Office Supplies,Appliances,Bolingbrook,5.767999999999999
2015,Technology,Appliances,Bolingbrook,
2015,Furniture,Appliances,Bristol,
2015,Office Supplies,Appliances,Bristol,137.62
2015,Technology,Appliances,Bristol,
2015,Furniture,Appliances,Carrollton,
2015,Office Supplies,Appliances,Carrollton,19.567999999999998
2015,Technology,Appliances,Carrollton,
2015,Furniture,Appliances,Chesapeake,
2015,Office Supplies,Appliances,Chesapeake,197.72
2015,Technology,Appliances,Chesapeake,
2015,Furniture,Appliances,Chicago,
2015,Office Supplies,Appliances,Chicago,377.1959999999999
2015,Technology,Appliances,Chicago,
2015,Furniture,Appliances,Clinton,
2015,Office Supplies,Appliances,Clinton,355.96
2015,Technology,Appliances,Clinton,
2015,Furniture,Appliances,Colorado Springs,
2015,Office Supplies,Appliances,Colorado Springs,60.98400000000001
2015,Technology,Appliances,Colorado Springs,
2015,Furniture,Appliances,Coral Springs,
2015,Office Supplies,Appliances,Coral Springs,394.12800000000004
2015,Technology,Appliances,Coral Springs,
2015,Furniture,Appliances,Dallas,
2015,Office Supplies,Appliances,Dallas,80.82399999999998
2015,Technology,Appliances,Dallas,
2015,Furniture,Appliances,Dearborn,
2015,Office Supplies,Appliances,Dearborn,555.21
2015,Technology,Appliances,Dearborn,
2015,Furniture,Appliances,Detroit,
2015,Office Supplies,Appliances,Detroit,1244.2679999999998
2015,Technology,Appliances,Detroit,
2015,Furniture,Appliances,Durham,
2015,Office Supplies,Appliances,Durham,98.352
2015,Technology,Appliances,Durham,
2015,Furniture,Appliances,Fort Worth,
2015,Office Supplies,Appliances,Fort Worth,93.39799999999998
2015,Technology,Appliances,Fort Worth,
2015,Furniture,Appliances,Frankfort,
2015,Office Supplies,Appliances,Frankfort,20.767999999999997
2015,Technology,Appliances,Frankfort,
2015,Furniture,Appliances,Hampton,
2015,Office Supplies,Appliances,Hampton,44.43
2015,Technology,Appliances,Hampton,
2015,Furniture,Appliances,Henderson,
2015,Office Supplies,Appliances,Henderson,316.38
2015,Technology,Appliances,Henderson,
2015,Furniture,Appliances,Houston,
2015,Office Supplies,Appliances,Houston,41.43599999999999
2015,Technology,Appliances,Houston,
2015,Furniture,Appliances,Jacksonville,
2015,Office Supplies,Appliances,Jacksonville,962.0799999999999
2015,Technology,Appliances,Jacksonville,
2015,Furniture,Appliances,Lansing,
2015,Office Supplies,Appliances,Lansing,644.076
2015,Technology,Appliances,Lansing,
2015,Furniture,Appliances,Las Vegas,
2015,Office Supplies,Appliances,Las Vegas,31.08
2015,Technology,Appliances,Las Vegas,
2015,Furniture,Appliances,Lawrence,
2015,Office Supplies,Appliances,Lawrence,133.67000000000002
2015,Technology,Appliances,Lawrence,
2015,Furniture,Appliances,Los Angeles,
2015,Office Supplies,Appliances,Los Angeles,3876.6099999999997
2015,Technology,Appliances,Los Angeles,
2015,Furniture,Appliances,Mcallen,
2015,Office Supplies,Appliances,Mcallen,73.16399999999999
2015,Technology,Appliances,Mcallen,
2015,Furniture,Appliances,Mesa,
2015,Office Supplies,Appliances,Mesa,60.672000000000004
2015,Technology,Appliances,Mesa,
2015,Furniture,Appliances,Midland,
2015,Office Supplies,Appliances,Midland,186.732
2015,Technology,Appliances,Midland,
2015,Furniture,Appliances,Milwaukee,
2015,Office Supplies,Appliances,Milwaukee,272.4
2015,Technology,Appliances,Milwaukee,
2015,Furniture,Appliances,Morristown,
2015,Office Supplies,Appliances,Morristown,2625.12
2015,Technology,Appliances,Morristown,
2015,Furniture,Appliances,New Castle,
2015,Office Supplies,Appliances,New Castle,60.69
2015,Technology,Appliances,New Castle,
2015,Furniture,Appliances,New York City,
2015,Office Supplies,Appliances,New York City,2122.3999999999996
2015,Technology,Appliances,New York City,
2015,Furniture,Appliances,Norwich,
2015,Office Supplies,Appliances,Norwich,370.14
2015,Technology,Appliances,Norwich,
2015,Furniture,Appliances,Paterson,
2015,Office Supplies,Appliances,Paterson,111.04
2015,Technology,Appliances,Paterson,
2015,Furniture,Appliances,Philadelphia,
2015,Office Supplies,Appliances,Philadelphia,670.296
2015,Technology,Appliances,Philadelphia,
2015,Furniture,Appliances,Phoenix,
2015,Office Supplies,Appliances,Phoenix,447.4240000000001
2015,Technology,Appliances,Phoenix,
2015,Furniture,Appliances,Pueblo,
2015,Office Supplies,Appliances,Pueblo,845.728
2015,Technology,Appliances,Pueblo,
2015,Furniture,Appliances,Redmond,
2015,Office Supplies,Appliances,Redmond,133.472
2015,Technology,Appliances,Redmond,
2015,Furniture,Appliances,Revere,
2015,Office Supplies,Appliances,Revere,61.96
2015,Technology,Appliances,Revere,
2015,Furniture,Appliances,Richmond,
2015,Office Supplies,Appliances,Richmond,194.32
2015,Technology,Appliances,Richmond,
2015,Furniture,Appliances,Riverside,
2015,Office Supplies,Appliances,Riverside,134.48
2015,Technology,Appliances,Riverside,
2015,Furniture,Appliances,Roseville,
2015,Office Supplies,Appliances,Roseville,715.64
2015,Technology,Appliances,Roseville,
2015,Furniture,Appliances,San Antonio,
2015,Office Supplies,Appliances,San Antonio,463.2479999999999
2015,Technology,Appliances,San Antonio,
2015,Furniture,Appliances,San Francisco,
2015,Office Supplies,Appliances,San Francisco,1674.8899999999999
2015,Technology,Appliances,San Francisco,
2015,Furniture,Appliances,Seattle,
2015,Office Supplies,Appliances,Seattle,177.2
2015,Technology,Appliances,Seattle,
2015,Furniture,Appliances,Springfield,
2015,Office Supplies,Appliances,Springfield,1094.0380000000002
2015,Technology,Appliances,Springfield,
2015,Furniture,Appliances,Toledo,
2015,Office Supplies,Appliances,Toledo,45.216
2015,Technology,Appliances,Toledo,
2015,Furniture,Appliances,Virginia Beach,
2015,Office Supplies,Appliances,Virginia Beach,182.91
2015,Technology,Appliances,Virginia Beach,
2015,Furniture,Art,Akron,
2015,Office Supplies,Art,Akron,14.352000000000002
2015,Technology,Art,Akron,
2015,Furniture,Art,Altoona,
2015,Office Supplies,Art,Altoona,16.032
2015,Technology,Art,Altoona,
2015,Furniture,Art,Atlanta,
2015,Office Supplies,Art,Atlanta,11.08
2015,Technology,Art,Atlanta,
2015,Furniture,Art,Auburn,
2015,Office Supplies,Art,Auburn,9.26
2015,Technology,Art,Auburn,
2015,Furniture,Art,Aurora,
2015,Office Supplies,Art,Aurora,36.784
2015,Technology,Art,Aurora,
2015,Furniture,Art,Avondale,
2015,Office Supplies,Art,Avondale,31.04
2015,Technology,Art,Avondale,
2015,Furniture,Art,Baltimore,
2015,Office Supplies,Art,Baltimore,35.58
2015,Technology,Art,Baltimore,
2015,Furniture,Art,Bellevue,
2015,Office Supplies,Art,Bellevue,5.28
2015,Technology,Art,Bellevue,
2015,Furniture,Art,Bloomington,
2015,Office Supplies,Art,Bloomington,13.120000000000001
2015,Technology,Art,Bloomington,
2015,Furniture,Art,Buffalo,
2015,Office Supplies,Art,Buffalo,2.78
2015,Technology,Art,Buffalo,
2015,Furniture,Art,Cambridge,
2015,Office Supplies,Art,Cambridge,17.12
2015,Technology,Art,Cambridge,
2015,Furniture,Art,Chester,
2015,Office Supplies,Art,Chester,200.96800000000002
2015,Technology,Art,Chester,
2015,Furniture,Art,Chicago,
2015,Office Supplies,Art,Chicago,14.927999999999999
2015,Technology,Art,Chicago,
2015,Furniture,Art,Chico,
2015,Office Supplies,Art,Chico,2.21
2015,Technology,Art,Chico,
2015,Furniture,Art,Clarksville,
2015,Office Supplies,Art,Clarksville,36.96
2015,Technology,Art,Clarksville,
2015,Furniture,Art,Clinton,
2015,Office Supplies,Art,Clinton,79.36
2015,Technology,Art,Clinton,
2015,Furniture,Art,Colorado Springs,
2015,Office Supplies,Art,Colorado Springs,31.384
2015,Technology,Art,Colorado Springs,
2015,Furniture,Art,Columbus,
2015,Office Supplies,Art,Columbus,20.128
2015,Technology,Art,Columbus,
2015,Furniture,Art,Dallas,
2015,Office Supplies,Art,Dallas,52.096
2015,Technology,Art,Dallas,
2015,Furniture,Art,Daytona Beach,
2015,Office Supplies,Art,Daytona Beach,2.624
2015,Technology,Art,Daytona Beach,
2015,Furniture,Art,Dearborn,
2015,Office Supplies,Art,Dearborn,161.82
2015,Technology,Art,Dearborn,
2015,Furniture,Art,Decatur,
2015,Office Supplies,Art,Decatur,24.78
2015,Technology,Art,Decatur,
2015,Furniture,Art,Detroit,
2015,Office Supplies,Art,Detroit,21.88
2015,Technology,Art,Detroit,
2015,Furniture,Art,Dublin,
2015,Office Supplies,Art,Dublin,27.168000000000003
2015,Technology,Art,Dublin,
2015,Furniture,Art,Durham,
2015,Office Supplies,Art,Durham,140.736
2015,Technology,Art,Durham,
2015,Furniture,Art,Eagan,
2015,Office Supplies,Art,Eagan,29.79
2015,Technology,Art,Eagan,
2015,Furniture,Art,Fayetteville,
2015,Office Supplies,Art,Fayetteville,10.272000000000002
2015,Technology,Art,Fayetteville,
2015,Furniture,Art,Florence,
2015,Office Supplies,Art,Florence,53.28
2015,Technology,Art,Florence,
2015,Furniture,Art,Fort Worth,
2015,Office Supplies,Art,Fort Worth,5.344
2015,Technology,Art,Fort Worth,
2015,Furniture,Art,Franklin,
2015,Office Supplies,Art,Franklin,14.466000000000001
2015,Technology,Art,Franklin,
2015,Furniture,Art,Freeport,
2015,Office Supplies,Art,Freeport,47.82
2015,Technology,Art,Freeport,
2015,Furniture,Art,Garden City,
2015,Office Supplies,Art,Garden City,5.76
2015,Technology,Art,Garden City,
2015,Furniture,Art,Greensboro,
2015,Office Supplies,Art,Greensboro,64.68
2015,Technology,Art,Greensboro,
2015,Furniture,Art,Hampton,
2015,Office Supplies,Art,Hampton,293.75999999999993
2015,Technology,Art,Hampton,
2015,Furniture,Art,Henderson,
2015,Office Supplies,Art,Henderson,42.76
2015,Technology,Art,Henderson,
2015,Furniture,Art,Houston,
2015,Office Supplies,Art,Houston,124.456
2015,Technology,Art,Houston,
2015,Furniture,Art,Huntsville,
2015,Office Supplies,Art,Huntsville,19.56
2015,Technology,Art,Huntsville,
2015,Furniture,Art,Indianapolis,
2015,Office Supplies,Art,Indianapolis,150.25
2015,Technology,Art,Indianapolis,
2015,Furniture,Art,Jackson,
2015,Office Supplies,Art,Jackson,63.839999999999996
2015,Technology,Art,Jackson,
2015,Furniture,Art,Jacksonville,
2015,Office Supplies,Art,Jacksonville,9.344
2015,Technology,Art,Jacksonville,
2015,Furniture,Art,Kenosha,
2015,Office Supplies,Art,Kenosha,14.98
2015,Technology,Art,Kenosha,
2015,Furniture,Art,Lakeland,
2015,Office Supplies,Art,Lakeland,71.456
2015,Technology,Art,Lakeland,
2015,Furniture,Art,Lakewood,
2015,Office Supplies,Art,Lakewood,16.9
2015,Technology,Art,Lakewood,
2015,Furniture,Art,Las Cruces,
2015,Office Supplies,Art,Las Cruces,8.28
2015,Technology,Art,Las Cruces,
2015,Furniture,Art,Lawrence,
2015,Office Supplies,Art,Lawrence,57.26
2015,Technology,Art,Lawrence,
2015,Furniture,Art,Lincoln Park,
2015,Office Supplies,Art,Lincoln Park,25.99
2015,Technology,Art,Lincoln Park,
2015,Furniture,Art,Los Angeles,
2015,Office Supplies,Art,Los Angeles,415.2099999999999
2015,Technology,Art,Los Angeles,
2015,Furniture,Art,Louisville,
2015,Office Supplies,Art,Louisville,6.848000000000001
2015,Technology,Art,Louisville,
2015,Furniture,Art,Marion,
2015,Office Supplies,Art,Marion,37.376
2015,Technology,Art,Marion,
2015,Furniture,Art,Mcallen,
2015,Office Supplies,Art,Mcallen,82.224
2015,Technology,Art,Mcallen,
2015,Furniture,Art,Meriden,
2015,Office Supplies,Art,Meriden,6.7
2015,Technology,Art,Meriden,
2015,Furniture,Art,Miami,
2015,Office Supplies,Art,Miami,51.007999999999996
2015,Technology,Art,Miami,
2015,Furniture,Art,Milwaukee,
2015,Office Supplies,Art,Milwaukee,57.75
2015,Technology,Art,Milwaukee,
2015,Furniture,Art,Monroe,
2015,Office Supplies,Art,Monroe,56.3
2015,Technology,Art,Monroe,
2015,Furniture,Art,Morristown,
2015,Office Supplies,Art,Morristown,17.94
2015,Technology,Art,Morristown,
2015,Furniture,Art,Nashville,
2015,Office Supplies,Art,Nashville,5.16
2015,Technology,Art,Nashville,
2015,Furniture,Art,New York City,
2015,Office Supplies,Art,New York City,424.67999999999995
2015,Technology,Art,New York City,
2015,Furniture,Art,Newark,
2015,Office Supplies,Art,Newark,9.84
2015,Technology,Art,Newark,
2015,Furniture,Art,Oxnard,
2015,Office Supplies,Art,Oxnard,99.2
2015,Technology,Art,Oxnard,
2015,Furniture,Art,Peoria,
2015,Office Supplies,Art,Peoria,10.272000000000002
2015,Technology,Art,Peoria,
2015,Furniture,Art,Perth Amboy,
2015,Office Supplies,Art,Perth Amboy,286.78999999999996
2015,Technology,Art,Perth Amboy,
2015,Furniture,Art,Philadelphia,
2015,Office Supplies,Art,Philadelphia,306.488
2015,Technology,Art,Philadelphia,
2015,Furniture,Art,Phoenix,
2015,Office Supplies,Art,Phoenix,2.304
2015,Technology,Art,Phoenix,
2015,Furniture,Art,Plantation,
2015,Office Supplies,Art,Plantation,11.76
2015,Technology,Art,Plantation,
2015,Furniture,Art,Portland,
2015,Office Supplies,Art,Portland,7.151999999999999
2015,Technology,Art,Portland,
2015,Furniture,Art,Pueblo,
2015,Office Supplies,Art,Pueblo,3.408
2015,Technology,Art,Pueblo,
2015,Furniture,Art,Redlands,
2015,Office Supplies,Art,Redlands,186.39
2015,Technology,Art,Redlands,
2015,Furniture,Art,Richmond,
2015,Office Supplies,Art,Richmond,10.16
2015,Technology,Art,Richmond,
2015,Furniture,Art,Rochester,
2015,Office Supplies,Art,Rochester,14.669999999999998
2015,Technology,Art,Rochester,
2015,Furniture,Art,Rockford,
2015,Office Supplies,Art,Rockford,128.744
2015,Technology,Art,Rockford,
2015,Furniture,Art,Roswell,
2015,Office Supplies,Art,Roswell,1.78
2015,Technology,Art,Roswell,
2015,Furniture,Art,Saint Charles,
2015,Office Supplies,Art,Saint Charles,59.903999999999996
2015,Technology,Art,Saint Charles,
2015,Furniture,Art,Saint Petersburg,
2015,Office Supplies,Art,Saint Petersburg,4.4479999999999995
2015,Technology,Art,Saint Petersburg,
2015,Furniture,Art,Salem,
2015,Office Supplies,Art,Salem,13.128
2015,Technology,Art,Salem,
2015,Furniture,Art,San Diego,
2015,Office Supplies,Art,San Diego,497.50999999999993
2015,Technology,Art,San Diego,
2015,Furniture,Art,San Francisco,
2015,Office Supplies,Art,San Francisco,109.48
2015,Technology,Art,San Francisco,
2015,Furniture,Art,Santa Ana,
2015,Office Supplies,Art,Santa Ana,56.3
2015,Technology,Art,Santa Ana,
2015,Furniture,Art,Santa Fe,
2015,Office Supplies,Art,Santa Fe,8.4
2015,Technology,Art,Santa Fe,
2015,Furniture,Art,Seattle,
2015,Office Supplies,Art,Seattle,283.99
2015,Technology,Art,Seattle,
2015,Furniture,Art,Smyrna,
2015,Office Supplies,Art,Smyrna,140.75
2015,Technology,Art,Smyrna,
2015,Furniture,Art,Sparks,
2015,Office Supplies,Art,Sparks,79.36
2015,Technology,Art,Sparks,
2015,Furniture,Art,Spokane,
2015,Office Supplies,Art,Spokane,23.84
2015,Technology,Art,Spokane,
2015,Furniture,Art,Springfield,
2015,Office Supplies,Art,Springfield,55.184000000000005
2015,Technology,Art,Springfield,
2015,Furniture,Art,Sterling Heights,
2015,Office Supplies,Art,Sterling Heights,79.36
2015,Technology,Art,Sterling Heights,
2015,Furniture,Art,Superior,
2015,Office Supplies,Art,Superior,17.12
2015,Technology,Art,Superior,
2015,Furniture,Art,Tampa,
2015,Office Supplies,Art,Tampa,172.704
2015,Technology,Art,Tampa,
2015,Furniture,Art,Toledo,
2015,Office Supplies,Art,Toledo,18.240000000000002
2015,Technology,Art,Toledo,
2015,Furniture,Art,Tucson,
2015,Office Supplies,Art,Tucson,86.304
2015,Technology,Art,Tucson,
2015,Furniture,Art,Vineland,
2015,Office Supplies,Art,Vineland,11.12
2015,Technology,Art,Vineland,
2015,Furniture,Art,Washington,
2015,Office Supplies,Art,Washington,22.740000000000002
2015,Technology,Art,Washington,
2015,Furniture,Art,West Palm Beach,
2015,Office Supplies,Art,West Palm Beach,13.120000000000001
2015,Technology,Art,West Palm Beach,
2015,Furniture,Art,Wichita,
2015,Office Supplies,Art,Wichita,21.240000000000002
2015,Technology,Art,Wichita,
2015,Furniture,Art,Wilmington,
2015,Office Supplies,Art,Wilmington,31.919999999999998
2015,Technology,Art,Wilmington,
2015,Furniture,Art,Yucaipa,
2015,Office Supplies,Art,Yucaipa,50.8
2015,Technology,Art,Yucaipa,
2015,Furniture,Binders,Akron,
2015,Office Supplies,Binders,Akron,17.238000000000003
2015,Technology,Binders,Akron,
2015,Furniture,Binders,Allen,
2015,Office Supplies,Binders,Allen,8.783999999999999
2015,Technology,Binders,Allen,
2015,Furniture,Binders,Allentown,
2015,Office Supplies,Binders,Allentown,99.58800000000001
2015,Technology,Binders,Allentown,
2015,Furniture,Binders,Altoona,
2015,Office Supplies,Binders,Altoona,4.4190000000000005
2015,Technology,Binders,Altoona,
2015,Furniture,Binders,Anaheim,
2015,Office Supplies,Binders,Anaheim,25.031999999999996
2015,Technology,Binders,Anaheim,
2015,Furniture,Binders,Ann Arbor,
