Orders.Segment,Orders.Region,Orders.State,Sum(Orders.Quantity),CountNonNull(Orders.Row ID),Sum(Orders.Sales),Avg(Orders.Postal Code),Sum(Orders.Profit),Min(Orders.Ship Mode),Sum(Orders.Discount)
Home Office,South,Georgia,149,40,8666.47,30852.6,2653.1057,First Class,0
Consumer,South,South Carolina,85,22,5539.750000000001,29288.68181818182,1012.0717000000002,First Class,0
Corporate,South,South Carolina,83,19,2916.039999999999,29290.21052631579,744.5432999999999,First Class,0
Home Office,South,South Carolina,4,1,25.92,29203,12.441600000000001,Standard Class,0
Consumer,South,North Carolina,578,142,29997.226000000013,28163.436619718308,-2688.7785000000003,First Class,39.299999999999955
Corporate,South,North Carolina,287,75,18656.746,27962.76,-3811.6971999999987,First Class,21.699999999999978
Home Office,South,North Carolina,118,32,6949.192000000001,28061.53125,-990.4365000000005,Same Day,9.600000000000001
Consumer,South,Virginia,473,117,35683.630000000005,22991.82905982906,9526.862799999997,First Class,0
Corporate,South,Virginia,263,62,27501.48,22666.90322580645,7308.477399999996,First Class,0
Home Office,South,Virginia,157,45,7451.61,22865.4,1762.6101999999996,First Class,0
Consumer,East,Ohio,917,255,43194.02400000001,43794.10196078431,-11274.833400000005,First Class,83.1999999999999
Corporate,East,Ohio,482,123,24209.97299999999,43846.455284552845,-4947.415200000002,First Class,40.399999999999984
Home Office,East,Ohio,360,91,10854.139000000001,44167.318681318684,-749.1280000000005,First Class,28.799999999999994
Consumer,East,West Virginia,3,1,673.3439999999999,26003,-76.9536,Same Day,0.3
Corporate,East,West Virginia,,,,,,,
Home Office,East,West Virginia,15,3,536.48,26003,262.8752,Standard Class,0
Consumer,East,Maryland,175,46,10054.013,21011.130434782608,3271.5449,First Class,0.6
Corporate,East,Maryland,188,44,11386.13,21013.795454545456,3040.3431,First Class,0
Home Office,East,Maryland,57,15,2265.3800000000006,21041.4,719.2908,Standard Class,0
Consumer,East,District of Columbia,24,7,2753.3399999999992,20016,1011.2964999999999,Standard Class,0
Corporate,East,District of Columbia,,,,,,,
Home Office,East,District of Columbia,16,3,111.67999999999999,20016,48.2928,Second Class,0
Consumer,East,Delaware,186,49,16961.763,19772.714285714286,6894.900600000002,First Class,0.3
Corporate,East,Delaware,146,36,8311.655999999999,19737.166666666668,2193.3383000000003,First Class,0.3
Home Office,East,Delaware,35,11,2177.6500000000005,19736.636363636364,889.1358999999999,First Class,0
Consumer,East,Pennsylvania,1007,284,66899.29299999999,19090.588028169015,-7291.467600000002,First Class,93.59999999999994
Corporate,East,Pennsylvania,736,196,31130.061000000012,19020.066326530614,-5197.4417,First Class,65.89999999999996
Home Office,East,Pennsylvania,410,107,18482.56,19073.8785046729,-3071.0510000000004,First Class,33.39999999999999
Consumer,East,New York,2404,643,175209.03500000015,10540.307931570762,39640.518300000054,First Class,36.200000000000045
Corporate,East,New York,1195,321,77951.31299999995,10487.392523364486,16524.548099999996,First Class,18.500000000000004
Home Office,East,New York,625,164,57715.92300000002,10316.158536585366,17873.482200000006,First Class,7.699999999999997
Consumer,East,New Jersey,194,57,13333.981999999995,7632.333333333333,3415.253600000001,First Class,0.6
Corporate,East,New Jersey,182,50,18268.190000000002,7956.28,5170.488499999998,First Class,0
Home Office,East,New Jersey,78,23,4162.139999999999,7612.04347826087,1187.1717,Second Class,0
Consumer,East,Connecticut,149,43,5933.476999999999,6497.116279069767,1510.3508000000006,First Class,0.3
Corporate,East,Connecticut,94,27,5715.69,6374.111111111111,1474.2904,First Class,0.3
Home Office,East,Connecticut,38,12,1735.1899999999998,6627.333333333333,526.8506000000001,First Class,0
Consumer,East,Vermont,12,5,1352.3799999999999,5408,375.11599999999993,Second Class,0
Corporate,East,Vermont,33,5,6282.239999999999,5408,1533.2273,Standard Class,0
Home Office,East,Vermont,5,1,1294.75,5408,336.635,Standard Class,0
Consumer,East,Maine,,,,,,,
Corporate,East,Maine,29,5,1164.45,4401,422.2204,Standard Class,0
Home Office,East,Maine,6,3,106.08000000000001,4240,32.2658,Standard Class,0
Consumer,East,New Hampshire,19,6,908.6399999999999,3433.8333333333335,406.44579999999996,First Class,0
Corporate,East,New Hampshire,49,9,968.8999999999999,3562.5555555555557,290.33140000000003,Second Class,0
Home Office,East,New Hampshire,59,12,5414.9839999999995,3430.75,1009.7256,Second Class,0.3
Consumer,East,Rhode Island,48,15,2483.3360000000007,2913.5333333333333,616.9114999999999,First Class,0.3
Corporate,East,Rhode Island,70,21,5381.15,2904.904761904762,1148.8849000000005,First Class,0.8999999999999999
Home Office,East,Rhode Island,81,20,14763.47,2908.6,5519.832899999999,First Class,0
Consumer,East,Massachusetts,209,58,11151.539999999999,1974.448275862069,2691.9009000000005,First Class,1.2
Corporate,East,Massachusetts,154,40,9639.593999999997,1962.675,1969.7634,First Class,0.3
Home Office,East,Massachusetts,128,37,7843.3,2034.3243243243244,2123.8373000000006,First Class,0.6
