Superstore 2023.Category,Dates.Date,Key measures.Total sales,Key measures.Total YTD
Furniture,"Monday, March 02, 2020",,9976.178
Furniture,"Tuesday, March 03, 2020",928.802,10904.98
Furniture,"Wednesday, March 04, 2020",,10904.98
Furniture,"Thursday, March 05, 2020",,10904.98
Furniture,"Friday, March 06, 2020",,10904.98
Furniture,"Saturday, March 07, 2020",966.984,11871.964
Furniture,"Sunday, March 08, 2020",,11871.964
Furniture,"Monday, March 09, 2020",,11871.964
Furniture,"Tuesday, March 10, 2020",,11871.964
Furniture,"Wednesday, March 11, 2020",8.32,11880.284
Furniture,"Thursday, March 12, 2020",,11880.284
Furniture,"Friday, March 13, 2020",,11880.284
Furniture,"Saturday, March 14, 2020",1139.92,13020.204
Furniture,"Sunday, March 15, 2020",45.696,13065.9
Furniture,"Monday, March 16, 2020",,13065.9
Furniture,"Tuesday, March 17, 2020",3265.23,16331.13
Furniture,"Wednesday, March 18, 2020",1462.45,17793.579999999998
Furniture,"Thursday, March 19, 2020",25.008,17818.588
Furniture,"Friday, March 20, 2020",,17818.588
Furniture,"Saturday, March 21, 2020",251.328,18069.916
Furniture,"Sunday, March 22, 2020",314.352,18384.268
Furniture,"Monday, March 23, 2020",,18384.268
Furniture,"Tuesday, March 24, 2020",40.48,18424.748
Furniture,"Wednesday, March 25, 2020",366.786,18791.534
Furniture,"Thursday, March 26, 2020",,18791.534
Furniture,"Friday, March 27, 2020",,18791.534
Furniture,"Saturday, March 28, 2020",1515.308,20306.842
Furniture,"Sunday, March 29, 2020",890.841,21197.683
Furniture,"Monday, March 30, 2020",332.968,21530.651
Furniture,"Tuesday, March 31, 2020",1125.488,22656.139000000003
Furniture,"Wednesday, April 01, 2020",,22656.139000000003
Furniture,"Thursday, April 02, 2020",177.68,22833.819000000003
Furniture,"Friday, April 03, 2020",,22833.819000000003
Furniture,"Saturday, April 04, 2020",5.47,22839.289000000004
Furniture,"Sunday, April 05, 2020",,22839.289000000004
Furniture,"Monday, April 06, 2020",933.384,23772.673000000003
Furniture,"Tuesday, April 07, 2020",8.96,23781.633
Furniture,"Wednesday, April 08, 2020",1487.622,25269.255
Furniture,"Thursday, April 09, 2020",,25269.255
Furniture,"Friday, April 10, 2020",,25269.255
Furniture,"Saturday, April 11, 2020",,25269.255
Furniture,"Sunday, April 12, 2020",308.499,25577.754
Furniture,"Monday, April 13, 2020",,25577.754
Furniture,"Tuesday, April 14, 2020",,25577.754
Furniture,"Wednesday, April 15, 2020",187.76,25765.514
Furniture,"Thursday, April 16, 2020",,25765.514
Furniture,"Friday, April 17, 2020",,25765.514
Furniture,"Saturday, April 18, 2020",317.058,26082.572
Furniture,"Sunday, April 19, 2020",76.14,26158.712
Furniture,"Monday, April 20, 2020",1205.61,27364.322
Furniture,"Tuesday, April 21, 2020",,27364.322
Furniture,"Wednesday, April 22, 2020",,27364.322
Furniture,"Thursday, April 23, 2020",585.08,27949.402000000002
Furniture,"Friday, April 24, 2020",,27949.402000000002
Furniture,"Saturday, April 25, 2020",1790.29,29739.692000000003
Furniture,"Sunday, April 26, 2020",230.28,29969.972
Furniture,"Monday, April 27, 2020",,29969.972
Furniture,"Tuesday, April 28, 2020",,29969.972
Furniture,"Wednesday, April 29, 2020",631.004,30600.976000000002
Furniture,"Thursday, April 30, 2020",,30600.976000000002
Furniture,"Friday, May 01, 2020",,30600.976000000002
Furniture,"Saturday, May 02, 2020",,30600.976000000002
Furniture,"Sunday, May 03, 2020",,30600.976000000002
Furniture,"Monday, May 04, 2020",39.64,30640.616
Furniture,"Tuesday, May 05, 2020",127.869,30768.485
Furniture,"Wednesday, May 06, 2020",,30768.485
Furniture,"Thursday, May 07, 2020",1066.57,31835.055
Furniture,"Friday, May 08, 2020",,31835.055
Furniture,"Saturday, May 09, 2020",,31835.055
Furniture,"Sunday, May 10, 2020",606.749,32441.804
Furniture,"Monday, May 11, 2020",1279.072,33720.876
Furniture,"Tuesday, May 12, 2020",734.846,34455.721999999994
Furniture,"Wednesday, May 13, 2020",279.456,34735.17799999999
Furniture,"Thursday, May 14, 2020",310.88,35046.05799999999
Furniture,"Friday, May 15, 2020",,35046.05799999999
Furniture,"Saturday, May 16, 2020",232.88,35278.93799999999
Furniture,"Sunday, May 17, 2020",,35278.93799999999
Furniture,"Monday, May 18, 2020",149.232,35428.16999999999
Furniture,"Tuesday, May 19, 2020",,35428.16999999999
Furniture,"Wednesday, May 20, 2020",150.192,35578.361999999994
Furniture,"Thursday, May 21, 2020",107.772,35686.13399999999
Furniture,"Friday, May 22, 2020",,35686.13399999999
Furniture,"Saturday, May 23, 2020",,35686.13399999999
Furniture,"Sunday, May 24, 2020",,35686.13399999999
Furniture,"Monday, May 25, 2020",29.32,35715.45399999999
Furniture,"Tuesday, May 26, 2020",875.734,36591.18799999999
Furniture,"Wednesday, May 27, 2020",567.12,37158.30799999999
Furniture,"Thursday, May 28, 2020",,37158.30799999999
Furniture,"Friday, May 29, 2020",,37158.30799999999
Furniture,"Saturday, May 30, 2020",355.455,37513.76299999999
Furniture,"Sunday, May 31, 2020",,37513.76299999999
Furniture,"Monday, June 01, 2020",2024.06,39537.82299999999
Furniture,"Tuesday, June 02, 2020",73.32,39611.14299999999
Furniture,"Wednesday, June 03, 2020",577.424,40188.56699999999
Furniture,"Thursday, June 04, 2020",424.488,40613.054999999986
Furniture,"Friday, June 05, 2020",,40613.054999999986
Furniture,"Saturday, June 06, 2020",991.764,41604.81899999999
Furniture,"Sunday, June 07, 2020",268.935,41873.753999999986
Furniture,"Monday, June 08, 2020",755.904,42629.65799999999
Furniture,"Tuesday, June 09, 2020",3233.744,45863.40199999999
Furniture,"Wednesday, June 10, 2020",,45863.40199999999
Furniture,"Thursday, June 11, 2020",,45863.40199999999
Furniture,"Friday, June 12, 2020",,45863.40199999999
Furniture,"Saturday, June 13, 2020",,45863.40199999999
Furniture,"Sunday, June 14, 2020",212.94,46076.34199999999
Furniture,"Monday, June 15, 2020",897.862,46974.20399999999
Furniture,"Tuesday, June 16, 2020",647.84,47622.04399999999
Furniture,"Wednesday, June 17, 2020",6.24,47628.283999999985
Furniture,"Thursday, June 18, 2020",,47628.283999999985
Furniture,"Friday, June 19, 2020",,47628.283999999985
Furniture,"Saturday, June 20, 2020",193.0656,47821.34959999999
Furniture,"Sunday, June 21, 2020",107.994,47929.343599999986
Furniture,"Monday, June 22, 2020",1023.988,48953.33159999998
Furniture,"Tuesday, June 23, 2020",,48953.33159999998
Furniture,"Wednesday, June 24, 2020",4.272,48957.60359999998
Furniture,"Thursday, June 25, 2020",447.84,49405.44359999998
Furniture,"Friday, June 26, 2020",,49405.44359999998
Furniture,"Saturday, June 27, 2020",85.98,49491.42359999998
Furniture,"Sunday, June 28, 2020",1228.465,50719.88859999998
Furniture,"Monday, June 29, 2020",,50719.88859999998
Furniture,"Tuesday, June 30, 2020",,50719.88859999998
Furniture,"Wednesday, July 01, 2020",,50719.88859999998
Furniture,"Thursday, July 02, 2020",,50719.88859999998
Furniture,"Friday, July 03, 2020",,50719.88859999998
Furniture,"Saturday, July 04, 2020",,50719.88859999998
Furniture,"Sunday, July 05, 2020",232.736,50952.624599999974
Furniture,"Monday, July 06, 2020",478.48,51431.10459999998
Furniture,"Tuesday, July 07, 2020",241.194,51672.29859999998
Furniture,"Wednesday, July 08, 2020",566.37,52238.66859999998
Furniture,"Thursday, July 09, 2020",119.833,52358.50159999998
Furniture,"Friday, July 10, 2020",,52358.50159999998
Furniture,"Saturday, July 11, 2020",979.05,53337.551599999984
Furniture,"Sunday, July 12, 2020",1333.846,54671.39759999998
Furniture,"Monday, July 13, 2020",351.216,55022.61359999998
Furniture,"Tuesday, July 14, 2020",31.984,55054.59759999998
Furniture,"Wednesday, July 15, 2020",,55054.59759999998
Furniture,"Thursday, July 16, 2020",,55054.59759999998
Furniture,"Friday, July 17, 2020",,55054.59759999998
Furniture,"Saturday, July 18, 2020",259.136,55313.73359999998
Furniture,"Sunday, July 19, 2020",70.56,55384.293599999975
Furniture,"Monday, July 20, 2020",1041.132,56425.42559999997
Furniture,"Tuesday, July 21, 2020",1732.346,58157.77159999997
Furniture,"Wednesday, July 22, 2020",888.072,59045.84359999997
Furniture,"Thursday, July 23, 2020",,59045.84359999997
Furniture,"Friday, July 24, 2020",,59045.84359999997
Furniture,"Saturday, July 25, 2020",77.92,59123.76359999997
Furniture,"Sunday, July 26, 2020",919.448,60043.211599999966
Furniture,"Monday, July 27, 2020",,60043.211599999966
Furniture,"Tuesday, July 28, 2020",129.888,60173.099599999965
Furniture,"Wednesday, July 29, 2020",,60173.099599999965
Furniture,"Thursday, July 30, 2020",1367.84,61540.93959999996
Furniture,"Friday, July 31, 2020",,61540.93959999996
Furniture,"Saturday, August 01, 2020",44.128,61585.06759999996
Furniture,"Sunday, August 02, 2020",,61585.06759999996
Furniture,"Monday, August 03, 2020",218.75,61803.81759999996
Furniture,"Tuesday, August 04, 2020",,61803.81759999996
Furniture,"Wednesday, August 05, 2020",1962.724,63766.54159999996
Furniture,"Thursday, August 06, 2020",,63766.54159999996
Furniture,"Friday, August 07, 2020",,63766.54159999996
Furniture,"Saturday, August 08, 2020",658.472,64425.01359999996
Furniture,"Sunday, August 09, 2020",,64425.01359999996
Furniture,"Monday, August 10, 2020",,64425.01359999996
Furniture,"Tuesday, August 11, 2020",12.35,64437.36359999996
Furniture,"Wednesday, August 12, 2020",85.44,64522.80359999996
Furniture,"Thursday, August 13, 2020",,64522.80359999996
Furniture,"Friday, August 14, 2020",,64522.80359999996
Furniture,"Saturday, August 15, 2020",195.136,64717.93959999996
Furniture,"Sunday, August 16, 2020",853.092,65571.03159999996
Furniture,"Monday, August 17, 2020",,65571.03159999996
Furniture,"Tuesday, August 18, 2020",,65571.03159999996
Furniture,"Wednesday, August 19, 2020",928.06,66499.09159999996
Furniture,"Thursday, August 20, 2020",921.612,67420.70359999995
Furniture,"Friday, August 21, 2020",,67420.70359999995
Furniture,"Saturday, August 22, 2020",,67420.70359999995
Furniture,"Sunday, August 23, 2020",4.224,67424.92759999995
Furniture,"Monday, August 24, 2020",13.28,67438.20759999995
Furniture,"Tuesday, August 25, 2020",6.28,67444.48759999995
Furniture,"Wednesday, August 26, 2020",10.68,67455.16759999994
Furniture,"Thursday, August 27, 2020",1232.06,68687.22759999994
Furniture,"Friday, August 28, 2020",,68687.22759999994
Furniture,"Saturday, August 29, 2020",174.0585,68861.28609999994
Furniture,"Sunday, August 30, 2020",,68861.28609999994
Furniture,"Monday, August 31, 2020",,68861.28609999994
Furniture,"Tuesday, September 01, 2020",,68861.28609999994
Furniture,"Wednesday, September 02, 2020",70.71,68931.99609999995
Furniture,"Thursday, September 03, 2020",,68931.99609999995
Furniture,"Friday, September 04, 2020",,68931.99609999995
Furniture,"Saturday, September 05, 2020",31.984,68963.98009999994
Furniture,"Sunday, September 06, 2020",41.88,69005.86009999995
Furniture,"Monday, September 07, 2020",1714.593,70720.45309999994
Furniture,"Tuesday, September 08, 2020",3855.444,74575.89709999994
Furniture,"Wednesday, September 09, 2020",864.024,75439.92109999995
Furniture,"Thursday, September 10, 2020",1741.94,77181.86109999995
Furniture,"Friday, September 11, 2020",127.95,77309.81109999995
Furniture,"Saturday, September 12, 2020",3825.852,81135.66309999995
Furniture,"Sunday, September 13, 2020",354.306,81489.96909999994
Furniture,"Monday, September 14, 2020",629.78,82119.74909999994
Furniture,"Tuesday, September 15, 2020",118.496,82238.24509999994
Furniture,"Wednesday, September 16, 2020",,82238.24509999994
Furniture,"Thursday, September 17, 2020",35.34,82273.58509999994
Furniture,"Friday, September 18, 2020",,82273.58509999994
Furniture,"Saturday, September 19, 2020",961.018,83234.60309999993
Furniture,"Sunday, September 20, 2020",3071.64,86306.24309999993
Furniture,"Monday, September 21, 2020",8.544,86314.78709999993
Furniture,"Tuesday, September 22, 2020",676.968,86991.75509999992
Furniture,"Wednesday, September 23, 2020",435.999,87427.75409999992
Furniture,"Thursday, September 24, 2020",,87427.75409999992
Furniture,"Friday, September 25, 2020",300.5328,87728.28689999992
Furniture,"Saturday, September 26, 2020",752.304,88480.59089999992
Furniture,"Sunday, September 27, 2020",691.46,89172.05089999993
Furniture,"Monday, September 28, 2020",337.088,89509.13889999993
Furniture,"Tuesday, September 29, 2020",3153.388,92662.52689999994
Furniture,"Wednesday, September 30, 2020",15.24,92677.76689999994
Furniture,"Thursday, October 01, 2020",,92677.76689999994
Furniture,"Friday, October 02, 2020",,92677.76689999994
Furniture,"Saturday, October 03, 2020",555.839,93233.60589999995
Furniture,"Sunday, October 04, 2020",589.41,93823.01589999995
Furniture,"Monday, October 05, 2020",,93823.01589999995
Furniture,"Tuesday, October 06, 2020",,93823.01589999995
Furniture,"Wednesday, October 07, 2020",129.92,93952.93589999995
Furniture,"Thursday, October 08, 2020",,93952.93589999995
Furniture,"Friday, October 09, 2020",,93952.93589999995
Furniture,"Saturday, October 10, 2020",169.224,94122.15989999996
Furniture,"Sunday, October 11, 2020",505.958,94628.11789999995
Furniture,"Monday, October 12, 2020",,94628.11789999995
Furniture,"Tuesday, October 13, 2020",1544.53,96172.64789999995
Furniture,"Wednesday, October 14, 2020",1628.82,97801.46789999996
Furniture,"Thursday, October 15, 2020",198.756,98000.22389999995
Furniture,"Friday, October 16, 2020",,98000.22389999995
Furniture,"Saturday, October 17, 2020",5.312,98005.53589999996
Furniture,"Sunday, October 18, 2020",1151.22,99156.75589999996
Furniture,"Monday, October 19, 2020",,99156.75589999996
Furniture,"Tuesday, October 20, 2020",328.59,99485.34589999996
Furniture,"Wednesday, October 21, 2020",1000.91,100486.25589999996
Furniture,"Thursday, October 22, 2020",223.808,100710.06389999996
Furniture,"Friday, October 23, 2020",,100710.06389999996
Furniture,"Saturday, October 24, 2020",,100710.06389999996
Furniture,"Sunday, October 25, 2020",,100710.06389999996
Furniture,"Monday, October 26, 2020",63.92,100773.98389999996
Furniture,"Tuesday, October 27, 2020",,100773.98389999996
Furniture,"Wednesday, October 28, 2020",616.998,101390.98189999997
Furniture,"Thursday, October 29, 2020",,101390.98189999997
Furniture,"Friday, October 30, 2020",,101390.98189999997
Furniture,"Saturday, October 31, 2020",3591.032,104982.01389999998
Furniture,"Sunday, November 01, 2020",100.384,105082.39789999998
Furniture,"Monday, November 02, 2020",89.34,105171.73789999998
Furniture,"Tuesday, November 03, 2020",1355.388,106527.12589999998
Furniture,"Wednesday, November 04, 2020",744.95,107272.07589999998
Furniture,"Thursday, November 05, 2020",443.508,107715.58389999998
Furniture,"Friday, November 06, 2020",,107715.58389999998
Furniture,"Saturday, November 07, 2020",683.144,108398.72789999998
Furniture,"Sunday, November 08, 2020",,108398.72789999998
Furniture,"Monday, November 09, 2020",279.186,108677.91389999999
Furniture,"Tuesday, November 10, 2020",657.02,109334.93389999999
Furniture,"Wednesday, November 11, 2020",2071.424,111406.35789999999
Furniture,"Thursday, November 12, 2020",722.1852,112128.5431
Furniture,"Friday, November 13, 2020",,112128.5431
Furniture,"Saturday, November 14, 2020",69.264,112197.80709999999
Furniture,"Sunday, November 15, 2020",10.11,112207.91709999999
Furniture,"Monday, November 16, 2020",343.2705,112551.18759999999
Furniture,"Tuesday, November 17, 2020",5270.08,117821.26759999999
Furniture,"Wednesday, November 18, 2020",2191.732,120012.9996
Furniture,"Thursday, November 19, 2020",1025.88,121038.8796
Furniture,"Friday, November 20, 2020",,121038.8796
Furniture,"Saturday, November 21, 2020",,121038.8796
Furniture,"Sunday, November 22, 2020",,121038.8796
Furniture,"Monday, November 23, 2020",1147.1,122185.9796
Furniture,"Tuesday, November 24, 2020",1029.808,123215.78760000001
Furniture,"Wednesday, November 25, 2020",2302.967,125518.75460000001
Furniture,"Thursday, November 26, 2020",19.3,125538.05460000002
Furniture,"Friday, November 27, 2020",199.9,125737.95460000001
Furniture,"Saturday, November 28, 2020",808.932,126546.88660000001
Furniture,"Sunday, November 29, 2020",,126546.88660000001
Furniture,"Monday, November 30, 2020",,126546.88660000001
Furniture,"Tuesday, December 01, 2020",4513.606,131060.49260000001
Furniture,"Wednesday, December 02, 2020",1282.8,132343.29260000002
Furniture,"Thursday, December 03, 2020",,132343.29260000002
Furniture,"Friday, December 04, 2020",,132343.29260000002
Furniture,"Saturday, December 05, 2020",,132343.29260000002
Furniture,"Sunday, December 06, 2020",525.192,132868.48460000003
Furniture,"Monday, December 07, 2020",,132868.48460000003
Furniture,"Tuesday, December 08, 2020",723.24,133591.72460000002
Furniture,"Wednesday, December 09, 2020",,133591.72460000002
Furniture,"Thursday, December 10, 2020",338.352,133930.07660000003
Furniture,"Friday, December 11, 2020",,133930.07660000003
Furniture,"Saturday, December 12, 2020",4695.6005,138625.67710000003
Furniture,"Sunday, December 13, 2020",182.388,138808.06510000004
Furniture,"Monday, December 14, 2020",322.834,139130.89910000004
Furniture,"Tuesday, December 15, 2020",1223.786,140354.68510000003
Furniture,"Wednesday, December 16, 2020",2798.432,143153.11710000003
Furniture,"Thursday, December 17, 2020",,143153.11710000003
Furniture,"Friday, December 18, 2020",,143153.11710000003
Furniture,"Saturday, December 19, 2020",1819.86,144972.97710000002
Furniture,"Sunday, December 20, 2020",4039.814,149012.79110000003
Furniture,"Monday, December 21, 2020",1897.92,150910.71110000004
Furniture,"Tuesday, December 22, 2020",,150910.71110000004
Furniture,"Wednesday, December 23, 2020",118.1,151028.81110000005
Furniture,"Thursday, December 24, 2020",346.622,151375.43310000005
Furniture,"Friday, December 25, 2020",,151375.43310000005
Furniture,"Saturday, December 26, 2020",1353.158,152728.59110000005
Furniture,"Sunday, December 27, 2020",1212.798,153941.38910000006
Furniture,"Monday, December 28, 2020",,153941.38910000006
Furniture,"Tuesday, December 29, 2020",143.172,154084.56110000005
Furniture,"Wednesday, December 30, 2020",523.764,154608.32510000005
Furniture,"Thursday, December 31, 2020",2584.528,157192.85310000004
Furniture,"Saturday, January 02, 2021",452.45,452.45
Furniture,"Sunday, January 03, 2021",1352.3976,1804.8476
Furniture,"Monday, January 04, 2021",192.22,1997.0676
Furniture,"Tuesday, January 05, 2021",61.584,2058.6516
Furniture,"Wednesday, January 06, 2021",,2058.6516
Furniture,"Thursday, January 07, 2021",,2058.6516
Furniture,"Friday, January 08, 2021",,2058.6516
Furniture,"Saturday, January 09, 2021",,2058.6516
Furniture,"Sunday, January 10, 2021",1018.104,3076.7556000000004
Furniture,"Monday, January 11, 2021",,3076.7556000000004
Furniture,"Tuesday, January 12, 2021",,3076.7556000000004
Furniture,"Wednesday, January 13, 2021",542.45,3619.2056000000002
Furniture,"Thursday, January 14, 2021",,3619.2056000000002
Furniture,"Friday, January 15, 2021",,3619.2056000000002
Furniture,"Saturday, January 16, 2021",,3619.2056000000002
Furniture,"Sunday, January 17, 2021",254.744,3873.9496000000004
Furniture,"Monday, January 18, 2021",,3873.9496000000004
Furniture,"Tuesday, January 19, 2021",301.742,4175.6916
Furniture,"Wednesday, January 20, 2021",,4175.6916
Furniture,"Thursday, January 21, 2021",,4175.6916
Furniture,"Friday, January 22, 2021",,4175.6916
Furniture,"Saturday, January 23, 2021",,4175.6916
Furniture,"Sunday, January 24, 2021",,4175.6916
Furniture,"Monday, January 25, 2021",,4175.6916
Furniture,"Tuesday, January 26, 2021",,4175.6916
Furniture,"Wednesday, January 27, 2021",2985.906,7161.5976
Furniture,"Thursday, January 28, 2021",4297.644,11459.241600000001
Furniture,"Friday, January 29, 2021",,11459.241600000001
Furniture,"Saturday, January 30, 2021",227.36,11686.601600000002
Furniture,"Sunday, January 31, 2021",53.34,11739.941600000002
Furniture,"Monday, February 01, 2021",,11739.941600000002
Furniture,"Tuesday, February 02, 2021",,11739.941600000002
Furniture,"Wednesday, February 03, 2021",256.202,11996.143600000001
Furniture,"Thursday, February 04, 2021",,11996.143600000001
Furniture,"Friday, February 05, 2021",,11996.143600000001
Furniture,"Saturday, February 06, 2021",1552.74,13548.883600000001
Furniture,"Sunday, February 07, 2021",,13548.883600000001
Furniture,"Monday, February 08, 2021",,13548.883600000001
Furniture,"Tuesday, February 09, 2021",244.704,13793.5876
Furniture,"Wednesday, February 10, 2021",,13793.5876
Furniture,"Thursday, February 11, 2021",,13793.5876
Furniture,"Friday, February 12, 2021",,13793.5876
Furniture,"Saturday, February 13, 2021",,13793.5876
Furniture,"Sunday, February 14, 2021",,13793.5876
Furniture,"Monday, February 15, 2021",,13793.5876
Furniture,"Tuesday, February 16, 2021",,13793.5876
Furniture,"Wednesday, February 17, 2021",,13793.5876
Furniture,"Thursday, February 18, 2021",35.544,13829.1316
Furniture,"Friday, February 19, 2021",,13829.1316
Furniture,"Saturday, February 20, 2021",,13829.1316
Furniture,"Sunday, February 21, 2021",,13829.1316
Furniture,"Monday, February 22, 2021",,13829.1316
Furniture,"Tuesday, February 23, 2021",,13829.1316
Furniture,"Wednesday, February 24, 2021",,13829.1316
Furniture,"Thursday, February 25, 2021",,13829.1316
Furniture,"Friday, February 26, 2021",,13829.1316
Furniture,"Saturday, February 27, 2021",493.92,14323.0516
Furniture,"Sunday, February 28, 2021",551.264,14874.3156
Furniture,"Monday, March 01, 2021",1412.7504,16287.065999999999
Furniture,"Tuesday, March 02, 2021",787.53,17074.595999999998
Furniture,"Wednesday, March 03, 2021",,17074.595999999998
Furniture,"Thursday, March 04, 2021",,17074.595999999998
Furniture,"Friday, March 05, 2021",521.259,17595.854999999996
Furniture,"Saturday, March 06, 2021",435.26,18031.114999999994
Furniture,"Sunday, March 07, 2021",,18031.114999999994
Furniture,"Monday, March 08, 2021",1746.95,19778.064999999995
Furniture,"Tuesday, March 09, 2021",,19778.064999999995
Furniture,"Wednesday, March 10, 2021",,19778.064999999995
Furniture,"Thursday, March 11, 2021",,19778.064999999995
Furniture,"Friday, March 12, 2021",37.288,19815.352999999996
Furniture,"Saturday, March 13, 2021",1384.856,21200.208999999995
Furniture,"Sunday, March 14, 2021",,21200.208999999995
Furniture,"Monday, March 15, 2021",,21200.208999999995
Furniture,"Tuesday, March 16, 2021",215.09,21415.298999999995
Furniture,"Wednesday, March 17, 2021",,21415.298999999995
Furniture,"Thursday, March 18, 2021",,21415.298999999995
Furniture,"Friday, March 19, 2021",383.4656,21798.764599999995
Furniture,"Saturday, March 20, 2021",,21798.764599999995
Furniture,"Sunday, March 21, 2021",,21798.764599999995
Furniture,"Monday, March 22, 2021",91.96,21890.724599999994
Furniture,"Tuesday, March 23, 2021",107.772,21998.496599999995
Furniture,"Wednesday, March 24, 2021",405.958,22404.454599999994
Furniture,"Thursday, March 25, 2021",,22404.454599999994
Furniture,"Friday, March 26, 2021",3393.68,25798.134599999994
Furniture,"Saturday, March 27, 2021",,25798.134599999994
Furniture,"Sunday, March 28, 2021",,25798.134599999994
Furniture,"Monday, March 29, 2021",1186.84,26984.974599999994
Furniture,"Tuesday, March 30, 2021",366.744,27351.718599999993
Furniture,"Wednesday, March 31, 2021",22.38,27374.098599999994
Furniture,"Thursday, April 01, 2021",,27374.098599999994
Furniture,"Friday, April 02, 2021",,27374.098599999994
Furniture,"Saturday, April 03, 2021",,27374.098599999994
Furniture,"Sunday, April 04, 2021",108.4,27482.498599999995
Furniture,"Monday, April 05, 2021",1799.394,29281.892599999996
Furniture,"Tuesday, April 06, 2021",,29281.892599999996
Furniture,"Wednesday, April 07, 2021",,29281.892599999996
Furniture,"Thursday, April 08, 2021",,29281.892599999996
Furniture,"Friday, April 09, 2021",369.912,29651.804599999996
Furniture,"Saturday, April 10, 2021",,29651.804599999996
Furniture,"Sunday, April 11, 2021",121.888,29773.692599999995
Furniture,"Monday, April 12, 2021",,29773.692599999995
Furniture,"Tuesday, April 13, 2021",1811.432,31585.124599999996
Furniture,"Wednesday, April 14, 2021",,31585.124599999996
Furniture,"Thursday, April 15, 2021",,31585.124599999996
Furniture,"Friday, April 16, 2021",1847.884,33433.008599999994
Furniture,"Saturday, April 17, 2021",,33433.008599999994
Furniture,"Sunday, April 18, 2021",152.836,33585.8446
Furniture,"Monday, April 19, 2021",,33585.8446
Furniture,"Tuesday, April 20, 2021",595.38,34181.224599999994
Furniture,"Wednesday, April 21, 2021",401.84,34583.06459999999
Furniture,"Thursday, April 22, 2021",,34583.06459999999
Furniture,"Friday, April 23, 2021",,34583.06459999999
Furniture,"Saturday, April 24, 2021",,34583.06459999999
Furniture,"Sunday, April 25, 2021",128.058,34711.12259999999
Furniture,"Monday, April 26, 2021",1592.8495,36303.972099999984
Furniture,"Tuesday, April 27, 2021",1267.53,37571.50209999998
Furniture,"Wednesday, April 28, 2021",,37571.50209999998
Furniture,"Thursday, April 29, 2021",,37571.50209999998
Furniture,"Friday, April 30, 2021",278.295,37849.79709999998
Furniture,"Saturday, May 01, 2021",63.552,37913.349099999985
