Orders.Order Date.Variation.Date Hierarchy.Year,Orders.Country,Orders.Region,Orders.Segment,Orders.Category,Orders.Sub-Category,Sum(Orders.Quantity),Sum(Orders.Discount)
2015,United States,Central,Home Office,Office Supplies,Labels,5,0
2014,United States,Central,Home Office,Office Supplies,Paper,41,1.4
2015,United States,Central,Home Office,Office Supplies,Paper,31,0.6000000000000001
2014,United States,Central,Home Office,Office Supplies,Storage,20,0.6000000000000001
2015,United States,Central,Home Office,Office Supplies,Storage,13,0.4
2014,United States,Central,Home Office,Office Supplies,Supplies,3,0
2015,United States,Central,Home Office,Office Supplies,Supplies,13,0.2
2014,United States,Central,Home Office,Technology,Accessories,17,0.6000000000000001
2015,United States,Central,Home Office,Technology,Accessories,35,1.2
2014,United States,Central,Home Office,Technology,Copiers,1,0
2015,United States,Central,Home Office,Technology,Copiers,3,0
2014,United States,Central,Home Office,Technology,Machines,2,0.3
2015,United States,Central,Home Office,Technology,Machines,2,0.3
2014,United States,Central,Home Office,Technology,Phones,25,1
2015,United States,Central,Home Office,Technology,Phones,29,0.8
2014,United States,East,Consumer,Furniture,Bookcases,29,1.3
2015,United States,East,Consumer,Furniture,Bookcases,43,2.3
2014,United States,East,Consumer,Furniture,Chairs,71,2.7
2015,United States,East,Consumer,Furniture,Chairs,86,2.8000000000000003
2014,United States,East,Consumer,Furniture,Furnishings,103,2.8000000000000003
2015,United States,East,Consumer,Furniture,Furnishings,69,1.7999999999999998
2014,United States,East,Consumer,Furniture,Tables,26,2.8999999999999995
2015,United States,East,Consumer,Furniture,Tables,33,2.8
2014,United States,East,Consumer,Office Supplies,Appliances,45,1.4
2015,United States,East,Consumer,Office Supplies,Appliances,49,1.2
2014,United States,East,Consumer,Office Supplies,Art,94,2.4
2015,United States,East,Consumer,Office Supplies,Art,92,1.7999999999999998
2014,United States,East,Consumer,Office Supplies,Binders,176,18.999999999999993
2015,United States,East,Consumer,Office Supplies,Binders,184,15.099999999999994
2014,United States,East,Consumer,Office Supplies,Envelopes,42,1.2
2015,United States,East,Consumer,Office Supplies,Envelopes,35,0.8
2014,United States,East,Consumer,Office Supplies,Fasteners,22,0.4
2015,United States,East,Consumer,Office Supplies,Fasteners,27,0.6000000000000001
2014,United States,East,Consumer,Office Supplies,Labels,47,0.4
2015,United States,East,Consumer,Office Supplies,Labels,52,0.8
2014,United States,East,Consumer,Office Supplies,Paper,122,2.1999999999999997
2015,United States,East,Consumer,Office Supplies,Paper,140,1.5999999999999999
2014,United States,East,Consumer,Office Supplies,Storage,62,1.5999999999999999
2015,United States,East,Consumer,Office Supplies,Storage,101,1.9999999999999998
2014,United States,East,Consumer,Office Supplies,Supplies,22,0.4
2015,United States,East,Consumer,Office Supplies,Supplies,24,0.8
2014,United States,East,Consumer,Technology,Accessories,56,2.1999999999999997
2015,United States,East,Consumer,Technology,Accessories,85,2.6
2014,United States,East,Consumer,Technology,Copiers,12,1.4
2015,United States,East,Consumer,Technology,Copiers,11,0.6000000000000001
2014,United States,East,Consumer,Technology,Machines,16,1.4
2015,United States,East,Consumer,Technology,Machines,24,1.4
2014,United States,East,Consumer,Technology,Phones,104,4.8
2015,United States,East,Consumer,Technology,Phones,113,4.8
2014,United States,East,Corporate,Furniture,Bookcases,26,1.7
2015,United States,East,Corporate,Furniture,Bookcases,23,1.4
2014,United States,East,Corporate,Furniture,Chairs,44,0.8
2015,United States,East,Corporate,Furniture,Chairs,47,1.7000000000000002
2014,United States,East,Corporate,Furniture,Furnishings,46,1
2015,United States,East,Corporate,Furniture,Furnishings,63,1.7999999999999998
2014,United States,East,Corporate,Furniture,Tables,34,3.8999999999999995
2015,United States,East,Corporate,Furniture,Tables,24,1.7999999999999998
2014,United States,East,Corporate,Office Supplies,Appliances,43,0.6000000000000001
2015,United States,East,Corporate,Office Supplies,Appliances,20,0.2
2014,United States,East,Corporate,Office Supplies,Art,47,0.8
2015,United States,East,Corporate,Office Supplies,Art,51,1
2014,United States,East,Corporate,Office Supplies,Binders,104,8.4
2015,United States,East,Corporate,Office Supplies,Binders,124,10.399999999999999
2014,United States,East,Corporate,Office Supplies,Envelopes,27,0.6000000000000001
2015,United States,East,Corporate,Office Supplies,Envelopes,20,0.4
2014,United States,East,Corporate,Office Supplies,Fasteners,17,0.2
2015,United States,East,Corporate,Office Supplies,Fasteners,28,0.8
2014,United States,East,Corporate,Office Supplies,Labels,40,0.6000000000000001
2015,United States,East,Corporate,Office Supplies,Labels,9,0.2
2014,United States,East,Corporate,Office Supplies,Paper,84,1.2
2015,United States,East,Corporate,Office Supplies,Paper,87,0.8
2014,United States,East,Corporate,Office Supplies,Storage,72,1.4
2015,United States,East,Corporate,Office Supplies,Storage,93,1
2014,United States,East,Corporate,Office Supplies,Supplies,2,0
2015,United States,East,Corporate,Office Supplies,Supplies,,
2014,United States,East,Corporate,Technology,Accessories,29,0.4
2015,United States,East,Corporate,Technology,Accessories,44,0.8
2014,United States,East,Corporate,Technology,Machines,4,0.7
2015,United States,East,Corporate,Technology,Machines,21,1.4
2014,United States,East,Corporate,Technology,Phones,48,2.4
2015,United States,East,Corporate,Technology,Phones,77,3.1999999999999997
2014,United States,East,Home Office,Furniture,Bookcases,5,0.2
2015,United States,East,Home Office,Furniture,Bookcases,15,0.9
2014,United States,East,Home Office,Furniture,Chairs,29,0.9999999999999999
2015,United States,East,Home Office,Furniture,Chairs,23,0.5
2014,United States,East,Home Office,Furniture,Furnishings,33,0.8
2015,United States,East,Home Office,Furniture,Furnishings,39,0.8
2014,United States,East,Home Office,Furniture,Tables,4,0.8
2015,United States,East,Home Office,Furniture,Tables,10,1
2014,United States,East,Home Office,Office Supplies,Appliances,13,0.2
2015,United States,East,Home Office,Office Supplies,Appliances,29,0.2
2014,United States,East,Home Office,Office Supplies,Art,24,0.4
2015,United States,East,Home Office,Office Supplies,Art,44,1
2014,United States,East,Home Office,Office Supplies,Binders,54,3.0999999999999996
2015,United States,East,Home Office,Office Supplies,Binders,62,5.700000000000001
2014,United States,East,Home Office,Office Supplies,Envelopes,2,0
2015,United States,East,Home Office,Office Supplies,Envelopes,16,0.2
2014,United States,East,Home Office,Office Supplies,Fasteners,2,0.2
2015,United States,East,Home Office,Office Supplies,Fasteners,12,0.2
2014,United States,East,Home Office,Office Supplies,Labels,12,0.2
2015,United States,East,Home Office,Office Supplies,Labels,14,0.6000000000000001
2014,United States,East,Home Office,Office Supplies,Paper,49,1
2015,United States,East,Home Office,Office Supplies,Paper,112,1.7999999999999998
2014,United States,East,Home Office,Office Supplies,Storage,9,0
2015,United States,East,Home Office,Office Supplies,Storage,25,0.6000000000000001
2014,United States,East,Home Office,Office Supplies,Supplies,3,0.2
2015,United States,East,Home Office,Office Supplies,Supplies,2,0.2
2014,United States,East,Home Office,Technology,Accessories,18,0.4
2015,United States,East,Home Office,Technology,Accessories,41,1
2014,United States,East,Home Office,Technology,Copiers,,
2015,United States,East,Home Office,Technology,Copiers,2,0.2
2014,United States,East,Home Office,Technology,Machines,3,0
2015,United States,East,Home Office,Technology,Machines,2,0
2014,United States,East,Home Office,Technology,Phones,10,0
2015,United States,East,Home Office,Technology,Phones,35,1.2000000000000002
2014,United States,South,Consumer,Furniture,Bookcases,13,0.2
2015,United States,South,Consumer,Furniture,Bookcases,12,0.2
2014,United States,South,Consumer,Furniture,Chairs,50,1
2015,United States,South,Consumer,Furniture,Chairs,48,0.6000000000000001
2014,United States,South,Consumer,Furniture,Furnishings,55,1.7999999999999998
2015,United States,South,Consumer,Furniture,Furnishings,59,1.5999999999999999
2014,United States,South,Consumer,Furniture,Tables,23,0.8500000000000001
2015,United States,South,Consumer,Furniture,Tables,27,1.75
2014,United States,South,Consumer,Office Supplies,Appliances,30,1
2015,United States,South,Consumer,Office Supplies,Appliances,40,0.6000000000000001
2014,United States,South,Consumer,Office Supplies,Art,47,1.2
2015,United States,South,Consumer,Office Supplies,Art,51,1.5999999999999999
2014,United States,South,Consumer,Office Supplies,Binders,63,7.000000000000001
2015,United States,South,Consumer,Office Supplies,Binders,119,11.899999999999997
2014,United States,South,Consumer,Office Supplies,Envelopes,15,0.6000000000000001
2015,United States,South,Consumer,Office Supplies,Envelopes,24,0.2
2014,United States,South,Consumer,Office Supplies,Fasteners,20,0.4
2015,United States,South,Consumer,Office Supplies,Fasteners,10,0.2
2014,United States,South,Consumer,Office Supplies,Labels,25,0.6000000000000001
2015,United States,South,Consumer,Office Supplies,Labels,21,0.6000000000000001
2014,United States,South,Consumer,Office Supplies,Paper,92,2.8000000000000003
2015,United States,South,Consumer,Office Supplies,Paper,85,1.4
2014,United States,South,Consumer,Office Supplies,Storage,39,1.2
2015,United States,South,Consumer,Office Supplies,Storage,66,1.5999999999999999
2014,United States,South,Consumer,Office Supplies,Supplies,10,0.4
2015,United States,South,Consumer,Office Supplies,Supplies,8,0.2
2014,United States,South,Consumer,Technology,Accessories,56,1
2015,United States,South,Consumer,Technology,Accessories,67,1.4
2014,United States,South,Consumer,Technology,Copiers,2,0.2
2015,United States,South,Consumer,Technology,Copiers,,
2014,United States,South,Consumer,Technology,Machines,8,1
2015,United States,South,Consumer,Technology,Machines,10,0.5
2014,United States,South,Consumer,Technology,Phones,46,0.6000000000000001
2015,United States,South,Consumer,Technology,Phones,79,1.4
2014,United States,South,Corporate,Furniture,Bookcases,,
2015,United States,South,Corporate,Furniture,Bookcases,7,0.4
2014,United States,South,Corporate,Furniture,Chairs,39,0.6000000000000001
2015,United States,South,Corporate,Furniture,Chairs,25,1.2
2014,United States,South,Corporate,Furniture,Furnishings,37,1.2
2015,United States,South,Corporate,Furniture,Furnishings,94,3.0000000000000004
2014,United States,South,Corporate,Furniture,Tables,18,0.4
2015,United States,South,Corporate,Furniture,Tables,2,0
2014,United States,South,Corporate,Office Supplies,Appliances,20,0.6000000000000001
2015,United States,South,Corporate,Office Supplies,Appliances,5,0.2
2014,United States,South,Corporate,Office Supplies,Art,49,1
2015,United States,South,Corporate,Office Supplies,Art,57,1.4
2014,United States,South,Corporate,Office Supplies,Binders,78,5.6000000000000005
2015,United States,South,Corporate,Office Supplies,Binders,96,10.499999999999998
2014,United States,South,Corporate,Office Supplies,Envelopes,10,0
2015,United States,South,Corporate,Office Supplies,Envelopes,40,0.6000000000000001
2014,United States,South,Corporate,Office Supplies,Fasteners,17,0.6000000000000001
2015,United States,South,Corporate,Office Supplies,Fasteners,16,0.4
2014,United States,South,Corporate,Office Supplies,Labels,38,0.6000000000000001
2015,United States,South,Corporate,Office Supplies,Labels,21,1
2014,United States,South,Corporate,Office Supplies,Paper,81,1.2
2015,United States,South,Corporate,Office Supplies,Paper,51,1.4
2014,United States,South,Corporate,Office Supplies,Storage,48,0.8
2015,United States,South,Corporate,Office Supplies,Storage,22,1
2014,United States,South,Corporate,Office Supplies,Supplies,8,0
2015,United States,South,Corporate,Office Supplies,Supplies,3,0.2
2014,United States,South,Corporate,Technology,Accessories,30,0.4
2015,United States,South,Corporate,Technology,Accessories,32,0.6000000000000001
2014,United States,South,Corporate,Technology,Copiers,,
2015,United States,South,Corporate,Technology,Copiers,3,0
2014,United States,South,Corporate,Technology,Phones,52,0.8
2015,United States,South,Corporate,Technology,Phones,22,1.2
2014,United States,South,Home Office,Furniture,Bookcases,,
2015,United States,South,Home Office,Furniture,Bookcases,2,0
2014,United States,South,Home Office,Furniture,Chairs,13,0
2015,United States,South,Home Office,Furniture,Chairs,5,0.2
2014,United States,South,Home Office,Furniture,Furnishings,16,0.4
2015,United States,South,Home Office,Furniture,Furnishings,11,0
2014,United States,South,Home Office,Furniture,Tables,9,0
2015,United States,South,Home Office,Furniture,Tables,,
2014,United States,South,Home Office,Office Supplies,Appliances,6,0.2
2015,United States,South,Home Office,Office Supplies,Appliances,2,0
2014,United States,South,Home Office,Office Supplies,Art,13,0.6000000000000001
2015,United States,South,Home Office,Office Supplies,Art,16,0.4
2014,United States,South,Home Office,Office Supplies,Binders,20,1.4
2015,United States,South,Home Office,Office Supplies,Binders,30,2.0999999999999996
2014,United States,South,Home Office,Office Supplies,Envelopes,5,0
2015,United States,South,Home Office,Office Supplies,Envelopes,6,0.2
2014,United States,South,Home Office,Office Supplies,Fasteners,9,0.4
2015,United States,South,Home Office,Office Supplies,Fasteners,,
2014,United States,South,Home Office,Office Supplies,Labels,1,0.2
2015,United States,South,Home Office,Office Supplies,Labels,6,0.4
2014,United States,South,Home Office,Office Supplies,Paper,38,1.2
2015,United States,South,Home Office,Office Supplies,Paper,10,0.4
2014,United States,South,Home Office,Office Supplies,Storage,16,0.2
2015,United States,South,Home Office,Office Supplies,Storage,5,0.4
2014,United States,South,Home Office,Office Supplies,Supplies,2,0.2
2015,United States,South,Home Office,Office Supplies,Supplies,,
2014,United States,South,Home Office,Technology,Accessories,24,0.4
2015,United States,South,Home Office,Technology,Accessories,29,0.4
2014,United States,South,Home Office,Technology,Machines,10,1
2015,United States,South,Home Office,Technology,Machines,,
2014,United States,South,Home Office,Technology,Phones,35,0.2
2015,United States,South,Home Office,Technology,Phones,,
2014,United States,West,Consumer,Furniture,Bookcases,17,1.4499999999999997
2015,United States,West,Consumer,Furniture,Bookcases,64,4.850000000000001
2014,United States,West,Consumer,Furniture,Chairs,89,5.400000000000002
2015,United States,West,Consumer,Furniture,Chairs,56,3.400000000000001
2014,United States,West,Consumer,Furniture,Furnishings,105,0.8
2015,United States,West,Consumer,Furniture,Furnishings,155,1.7999999999999998
2014,United States,West,Consumer,Furniture,Tables,59,3.0999999999999996
2015,United States,West,Consumer,Furniture,Tables,58,2.9
2014,United States,West,Consumer,Office Supplies,Appliances,32,0.2
2015,United States,West,Consumer,Office Supplies,Appliances,49,0.8
2014,United States,West,Consumer,Office Supplies,Art,132,1.5999999999999999
2015,United States,West,Consumer,Office Supplies,Art,109,2.1999999999999997
2014,United States,West,Consumer,Office Supplies,Binders,151,12
2015,United States,West,Consumer,Office Supplies,Binders,178,14.199999999999996
2014,United States,West,Consumer,Office Supplies,Envelopes,32,0.6000000000000001
2015,United States,West,Consumer,Office Supplies,Envelopes,23,0.6000000000000001
2014,United States,West,Consumer,Office Supplies,Fasteners,29,0.2
2015,United States,West,Consumer,Office Supplies,Fasteners,33,0.2
2014,United States,West,Consumer,Office Supplies,Labels,47,0.4
2015,United States,West,Consumer,Office Supplies,Labels,41,0.2
2014,United States,West,Consumer,Office Supplies,Paper,178,2.8000000000000003
2015,United States,West,Consumer,Office Supplies,Paper,225,2.1999999999999997
2014,United States,West,Consumer,Office Supplies,Storage,136,1.2
2015,United States,West,Consumer,Office Supplies,Storage,138,1
2014,United States,West,Consumer,Office Supplies,Supplies,38,0.6000000000000001
2015,United States,West,Consumer,Office Supplies,Supplies,28,0.2
2014,United States,West,Consumer,Technology,Accessories,144,1.7999999999999998
2015,United States,West,Consumer,Technology,Accessories,131,1.5999999999999999
2014,United States,West,Consumer,Technology,Copiers,6,0.2
2015,United States,West,Consumer,Technology,Copiers,13,0.8
2014,United States,West,Consumer,Technology,Machines,15,1.3
2015,United States,West,Consumer,Technology,Machines,21,1
2014,United States,West,Consumer,Technology,Phones,161,7.0000000000000036
2015,United States,West,Consumer,Technology,Phones,115,6.200000000000003
2014,United States,West,Corporate,Furniture,Bookcases,25,0.75
2015,United States,West,Corporate,Furniture,Bookcases,18,0.44999999999999996
2014,United States,West,Corporate,Furniture,Chairs,50,2.6
2015,United States,West,Corporate,Furniture,Chairs,49,2.8000000000000003
2014,United States,West,Corporate,Furniture,Furnishings,67,0.6000000000000001
2015,United States,West,Corporate,Furniture,Furnishings,77,0.8
2014,United States,West,Corporate,Furniture,Tables,34,1.9
2015,United States,West,Corporate,Furniture,Tables,15,0.4
2014,United States,West,Corporate,Office Supplies,Appliances,24,0.4
2015,United States,West,Corporate,Office Supplies,Appliances,45,0.8
2014,United States,West,Corporate,Office Supplies,Art,68,0.6000000000000001
2015,United States,West,Corporate,Office Supplies,Art,36,0.4
2014,United States,West,Corporate,Office Supplies,Binders,101,7.3000000000000025
2015,United States,West,Corporate,Office Supplies,Binders,92,7.500000000000002
2014,United States,West,Corporate,Office Supplies,Envelopes,8,0.2
2015,United States,West,Corporate,Office Supplies,Envelopes,21,0
2014,United States,West,Corporate,Office Supplies,Fasteners,17,0.6000000000000001
2015,United States,West,Corporate,Office Supplies,Fasteners,5,0.2
2014,United States,West,Corporate,Office Supplies,Labels,29,0
2015,United States,West,Corporate,Office Supplies,Labels,48,0.6000000000000001
2014,United States,West,Corporate,Office Supplies,Paper,98,0.8
2015,United States,West,Corporate,Office Supplies,Paper,94,0.8
2014,United States,West,Corporate,Office Supplies,Storage,71,0.4
2015,United States,West,Corporate,Office Supplies,Storage,43,0.8
2014,United States,West,Corporate,Office Supplies,Supplies,20,0.2
2015,United States,West,Corporate,Office Supplies,Supplies,5,0
2014,United States,West,Corporate,Technology,Accessories,58,0.2
2015,United States,West,Corporate,Technology,Accessories,44,0.6000000000000001
2014,United States,West,Corporate,Technology,Copiers,,
2015,United States,West,Corporate,Technology,Copiers,8,0.2
2014,United States,West,Corporate,Technology,Machines,6,0.2
2015,United States,West,Corporate,Technology,Machines,5,0.8999999999999999
2014,United States,West,Corporate,Technology,Phones,75,3.800000000000001
2015,United States,West,Corporate,Technology,Phones,58,3.400000000000001
2014,United States,West,Home Office,Furniture,Bookcases,15,0.44999999999999996
2015,United States,West,Home Office,Furniture,Bookcases,,
2014,United States,West,Home Office,Furniture,Chairs,19,1.2
2015,United States,West,Home Office,Furniture,Chairs,44,1.9999999999999998
2014,United States,West,Home Office,Furniture,Furnishings,51,0.2
2015,United States,West,Home Office,Furniture,Furnishings,46,0.2
2014,United States,West,Home Office,Furniture,Tables,10,0.2
2015,United States,West,Home Office,Furniture,Tables,15,0.2
2014,United States,West,Home Office,Office Supplies,Appliances,19,0
2015,United States,West,Home Office,Office Supplies,Appliances,20,0.2
2014,United States,West,Home Office,Office Supplies,Art,33,0.2
2015,United States,West,Home Office,Office Supplies,Art,36,0
2014,United States,West,Home Office,Office Supplies,Binders,42,1.9999999999999998
2015,United States,West,Home Office,Office Supplies,Binders,42,3.3999999999999995
2014,United States,West,Home Office,Office Supplies,Envelopes,2,0
2015,United States,West,Home Office,Office Supplies,Envelopes,2,0
2014,United States,West,Home Office,Office Supplies,Fasteners,22,0.2
2015,United States,West,Home Office,Office Supplies,Fasteners,5,0
2014,United States,West,Home Office,Office Supplies,Labels,30,0
2015,United States,West,Home Office,Office Supplies,Labels,2,0
2014,United States,West,Home Office,Office Supplies,Paper,43,0.2
2015,United States,West,Home Office,Office Supplies,Paper,59,0.6000000000000001
2014,United States,West,Home Office,Office Supplies,Storage,34,0
2015,United States,West,Home Office,Office Supplies,Storage,31,0
2014,United States,West,Home Office,Office Supplies,Supplies,6,0
2015,United States,West,Home Office,Office Supplies,Supplies,2,0.2
2014,United States,West,Home Office,Technology,Accessories,26,0
2015,United States,West,Home Office,Technology,Accessories,14,0
2014,United States,West,Home Office,Technology,Machines,4,0.2
2015,United States,West,Home Office,Technology,Machines,,
2014,United States,West,Home Office,Technology,Phones,55,2.1999999999999997
2015,United States,West,Home Office,Technology,Phones,20,0.8
