Superstore 2023.Segment,Superstore 2023.Region,Superstore 2023.Category,Superstore 2023.Sub-Category,Superstore 2023.ProfitM,Sum(Superstore 2023.Sales)
Corporate,East,Office Supplies,Art,566.1716,2278.402
Home Office,East,Office Supplies,Art,344.7085,1360.164
Consumer,South,Office Supplies,Art,648.4543,2654.756
Corporate,South,Office Supplies,Art,264.2543,1332.404
Home Office,South,Office Supplies,Art,145.878,668.462
Consumer,West,Office Supplies,Art,1211.2211,4477.624
Corporate,West,Office Supplies,Art,830.2525,3500.9
Home Office,West,Office Supplies,Art,332.6234,1233.542
Consumer,Central,Office Supplies,Envelopes,912.6616,2365.45
Corporate,Central,Office Supplies,Envelopes,483.6642,1235.908
Home Office,Central,Office Supplies,Envelopes,381.2025,1035.514
Consumer,East,Office Supplies,Envelopes,881.8797,2095.522
Corporate,East,Office Supplies,Envelopes,663.5852,1579.266
Home Office,East,Office Supplies,Envelopes,266.9441,701.086
Consumer,South,Office Supplies,Envelopes,503.4307,1191.558
Corporate,South,Office Supplies,Envelopes,643.3798,1470.904
Home Office,South,Office Supplies,Envelopes,318.6665,683.094
Consumer,West,Office Supplies,Envelopes,966.4406,2118.616
Corporate,West,Office Supplies,Envelopes,780.5998,1656.592
Home Office,West,Office Supplies,Envelopes,161.722,342.892
Consumer,Central,Office Supplies,Labels,334.2023,743.206
Corporate,Central,Office Supplies,Labels,487.17,1095.108
Home Office,Central,Office Supplies,Labels,251.7071,613.158
Consumer,East,Office Supplies,Labels,733.529,1652.8
Corporate,East,Office Supplies,Labels,218.6299,508.586
Home Office,East,Office Supplies,Labels,177.1211,441.548
Consumer,South,Office Supplies,Labels,840.9038,1868.222
Corporate,South,Office Supplies,Labels,150.4372,365.226
Home Office,South,Office Supplies,Labels,49.4313,119.732
Consumer,West,Office Supplies,Labels,1167.3533,2445.034
Corporate,West,Office Supplies,Labels,904.5902,2132.726
Home Office,West,Office Supplies,Labels,231.1788,500.966
Consumer,Central,Office Supplies,Fasteners,128.1477,422.432
Corporate,Central,Office Supplies,Fasteners,78.5563,232.11
Home Office,Central,Office Supplies,Fasteners,29.9146,123.488
Consumer,East,Office Supplies,Fasteners,149.173,423.698
Corporate,East,Office Supplies,Fasteners,76.4704,286.092
Home Office,East,Office Supplies,Fasteners,38.3474,109.928
Consumer,South,Office Supplies,Fasteners,114.2714,276.416
Corporate,South,Office Supplies,Fasteners,27.5699,80.634
Home Office,South,Office Supplies,Fasteners,31.8768,146.266
Consumer,West,Office Supplies,Fasteners,185.2087,558.396
Corporate,West,Office Supplies,Fasteners,69.3064,184.454
Home Office,West,Office Supplies,Fasteners,20.6756,180.366
